جائیر	Jair
پوتا:	pota:
عون	Aun
بن	bin
عبد اللہ	Abdullah
اور	aur
محمد	Mohammad
بن	bin
عبد اللہ	Abdullah
—	-
وفات	wafaat
واقعہ	waqeya
کربلا	Karbala
</s>	</s>
سکھوں	Sikhon
کی	kee
اہم	aham
تنظیم	tanzeem
شرومنی	Shiromani
گرودوارہ	Gurudwara
پربندھک	Parbandhak
کمیٹی	Committee
کے	ke
صدر	sadar
اور	aur
شرومنی	Shiromani
اکالی	Akali
دل	Dal
کے	ke
اعلیٰ	aala
رہنما۔	rahnuma
</s>	</s>
خواجہ	Khwaja
اکبر	Akbar
وارثی	Warsi
نے	ne
6	6
رمضان	Ramadhan
1372ھ	1372H
بمطابق	ba-mutaabiq
20	20
مئی	May
1953ء	1953
بروز	ba-roz
بدھ	budh
لیاقت آباد	Liaqatabad
کراچی	Karachi
میں	mein
وفات	wafaat
پائی۔	paayi.
</s>	</s>
صحابہ	Sahaba
کرام	Karaam
سے	se
ان	un
کے	ke
بارے	baare
میں	mein
مشورہ	mashwarah
طلب	talab
کیا	kiya
گیا	gaya
تو	to
حضرت	hazrat
عمر	Umar
فاروق	Farooque
نے	ne
انہیں	unhein
قتل	qatl
کر	kar
کے	ke
دشمن	dushman
کی	kee
قوت	quwwat
توڑنے	todne
کی	kee
تجویز	tajweez
پیش	pesh
کی	kee
حضرت	hazrat
ابوبکر	Abu Bakar
نے	ne
فدیہ	fidya
لے	le
کر	kar
چھوڑ	chhod
دینے	dene
کا	ka
مشورہ	mashwarah
دیا۔	diya.
</s>	</s>
میر	Mir
شہک	Shahak
کے	ke
انتقال	inteqaal
کے	ke
بعد	baad
پورے	poore
رند	rind
علاقوں	ilaaqon
کا	ka
حکمران	hukmaraan
انکا	unka
بیٹا	beta
میر	Mir
چاکر	Chaakar
تھا	tha
اور	aur
رندوں	rindon
کی	kee
تاریخ	taareekh
کا	ka
سنہری	sunahri
دور	daur
تھا	tha
لیکن	lekin
اس	us
دور	daur
کا	ka
اختتام	ikhtetaam
اتنا	itna
تاریک	taareek
اور	aur
عبرت	ibrat
انگیز	angez
ہے	hai
کہ	ki
میر	Mir
چاکر	Chaakar
کے	ke
آخری	aakhri
دور	daur
میں	mein
نہ	na
صرف	sirf
رند	rind
بلکہ	balki
پوری	poori
بلوچ	Baloch
قوم	qaum
اس	is
طرح	tara
منتشر	muntashir
ہوئی	hui
کہ	ki
آج	aaj
تک	tak
دوبارہ	dobarah
اکھٹی	ikatthi
نہ	na
ہو	ho
سکی	saki
میر	Mir
چاکر	Chaakar
کا	ka
دور	daur
بلوچوں	Balochon
کا	ka
عروج	urooj
اور	aur
خوشحالی	khush-haali
کا	ka
دور	daur
تھا	tha
اور	aur
آج	aaj
بھی	bhi
بلوچ	Baloch
قوم	qaum
کا	ka
اجتماعی	ijtemayee
طور	taur
پر	par
ہیرو	hero
میر	Mir
چاکر	Chaakar
رند	rind
ہے	hai
اور	aur
آج	aaj
بھی	bhi
میر	Mir
چاکر	Chaakar
کا	ka
نام	naam
عزت	izzat
و	wa
احترام	ihteraam
سے	se
لیتے	lete
ہیں	hain
بقول	ba-qaul
میر	Mir
چاکر	Chaakar
"مرد	"mard
کا	ka
قول	qaul
اس	us
کے	ke
سر	sar
کے	ke
ساتھ	saath
بندھا	bandha
ہے"	hai"
اور	aur
میرچاکر	Mir Chaakar
اپنے	apne
قول	qaul
کا	ka
دھنی	dhani
تھا	tha
اپنے	apne
قول	qaul
کے	ke
مطابق	mutaabiq
ایک	ek
مالدار	maaldaar
عورت	aurat
"گوھر"	"Gauhar"
کو	ko
امان	amaan
دی	dee
اور	aur
اس	us
کی	kee
حفاظت	hifaazat
کف	kaf
لیے	liye
جان	jaan
کی	kee
بازی	baazi
لگا	laga
دی	dee
اور	aur
اپنے	apne
ہی	hi
بھائیوں	bhayion
لاشاریوں	laashaarion
سے	se
جنگ	jang
کی	kee
جو	jo
تیس	tees
سالہ	saala
کشت	kisht
و	wa
خون	khoon
میں	mein
بدل	badal
گئی	gayi
اور	aur
یہی	yahi
جنگ	jang
کئی	kayi
نامور	naamwar
رند	rind
اور	aur
لاشاریوں	laashaarion
کو	ko
خاک	khaak
و	wa
خون	khoon
میں	mein
نہلا	nahla
گئی	gayi
جن	jin
میں	mein
میر	Mir
چاکر	Chaakar
کے	ke
دو	do
نوجوان	naujawaan
بھائیوں	bhayion
کے	ke
علاوہ	alaawa
میرھان،	Mir Haan,
ھمل،	Hamal,
جاڑو،	Jaado,
چناور،	Chanawar,
ھلیر،	Haleer,
سپر،جیند،	Seer,
بیبگر،	Bebgar,
پیرو	Piro
شاہ	Shah
اور	aur
دیگر	deegar
سینکڑوں	sainkdon
بہادر	bahadur
بلوچ	Baloch
شامل	shaamil
تھے	the
بلوچوں	Balochon
کی	kee
معاشرتی	muashrati
زندگی	zindgi
میں	mein
وعدہ	waada
خلافی	khilaafi
کے	ke
علاوہ	alaawa
جھوٹ	jhoot
بولنا	bolna
معیوب	mayoob
سمجھا	samjha
جاتا	jaata
ہے	hai
خاص	khaas
کر	kar
اگر	agar
وہ	wo
رند	rind
بلوچ	Baloch
ھو	ho
بقول	ba-qaul
چاکر	Chaakar
خان	Khan
رند	rind
کے	ke
"سچ	"sach
بولنا	bolna
بلوچوں	Balochon
کا	ka
شیوہ	shewa
ہے	hai
اور	aur
جھوٹ	jhoot
ایمان	imaan
کی	kee
کمزوری	kamzori
کی	kee
نشانی	nishani
ہے"	hai"
بلوچ	Baloch
معاشرے	muashre
میں	mein
جو	jo
کوئی	koi
جھوٹ	jhoot
بولے	bole
اور	aur
وعدہ	waada
خلافی	khilaafi
کرے	kare
تو	to
ان	un
کے	ke
معاشرے	muashre
میں	mein
کوئی	koi
مقام	muqaam
و	wa
عزت	izzat
نہیں	nahin
ہوتی	hoti
اور	aur
ان	un
کی	ki
نظر	nazar
میں	mein
وہ	wo
شخص	shakhs
زندہ	zinda
نہیں	nahin
بلکہ	balki
مردہ	murdah
ہے	hai
اور	aur
رندوں	rindon
کی	kee
ایک	ek
کہاوت	kahawat
ہے	hai
کہ"مرے	ki "mare
ہوۓرند	huye rind
کو	kw
کوئی	koi
راستہ	raasta
نہیں	nahin
ملتا	milta
دونوں	donon
طرف	taraf
سے	se
انکی	unki
زندگی	zindagi
اسیر	aseer
ہے" بلوچ	hai "Baloch
لوگ	log
بالخصوص	bil-khusoos
رند	rind
بلوچ	Baloch
لوگ	log
عورتوں	auraton
اور	aur
بچوں	bachchon
پر	par
کبھی	kabhi
ہاتھ	haath
نہیں	nahin
اٹھاتے،	uthate,
مہمان	mehmaan
اور	aur
مہمان	mehmaan
نوازی	nawaazi
بلوچ	Baloch
معاشرے	muashre
کا	ka
ایک	ek
لازمی	laazmi
حصہ	hissa
ہے	hai
اور	aur
مہمانوں	mehmaanon
کو	ko
خدا	Khuda
کا	ka
نعمت	nemat
سمجھتے	samajhte
ہیں	hain
سردار	sardaar
چاکر	Chaakar
خان	Khan
رند	rind
کی	kee
تاریخ	taareekhe
پیدائش	paidayish
کا	ka
مختلف	mukhtalif
روایات	riwaayaat
ہیں	hain
ان	un
میں	mein
سب	sab
سے	se
زیادہ	zyada
معتبر	mutabar
1486ء	1486
اور	aur
قلات	qalaat
کو	ko
1486ءفتح	1486 fateh
کیا	kiya
کہ	ki
در	dar
آن	aan
وقت	waqt
سردار	sardaar
چاکر	Chaakar
کی	kee
عمر	umar
صرف	sirf
16	16
سال	saal
تھی	thi
اور	aur
سال	saal
1488ء	1488
میں	mein
سبھی	sabhi
پر	par
قبضہ	qabza
کیا	kiya
اور	aur
اسی	usi
سال	saal
میر	Mir
شہک	Shahak
وفات	wafaat
پا	paa
گئے	gaye
اور رند	rind
اور	aur
لاشار	laashaar
کی	kee
تیس	tees
سالہ	saala
جنگ	jang
کا	ka
آغاز	aaghaaz
سال	saal
1489ءمیں	1489 mein
شروع	shuroo
ھوا	hua
جو	jo
1519ءمیں	1519 mein
اختتام	ikhtetaam
پزیر	pazeer
ہوا	hua
1520ء	1520
میں	mein
میر	Mir
چاکر	Chaakar
ملتان	Multan
کی	kee
روانہ	rawaana
ہوئے	huye
اور	aur
1523ء	1523
میں	mein
مستقل	mustaqil
طور	taur
پر	par
ستگھڑہ	Satghadah
میں	mein
قیام	qiyaam
کیا	kiya
اور	aur
1555ءمیں	1555 mein
ہمایوں	Humayun
کے	ke
ساتھ	saath
دہلی	Delhi
پر	par
حملہ	hamla
آور	aawar
ہوئے	huye
اور	aur
شیر	Sher
شاہ	Shah
سوری	Suri
کے	ke
جانشینوں	janasheenon
کو	ko
شکست	shikast
دے	de
کر	kar
دہلی	Delhi
فتح	fateh
کیا	kiya
اور	aur
1565ءمیں	1565 mein
یہ	ye
عظیم	azeem
قائد	qaayid
اس	is
دنیاے	duniyae
فانی	faani
کو	ko
چھوڑکر	chhod kar
خالق	khaaliqe
حقیقی	haqeeqi
سے	se
جا	jaa
ملے	mile
اور	aur
بمقام	ba-muqaam
ستگھڑ	Satghadah
میں	mein
دفن	dafan
ہوئے۔	huye.
</s>	</s>
قیر	Qeer
ماہی	Mahi
مچھلی	Machhli
</s>	</s>
ان	un
کا	ka
اصل	asal
وطن	watan
سائبیریا	Siberia
کا	ka
صحرائی	sehrayi
علاقہ	ilaaqa
تھا۔	tha.
</s>	</s>
ڈاھرانوالا	Dahranwala
ضلع	zila
بہاولنگر	Bahawalnagar
اور	aur
تحصیل	tahseel
چشتیاں	Chishtiyaan
کا	ka
خوبصورت	khoobsurat
شہر	shahar
ہے	hai
-	-
یہ	ye
چشتیاں	Chishtiyaan
سے	se
25	25
کلومیٹر	kilometer
سے	se
دور	door
چولستان	Cholistaan
میں	mein
واقع	waaqe
ہے۔	hai.
</s>	</s>
اسلامی	Islami
ریاست	riyaasat
کے	ke
خاتمے	khaatme
کے	ke
اس	us
منصوبے	mansoobe
نے	ne
مکہ	Mecca
اور	aur
مدینہ	Madina
کے	ke
درمیان	darmiyaan
میں	mein
کشیدگی	kasheedgi
میں	mein
بہت	bahut
اضافہ	izaafa
کر	kar
دیا۔	diya.
</s>	</s>
اپنا	apna
لیٹورک	letwork
</s>	</s>
ڈاکٹر	Dr.
ریاض الاسلام	Riyazul Islam
نے	ne
سینٹ	Saint
اسٹیفن	Stephen
کالج	College
دہلی	Delhi
سے	se
تدریس	tadrees
کا	ka
آغاز	aaghaaz
کیا۔	kiya.
</s>	</s>
جو	jo
55ء	55AD
اور	aur
60ء	60AD
کے	ke
درمیان	darmiyaan
سامنے	saamne
آئے۔	aaye.
</s>	</s>
اس	us
وقت	waqt
یہ	ye
شیراز	Shiraz
شہر	shahar
کے	ke
مرکز	markaz
میں	mein
(	(
میدان	Maidane
شہداء	Shuhda
کے	ke
مشرق	mashriq
میں	mein
)	)
واقع	waaqe
ہے۔	hai.
</s>	</s>
ہدہد	Hudhud
</s>	</s>
وہ	wo
اس	us
وقت	waqt
پنجاب	Punjab
اردو	Urdu
اکیڈمی	Academy
کے	ke
چیئرمین	Chairman
کے	ke
طور	taur
پر	par
بھی	bhi
خدمات	khidmaat
سر	sar
انجام	anjaam
دے	de
رہے	rahe
ہیں۔	hain.
</s>	</s>
ایتھنز	Athens
میں	mein
پیدا	paida
ہوا۔	hua.
</s>	</s>
الیکٹرون	Electron
کی	kee
یہ	ye
حاصل	haasil
کردہ	kardah
توانائ	tawaanaayee
فوٹون	Photon
کی	kee
کم	kam
شدہ	shuda
توانائ	tawaanaayee
کے	ke
برابر	baraabar
ہوتی	hoti
ہے۔	hai.
</s>	</s>
تھانہ	thana
جمشید	Jamshed
کواٹرز	Quarters
</s>	</s>
نریندر	Narendra
مودی	Modi
</s>	</s>
اس	is
الزام	ilzaam
کے	ke
بعد	baad
حکومتی	hukoomati
ادارے	idaare
عوام	awaam
میں	mein
اپنا	apna
وقار	waqaar
اور	aur
مقبولیت	maqbooliyat
کھو	kho
بیٹھے۔	baithe.
</s>	</s>
بلدوین	Baldawin
ضلع	zila
</s>	</s>
چوتھے	chauthe
باب	baab
میں	mein
اولاد	aulaad
امیرالمومنین	ameerul-momineen
علی	Ali
بن	bin
ابی	Abi
طالب	Talib
علیہ	Alaihis
اسلام	salaam
کا	ka
ذکر	zikr
ہے۔	hai.
</s>	</s>
اور	aur
غلام	Ghulam
ہونے	hone
کی	kee
وجہ	wajah
سے	se
اپنے	apne
آقا	aaqa
انگریز	angrez
سے	se
شدید	shadeed
نفرت	nafrat
کرتے	karte
ہیں	hain
اور	aur
اس	is
نفرت	nafrat
میں	mein
ایک	ek
دہکتے	dahakte
ہوئے	huye
آتش	aatish
فشاں	fishaan
جتنی	jitni
شدت	shiddat
ہے	hai
اور	aur
جب	jab
یہ	ye
آتش	aatish
فشاں	fishaan
پٹتا	pit-ta
ہے	hai
تو	to
وہ	wo
اپنے	apne
انگریز	angrez
افسر	officer
کی	kee
خوب	khoob
پٹائی	pitayee
کی	kee
سزا	saza
میں	mein
جیل	jail
چلے	chale
جاتے	jaate
ہیں۔	hain.
</s>	</s>
اسی	isi
طرح	tarah
دس	das
صحابہ	sahaaba
کی	kee
ایک	ek
فہرست	fehrist
ہے	hai
جن	jin
کو	ko
عشرہ	ashrah
مبشرہ	mubashsharah
کہا	kaha
جاتا	jaata
ہے۔	hai.
</s>	</s>
ہندؤوں	Hinduon
کی	kee
ایک	ek
تخمینہ	takhmeena
تعداد	taadaad
جو	jo
2010ء	2010
کے	ke
مطابق	mutaabiq
ہے،	hai,
بعض	baaz
عرب	Arab
ممالک	mamaalik
میں	mein
حسب	hasb
ذیل	zail
تھی:	thi:
</s>	</s>
ریاضی	riyaazi
اور	aur
فلسفے	falsafe
کے	ke
مضامین	mazameen
کے	ke
ساتھ	saath
گریجویشن	graduation
کی۔	kee.
</s>	</s>
منگ	mang
دور	daur
میں	mein
یہ	bhi
گھر	ghar
"منگ	"Mang
محل"	Mahal"
کے	ke
مغرب	maghrib
میں	mein
تھا	tha
جسے	jise
ایک	ek
راجہ	raja
نت	ne
تعمیر	taameer
کروایا	karwaya
تھا۔	tha.
</s>	</s>
1917ء	1917
-	-
پہلی	pahli
جنگ	jange
عظیم	azeem
میں	mein
امریکا	America
نے	ne
ڈچ	Dutch
لینڈ(جرمنی)	Land (Germany)
سے	se
جنگ	jang
کا	ka
اعلان	ailaan
کر	kar
دیا۔	diya.
</s>	</s>
یہاں	yahaan
سے	se
اقبال	Iqbal
کی	kee
تعلیم	taaleem
کا	ka
آغاز	aaghaaz
ہوا۔	hua.
</s>	</s>
وجی	wajee
اس	is
واقعے	waqey
کے	ke
بارے	baare
میں	mein
الجھن	uljhan
میں	mein
ہے،	hai,
زیادہ	zyada
تر	tar
وجہ	wajah
سے	se
اس	us
نے	ne
کسی	kisi
کو	ko
خواب	khoob
دیکھا	dekha
تھا	tha
کہ	ki
وہ	wo
ان	un
کے	ke
صحیح	sahee
الفاظ	alfaaz
کو	ko
کہہ	kah
رہے	rahe
ہیں۔	hain.
</s>	</s>
جزیرة البحرین	Jazeeratul Bahrain
</s>	</s>
آپ	aap
کی	kee
مشہور	mash-hoor
تالیفات	taaleefaat
مندرجہ	mandarja
ذیل	zail
ہیں	hain
:	:
</s>	</s>
کاندید	Kandeed
میں	mein
وولٹئیر	voltier
فطرت	fitrat
کے	ke
دو	do
متضاد	mutazaad
پہلوؤں	pahluon
ذاتی	zaati
رجائیت	rajayiat
پسندی	pasandi
اور	aur
تاریخی	taareekhi
قنوطیت	qunootiyat
پسندی	pasandi
میں	mein
مصالحت	musaalihat
کروانے	karwaane
کی	kee
کوشش	koshish
کی	kee
گئی	gayi
ہے۔	hai.
</s>	</s>
مون سون	Monsoon
ہواؤں،	hawaon,
بادلوں	badalon
اور	aur
بارشوں	baarishon
کا	ka
ایک	ek
سلسلہ	silsila
ہے۔	hai.
</s>	</s>
ماہنامہ	maahnama
ترجمان	tarjumaan
ابوالمکارم	Abul-Mukaram
محمد	Mohammad
انواراللہ	Anwarullah
نے	ne
سابقہ	saabiqa
ریا ست	riyaasat
حیدرآباد	Hyderabad
سے	se
شروع	shuroo
کیا	kiya
تھا۔	tha.
</s>	</s>
لطائف	Lataif
اشرفی	Ashrafi
اور	aur
مکتوبات	Maktoobaate
اشرفی	Ashrafi
قرون	qaroone
وسطٰی	wusta
کے	ke
مآخذ	maakhaz
کے	ke
طور	taur
ہر	har
(اس	(is
پر	par
انڈین	Indian
کونسل	Council
فار	for
ہسٹاریکل	Historical
ریسرچ	Research
کی	kee
امداد	imdaad
حاصل	haasil
تھی)	thi)
</s>	</s>
ان	in
کی	kee
تین	teen
قسمیں	qismein
ہیں۔	hain.
</s>	</s>
پروفیسر	Prof.
صاحب	Sb.
نے	Ne
اپنی	apni
اس	is
دور	daure
وزارت	vizaarat
کو	ko
اپنی	apni
زندگی	zindagi
کا	ka
تاریک	tareek
باب	baab
قرار	qaraar
دیا	diya
ہے۔	hai.
</s>	</s>
ٹڈی	tiddi
</s>	</s>
مشہور	Mash-hoor
امریکی	Americi
اداکارچارلٹن	adaakaar Charlton
ہسٹن	Heston
الے نوائے	Illinois
کی	kee
ایوانسٹن	Evanston
نامی	naami
جگہ	jagah
پر	par
4	4
اکتوبر	October
1923ء	1923
کو	ko
پیدا	paida
ہوئے،	huye.
اداکاری	adaakaari
کی	kee
تربیت	tarbiyat
حاصل	haasil
کی	kee
اور	aur
تین	teen
برس	baras
کے	ke
لیے	liye
امریکی	Americi
ایئر	Air
فورس	Force
میں	mein
خدمات	khidmaat
انجام	anjaam
دیں۔	dein.
</s>	</s>
اس	us
وقت	waqt
ان	un
کی	kee
عمر	umar
36	36
سال	saal
تھی۔	thee.
</s>	</s>
اس	is
علم	ilm
اور	aur
حکمت	hikmat
کی	kee
بنا	bina
پر	par
جسے	jise
وہ	wo
اپنی	apni
رحمت	rahmat
کا	ka
مستحق	mustahaq
سمجھتا	samajhta
ہے	hai
اسے	use
اپنی	apni
رحمت	rahmat
میں	mein
داخل	daakhil
کر	kar
لیتا	leta
ہے	hai
اور	aur
جسے	jise
وہ	wo
ظالم	zaalim
پاتا	paata
ہے	hai
اس	us
کے	ke
لیے	liye
دردناک	dardnaak
عذاب	azaab
کا	ka
انتظام	intezaam
اس	us
نے	ne
کر	kar
رکھا	rakha
ہے۔	hai.
</s>	</s>
انور	Anwar
سادات	saadaat
کی	kee
جانب	jaanib
سے	se
اسرائیلی	Israeli
حکومت	hukoomat
کو	ko
تسلیم	tasleem
کرنے	karne
اور	aur
سابق	saabiq
شاہ	Shah
ایران	Iran
محمد	Mohammad
رضا	Raza
شاہ	Shah
پہلوی	pahlavi
کو	ko
سیاسی	siyaasi
پناہ	panaah
دینے	dene
پر	par
ایرانی	Irani
حکومت	hukoomat
نے	ne
مصر	Misr
سے	se
اپنے	apne
تمام	tamaam
تعلقات	taalluqaat
منقطع	munqata
کرلئے	kar liye
اور	aur
انور	anwar
سادات	saadaat
کے	ke
قتل	qatl
کے	ke
بعد	baad
1981ء	1981
میں	mein
دار الحکومت	daarul hukoomat
تہران	Tehran
کی	kee
ایک	ek
مصروف	masroof
سڑک	sadak
کو	ko
خالد	Khalid
اسلامبولی	Islamboli
سے	se
موسوم	mausoom
کر	kar
دیا۔	diya.
</s>	</s>
پاکستان	Pakistan
مسلم	Muslim
لیگ	League
عام	aam
طور	taur
پر	par
آل	All
انڈیا	India
مسلم	Muslim
لیگ	League
کو	ko
ہی	hee
کہتے	kahte
ہیں	hain
جسے	jise
تقسیم	taqseem
کے	ke
بعد	baad
پاکستان	Pakistan
منتقل	muntaqil
ہونے	hone
کے	ke
بعد	baad
بعض	baaz
اوقات	auqaat
تمیز	tameez
کے	ke
لیے	liye
یہ	ye
نام	naam
دیا	diya
جاتا	jaata
ہے۔	hai.
</s>	</s>
ان	in
آیات	aayaat
میں	mein
صرف	sirf
ان	un
کی	kee
بہترین	behtareen
جزا	jaza
بتانے	bataane
ہی	hee
پر	par
اکتفا	iktefa
نہیں	nahin
کیا	kiya
گیا	gaya
ہے	hai
بلکہ	balki
مختصراً	mukhtasran
یہ	ye
بھی	bhi
بتا	bata
دیا	diya
گیا	gaya
ہے	hai
کہ	ki
ان	un
کے	ke
وہ	wo
کیا	kya
اعمال	aimaal
ہیں	hain
جن	jin
کی	kee
بنا	bina
پر	par
وہ	wo
اس	is
جزا	jaza
کے	ke
مستحق	mustahaq
ہوں	hon
گے۔	ge.
</s>	</s>
شورے	shore
کا	ka
تیزاب	tezaab
یا	ya
نائٹرک	Nitric
ایسڈ	Acid
چاندی	Chandi
کو	ko
اپنے	apne
اندر	andar
حل	hal
کر	kar
لیتا	leta
ہے،	hai,
مگر	magar
سونے	sone
کو	ko
حل	hal
نہیں	nahin
کر	kar
پاتا۔	paata.
</s>	</s>
راجگان	Raajgaan
مندرہ	mandarah
اپنی	apni
کامرانیوں	kaamraaniyon
کو	ko
پیر	Peer
احمد	Ahmad
شاہ	Shah
کی	kee
بشارت	bashaarat
سے	se
منسوب	mansoob
کرتے	karte
ہیں	hain
قبلہ	qibla
پیر	Pir
محمد	Mohammad
شاہ	Shah
نے	ne
بعد	baad
از	az
وصال	wisaal
مدفن	mudaffan
تبدیل	tabdeel
فرمایا ،منگلا	farmaya, Mangla
ڈیم	Dam
کی	kee
تعمیر	taameer
کی	kee
وجہ	wajah
سے	se
کھنیارہ	Khanyara
شریف	Sharif
سے	se
پیر	Peer
صاحب	Sahab
کے	ke
مزارات	mazaaraat
کی	kee
منتقلی	muntaqli
عمل	amal
میں	mein
آئی	aayi
تو	to
جناب	janaab
پیر	Peer
صاحب	Sahab
نے	ne
خطہ	khitta
پوٹھوار	Pothwar
میں	mein
جی	G
ٹی	T
روڈ	Road
بچہ	bachcha
گاؤں	gaon
کے	ke
قریب	qareeb
اپنا	apna
مسکن	maskan
بنالیاجو	bana liya jo
اب	ab
کھنیارہ	Khanyara
ثانی	Saani
کے	ke
نام	naam
سے	se
مشہور	mash-hoor
ہے	hai
جہاں	jahaan
پیر	Peer
صاحب	Sahab
کا	ka
پرشکوہ	pur-shikoh
روضہ	rauza
مبارک	mubarak
اپنی	apni
تمام	tamaam
تر	tar
رعنائیوں	ra-naiyon
اور	aur
جلوہ	jalwa
انوار	anwaar
وتجلیات	wa tajalliyaat
کے	ke
ساتھ	saath
عقیدت	aqeedat
مندوں	mandon
کے	ke
قلوب	quloob
و	wa
ارواح	arwaah
کو	ko
منور	munawwar
کیے	kiye
ہوئے	huye
ہے،,آفتاب	hai, aftaabe
معرفت،،	muarfat,
پیر	Peer
صاحب	Sahab
کی	kee
سوانح	sawaanih
حیات	hayaat
و	wa
کرامات	karaamaat
کامجموعہ	ka majmua
ہے	hai
جس	jis
کی	kee
جدید	jadeed
اشاعت	asha-at
چودھری	Chaudhary
محمد	Mohammad
وارث	Waris
خان	Khan
ایڈوکیٹ	Advocate
راولپنڈی	Rawalpindi
کی	kee
عقیدت	aqeedat
کا	ka
اظہار	izhaar
ہے	hai
پیر	Peer
محمد	Mohammad
شاہ	Shah
صاحب	Sahab
صوفی	Sufi
شاعر	shayar
بھی	bhee
تھے	the
آزاد	azad
کشمیر	Kashmir
اور	aur
علاقہ	ilaaqa
پوٹھوار	Pothwar
کی	kee
وسیع	wasee
وادیوں	waadiyon
مین	mein
ان	un
کا	ka
سوز	sooz
و	wa
گداز	gudaaz
میں	mein
ڈوبا	dooba
ہوا	hua
عارفانہ	aarifaana
کلام	kalaam
مجلسی	majlisee
زندگی	zindagi
کا	ka
جزو	juzw
بن	ban
چکا	chuka
ہے	hai
آج	aaj
بھی	bhi
بے	be
شمار	shumaar
لوگ	log
آپ	aap
کی	kee
ابیات	abiyaat
کوانتہائی	ko intehayee
عقیدت	aqeedat
سے	se
پڑھتے	padhte
ہیں	hain
اور	aur
ان	un
کے	ke
عارفانہ	aarifaana
کلام	kalaam
سے	se
روحانی	roohani
سوز	sooz
و	wa
گداز	gudaaz
اورصفائے	aur safaaye
قلب	qalb
حاصل	haasil
کرتے	karte
ہیں	hain
لوک	lok
ورثہ	wrisaa
کے	kye
زیر	zere
اہتمام	ihtemaam
طباعت	tabaat
شدہ	shuda
پیر	Peer
صاحب	Sahab
کے	ke
کلام	kalaam
کے	ke
دو	do
مجموعہ،,من	majmooa "man
کے	ke
تار،،اور،,پیر	taar" aur "Peer
دی	di
ہیر،،	Heer"
عقیدت	aqeedat
مندان	mandaan
کے	ke
فکر	fikr
وفلسفہ،روشنی	wa falsafa, roshni
واطمینان	wa itminaane
قلب	qalb
کاسامان	ka saamaan
مہیا	muhaiya
کر	kar
رہے	rahe
ہیں۔	hain.
</s>	</s>
مزید	mazeed
دیکھیے:	dekhiye:
آثار	aasaare
اقبال	Iqbal
</s>	</s>
سردار	Sardar
علی	Ali
ٹکر	Takar
1956ء	1956
میں	mein
ٹکر	Takar
گاؤں	gaon
جو	jo
تخت	Takht
بائی	Bai
ضلع	zila
مردان	Mardaan
میں	mein
واقع	waqe
ہے	hai
پیدا	paida
ہوئے۔	huye.
</s>	</s>
بعض	baaz
کتابوں	kitaabon
کے	ke
مطابق	mutaabiq
تریاق	tiryaaq
یونانی	Unani
زبان	zabaan
میں	mein
’’ادویہ	"adwiya
سمّیہ	summiya
قاتلہ‘‘	qaatila"
کے	ke
لیے	liye
بھی	bhi
بولا	bola
جاتا	jaata
ہے	hai
لیکن	lekin
اب	ab
یہ	ye
ہر	har
قسم	qism
کے	ke
زہروں	zahron
کے	ke
لیے	liye
مفید	mufeed
دواء	dawa
کے	ke
معنی	maani
میں	mein
استعمال	istemaal
کیا	kiya
جانے	jaane
لگا	laga
ہے۔	hai.
</s>	</s>
اب	ab
بھی	bhi
نئی	nayi
دنیا	duniya
اس	us
سے	se
تحریک	tahreek
حاصل	haasil
کر	kar
رہی	rahi
ہے۔	hai.
</s>	</s>
شہید	shaheed
ثالث	Saalis
رحمة اللہ	rahmatullah
علیہ	alaihi
اور	aur
مولانا	Maulana
محمد	Mohammad
تقی	Taqi
برغانی	Barghani
نے	ne
بھی	bhi
نام	naam
کی	ki
صراحت	siraahat
نہیں	nahin
فرمائی۔	farmayi.
</s>	</s>
مصر	Misr
</s>	</s>
لندن	London
میں	mein
اس	us
کے	ke
رقص	raqs
نے	ne
لوگوں	logon
کو	ko
بے	be
حد	had
متاثر	mutassir
کیا۔	kiya.
</s>	</s>
ویب سائٹ	Website
گل	gul
بوٹے	boote
</s>	</s>
اے	Aye
خدا،	Khuda,
تو	tu
مجھے،	mujhe,
میرے	mere
محبوب	mahboob
کو	ko
اور	aur
ہر	har
چیز	cheez
کو	ko
لے	le
لے،	le,
لیکن	lekin
مجھ	mujh
کو	ko
جب	jab
تک	tak
زندہ	zindah
ہوں	hoon
اس	is
وطن	watan
سے	se
جدا	juda
نہ	na
کر۔	kar.
</s>	</s>
محبت	mohabbat
میں	mein
ناکامی	naakaami
کے	ke
اس	is
تجربے	tajurbe
نے	ne
ذہنی	zehni
طور	taur
پر	par
شدید	shadeed
متاثر	mutassir
کیا۔	kiya.
</s>	</s>
بابر	Babar
</s>	</s>
یہ	ye
شہر	shahar
میں	mein
چند	chand
پانی	paani
والے	waale
تفریحی	tafreehi
پارکس	parks
میں	mein
سے	se
ایک	ek
ہے۔	hai.
</s>	</s>
حافظ	Hafiz
کی	kee
شاعری	shayari
پر	par
تحقیق	tahqeeq
کا	ka
بھی	bhi
یہی	yahi
دور	daur
تھا	tha
ساتھ	saath
ہی	hi
ان	un
کی	kee
لافانی	laafaani
کتاب	kitaab
”روشنائی “بھی	"Roshani" bhi
اسی	isi
دوران	dauraan
لکھی	likhi
گئی۔	gayi.
</s>	</s>
جامع	Jama
مسجد	Masjid
اسمعیل	Ismail
جامع	Jama
مسجد	Masjid
اسمعیل	Ismail
جوہرٹاون	Johar Town
