ரேடியோ அதிர்வெண் முடுக்கிகள், துகள்கள் நேரடியாக முடுக்குகிறது.	Radio athirven mudikkigal, thugalkal neradiyaga mudukukirathu.
மலையகமும் இலக்கியமும்	malaiyagamum ilakkiyamum
இந்த யாகத்தின் போது அர்ச்சுனனின் மகன் பப்புருவனின் கரங்களால் அர்ச்சுனனும் விரிஸ்வகேதுவும் இறந்தனர்.	indha yaagathin podhu archunanin magan pappuruvanin karangalaal archunanum virisvakedhuvum irandhanar.
இயேசுவின் பிறப்பு	iyesuvin pirappu
கெவின் டில்லன்	Kevin Dillan
இறுதி தீர்ப்பில் மூன்று நீதிபதிகள் கொண்ட உச்ச நீதிமன்ற அமர்வு பவானி சிங் அரசு வழ‌க்கறிஞராக வாதாடியது தவறு என்றும் அதற்காக மீண்டும் வாதத்தை முதலில் இருந்து ஆரம்பிக்க வேண்டியதில்லை என்றும் தீர்ப்பு வழங்கினர்.	Irudhi theerppil moonru needhibadhigal konda ucha needhimanra amarvu bavani singh arasu vazhakkarignaraaga vaadhaadiyadhu thavaru enrum adharkaaga meendum vaadhathai mudhalil irundhu aarambikka vendiyadhillai enrum theerpu vazhanginar.
1794: கிண்டியில் நில அளவை பயிற்சிப் பள்ளியை நிறுவினர்.	1794: guindiyil nila alavai payirchip palliyai niruvinar.
EER எவ்வளவு குறைவாக இருக்கிறதோ அவ்வளவு அதிகமாக கருவியும் துல்லியமாக இருக்கிறது என்று கருதப்படும்.	EER evvalavu kuraivaaga irukkiradho avvalavu adhigamaaga karuviyum thulliyamaaga irukkiradhu enru karudhappadum.
பார்வையாளர்கள் ஒரு இடத்திலிருந்து இன்னொரு இடத்திற்கு வருவதற்கு உதவக்கூடிய அமிழ் தண்டூர்தி வசதி செய்யப்பட்டு உள்ளது.	paarvaiyaalargal oru idathilirundhu innoru idathirku varuvadharku udhavakkoodiya amizh thandoordhi vasadhi seyyappattu ulladhu.
இவற்றின் வாழிடங்கள் தரைச் சூழல், புதர்ச் சூழல், மரச் சூழல், நன்னீர்ச் சூழல் ஆகிய சூழல் அமைப்புகளில் அமைகின்றன.	ivatrin vaazhidangal tharaich choozhal, pudharch choozhal, marach choozhal, naneerch choozha, aagiya choozhal amaippugalil amaiginrana.
நாயுடு அவர்களும் பங்கெடுத்தார்கள்.	naidu avargalum pangeduthaargal.
copo என்ற போர்த்துகீசிய சொல்லில் இருந்து தமிழுக்கு வந்த சொல்.	copo enra porthugeesiya sollil irundhu thamizhukku vandha sol.
புற்று நோய், ஞாபக மறதி நோய், குழந்தைகள் குறைபாடுடன் பிறத்தல் போன்றவற்றிற்கும் காரணமாகிறது.	putru noi, gnabaga maradhi noi, kuzhandhaigal kuraibadudan pirathal ponravatrirkum kaaranamaagiradhu.
மற்றபடி விவிலியத்தின் புனிதத்தன்மை, திரித்துவக் கோட்பாடு போன்றவற்றில் இவர்கள் சீர்திருத்தக் கிறித்தவர்களுடன் ஒத்த கொள்கையைக் கொண்டுள்ளனர்.	matrabadi viviliyathin punidhathanmai, thiruthuvak kotpaadu ponravatril ivargal seerthiruthak kirithavargaludan otha kolgaiyaik kondullanar.
இந்திய விடுதலைப் போர் செந்தமிழ் தந்த சீர்	indhiya viduthalaip por senthamizh thandha seer.
பின்னடைப்பிலுள்ள மரைகளால் ஆக்கிரமிக்கப்படும், குழலாசன பரப்பை தரும் சூத்திரம் பின்வருமாறு:	pinnadaippilulla maraigalaal aakkiramikkappadum kuzhalaasana parappai tharum soothiram pinvarumaaru:
அவை பிபிஎஸ் தொலைக்காட்சிளிலும் ஒளிபரப்பாகின.	avai BBS tholaikkatchililum oliparappaagina.
இந்த வார்டுகளான கத்திணி தொகுதியில் மொத்தம் பத்து வார்டுகள் உள்ளன.	indha wardugalaana kathini thogudhiyil motham pathu wardugal ullana.
இந்தப் பாடல் பிட்டங்கொற்றன் என்பவனின் நல்லியல்புகளைக் கூறுகிறது.	indhap paadal pittangotran enbavanin nalliyalbugalaik koorugiradhu.
மெட்ரிகுலேசன் வரை படித்த அநுத்தமா தன் சொந்த முயற்சியில் இந்தி, பிரெஞ்சு, தெலுங்கு ஆகிய மொழிகளைக் கற்றார்.	Matriculation varai paditha anuthamaa than sontha muyarchiyil Hindi, French, Telungu aagiya mozhigalaik katraar.
ஆசாரியராவதற்கு சிவபுராணங்களை அறிந்திருக்க வேண்டுமெனவும் , சிவபுராணங்களை படிக்கும் பொழுதும், கேட்கும் பொழுதும் உத்திராட்சத்தினை தரிக்க வேண்டுமெனவும் , சிவராத்தியன்று சிவபுராணங்களை படிக்க வேண்டுமெனவும் ஆறுமுக நாவலர் கூறுகி்றார்.	Aasaariaraavadharku sivapuraanangalai arindhirukka vendumenavum , sivapuraanangalai padikkum pozhudhum, ketkum pozhudhum uthiraatchathinai tharikka vendumenavum , sivaraathianru sivapuraanangalai padikka vendumenavum aarumuga naavalar koorugiraar.
வடக்கே பிரதான வீதியினாலும்இ கிழக்கே 6ம் குறுக்குத் தெருவினாலும் தெற்கே பாங்ஷால் வீதியினாலும், மேற்கே சென் Nஐம்ஸ் மேற்கு வீதியினாலும் சூழப்பட்டுள்ள ஆலயம், பிரதான வீதியை நோக்கிய வண்ணம் (வடக்கு நோக்கி) அமைந்துள்ளது.	Vadakke piradhaana veedhiyinaalume kizhakke 6m kurukkuth theruvinaalum therke pangshal veedhiyinaalum, merke sen Nims merku veedhiyinaalum soozhappattulla aalayam, piradhaana veedhiyai nokkiya vannam (vadakku nokki) amaindhulladhu.
உண்மையில் இரு தரப்பினர் ஒரு உறுதிமொழிப்பத்திரத்தில் உள்ளனர்.	unmaiyil iru tharappinar oru urudhimozhippathirathil ullanar.
லெயோ மொறுவா அடிகளார்.	Leyo moruva adigalaar.
தான் இல்லாத போது கீதாவின் மரணத்திற்குப் பின் எல்லா சடங்குகளையும் செய்ததற்காக ஸ்ரீராமுக்கு ரகு நன்றி கூறுகிறான்.	Thaan illadha pothu geethavin maranathirkup pin ella sadangugalaiyum seithatharkaaga sriramukku raghu nanri koorugiraan.
மற்றும் இது இட்ரியம் ஆர்த்தோ வனேடேட்டு தயாரிப்பில் பரவலாகப் பயன்படுத்தப்படுகிறது.	Matrum idhu itriyam artho vanedettu thayaarippil paravalaagap payanpaduthappadugiradhu.
1992ஆம் ஆண்டு கருப்பு புதன் எனப்படும் யூகே நாட்டின் செலாவணி நெருக்கடியின்போது $1 பில்லியன் ஈட்டியதாகக் கூறப்பட்டதற்குப் பின்னர், "இங்கிலாந்து வங்கியை முறித்த மனிதர்" என இவர் அறியப்படலானார்.	1992aam aandu karuppu pudhan enappadum UK naattin selaavani nerukkadiyinpodhu $1 billion eettiyadhaagak koorappattadharkup pinnar, "England vangiyai muritha manidhar" ena ivar ariyappadalaanaar.
பொன், வெள்ளி முதலியவற்றைத் தொடாது இருத்தல்.	Pon, velli mudhaliyavatraith thodaadhu iruthal.
இந்தியை ஏற்றுக்கொள்வது இந்தி பேசும் வட இந்தியர்களிடமிருந்து, தமிழர்களைப் பிரித்து அவர்களை இரண்டாம் தர குடிமக்களாக்க வழிவகுத்துவிடும்.	Hindiyai etrukkolvadhu hindi pesum vada indhiyargalidamirundhu, thamizhargalaip pirithu avargalai irandaam thara kudimakkalaakka vazhivaguthuvidum.
மெசொப்பொத்தேமியாவில் இருந்து இது எகிப்து, பாரசீகம், எசுப்பெயின் முதலிய நாடுகளுக்குப் பரவி அங்கிருந்து மறுமலர்ச்சிக் காலத்தில் இத்தாலிக்குப் பரவியது.	Mesoppothemiyaavil irundhu idhu Egypt, Paarasegam, Esuppeyin mudhaliya naadugalukkup paravi angirundhu marumalarchik kaalathil ithalikkup paraviyadhu.
1997–1998 காலப்பகுதியில் செச்சினியாவின் மஷ்காதொவ் அரசில் துணைப் பிரதமராகவும் பதவியில் இருந்தார்.	1997-1998 kaalappaguthiyil sechiniyavin mazhkathov arasil thunaip piradhamaraagavum padhaviyil irundhaar.
சிதம்பரம்,அண்ணாமலை பல்கலைக்கழகம் வளாகத்தில் பொறியியல் கல்லூரி துவக்கம்	Chidambaram,Annamalai palgalaikkazhagam valaagathil poriyiyal kalloori thuvakkam.
வெரிடபிள் மற்றும் கிரெனேட் நடவடிக்கைகளின் மூலம் 1945 மார்ச் முதல் வாரம் நேசநாட்டுப் படைகள் ரைன் ஆற்றின் மேற்குக் கரையை அடைந்தன.	Veridapil matrum kirenet nadavadikkaigalin moolam 1945 march mudhal vaaram nesanaattup padaigal rine aatrin merkuk karaiyai adaindhana.
தாங்குநிலை நகர்ப்புறவியம்	Thaangunilai nagarppuraviyam.
இவ்வகை உருவாக்கத்துடன் இயைந்து குகையின் கூரையில் இருந்து பாறை செங்குத்தாக கீழ்நோக்கி வளருவது விழுதுப் பாறை உருவாக்க முறைஎனப்படுகிறது.	Ivvagai uruvakkathudan iyaindhu kugaiyin kooraiyil irundhu paarai senguthaaga keezhnokki valaruvadhu vizhudhup paarai uruvaakka muraienappadugiradhu.
மரபு இயல்	marabu iyal
சாந்திரா மூர் பேபர்	Chaandira moor bebar
ஏப்ரல் முதல் செப்டம்பர் வரையான காலத்தில் கூழைக்கடாக்களை பார்க்க இயலும், மேலும் ஆண்டு முழுவதும் சாம்பல் நாரை போன்ற பறவைகளைக் காணலாம்.	April mudhal September varaiyaana kaalathil koozhaikkadaakkalai paarkka iyalum. Melum aandu muzhuvadhum saambal naarai ponra paravaigalaik kaanalam.
ஐந்நைட்ரேட்டுச் சேர்மமே மிகப் பொதுவாகக் காணப்படும் பிசுமத் நைட்ரேட்டு வடிவமாகும்.	Ainnaitrettuch chermame migap podhuvaagak kaanappadum pisumath nitrettu vadivamaagum.
மயிலை சீனி. வேங்கடசாமி அவரிகளின் பண்டைத் தமிழக வரலாறு - சேரர், சோழர், பாண்டியர்	Mayilai seeni. Venkatasaami avarigalin pandaith thamizhaga varalaaru - serar, sozhar, paandiyar.
ஜம்மு- காஷ்மீர் கோட்டைகளில் பெரும்பான்மையானவை இராசபுத்திர அரசர்களால் கட்டப்பட்டவைகள் ஆகும்.	Jammu- Kashmir kottaigalil perumbanmaiyaanavai iraasaputhira arasargalaal kattappattavaigal aagum.
ஜெர்மானிய மக்களின் பண்பாட்டுக் கூறுகள் டோல்கீனைக் கவர்ந்தவை.	Germaaniya makkalin panbattuk koorugal Dolkeenaik kavarndhavai.
எழுத்து, சொல், பொருள்	Ezhuthu, sol, porul
பலவெவ்வேறான வட்டாரங்கள் இதில் அடங்கும்: லிடியா, லிசியா, கேரியா, கலாசியா, பிலியன்சு,பிதைனியா,பைசியா, உரோமானிய ஆசியா மாகாணம் (இது எபேசஸ் அல்லது ஐயோனியா எனவும் அழைக்கப்பட்டது), சிலிசியா, ஐசவுரியா, ஐரிக் போன்றவை அடங்கும்	Palavevveraana vattaarangal idhil adangum: Lidia, Lisia, Keriya, Kalasiya, Filiansu,Pidhainiya,Paisiya, Uromaaniya Asia maagaanam (idhu Ebesas alladhu Aiyoniya enavum azhaikkappattadhu), Silisiya, Aisavuriya, Airik ponravai adangum.
சரவணன் மீனாட்சி (பகுதி 3) இது விஜய் டிவி யில் புகழ் பெற்ற சரவணன் மீனாட்சி தொடரின் மூன்றாம் பாகம் ஆகும்.	Saravanan Meenatchi (Pagudhi 3) idhu Vijay Tv il pugazh petra saravanan meenatchi thodarin moonram baagam aagum.
சார்புக் கோட்பாடு அல்பர்ட் ஐன்ஸ்டீனால் முன்வைக்கப்பட்ட பிரபலமான கோட்பாடாகும்.	Saarbuk kotpaadu Albert Insteinaal munvaikkappatta pirabalamaana kotpaadagum.
நியூட்டனின் வளையங்களின் விட்டம் இயல் எண்களின் வர்க்க மூலத்திற்கு நேர் விகிதத்தில் இருப்பதால் வளையங்களின் தடிமன் சிறிது சிறிதாக குறைகிறது.	Newtonin valaiyangalin vittam iyal engalin varga moolathirku ner vigidhathil iruppadhaal valaiyangalin thadiman siridhu siridhaaga kuraigiradhu.
அதிகக் குளிரினால் இது பாதிக்கப்பட்டு முரண்பாடாகச் செயல்படலாம்.	Adhigak kulirinaal idhu paadhikkappattu muranbaadagach cheyalpadalaam.
ஆசிரியப்பாவில் இருவகையான வஞ்சித்தளைகள் தவிர்ந்த ஏனைய ஐந்து தளைகளும் வரும்.	Aasiriyappavil iruvagaiyaana vanjiththalaigal thavirndha enaiya aindhu thalaigalum varum.
பா. ராகவன் விமர்சனம்	Paa. raagavan vimarsanam.
ஒரு குறைந்தளவு பணமாகும் சொத்திருப்பு அதிகமாக பணமாகும் சொத்திருப்புடன் மேற்கொள்ளும் பரிமாற்றச் செயல் கணக்கெடுத்து மூடுதல் என அழைக்கப்படுகிறது.	Oru kuraindhalavu panamaagum sothiruppu adhigamaaga panamaagum sothiruppudan merkollum parimaatrach cheyal kanakkeduthu mooduthal ena azhaikkappadugiradhu.
கந்தபுராண தொடா் நிகழ்வு	Kandhapuraana thodar nigazhvu.
அரட்லகட்ட	Aratlakatta
இவர் பிரதான நடிகரா நடித்த சில திரைப்படங்கள் ஹேரல்ட் & குமார் கோ டு வைட் காசில் மற்றும் த நேம்சேக் ஆகும்; நேஷனல் லாம்பூன்ஸ் வான் வைல்டர், அமெரிக்கன் தேசி, மாலிபூஸ் மோஸ்ட் வாண்டெட் ஆகிய திரைப்படங்களிலும் நடித்தார்.	Ivar piradhaana nadigaraa naditha sila thiraippadangal heralt & kumar ko du vait kaasil matrum tha nemsek aagum; National lamboons vaan vaildar. American dhesi, maalipoos most wanted aagiya thiraippadangalilum nadithaar.
நீங்கள் கொஞ்சம் தள்ளி நிற்க வேண்டும் எங்கள் மீது சூரியனின் ஒளி படவில்லை என்று கூறினர்.	Neengal konjam thalli nirka vendum engal meedhu sooriyanin oli padavillai enru koorinaar.
திரைக்கதை ஒய்.	Thiraikkadhai why.
இந்திய பாக்கித்தான் பிரிவினைக்குப் பின் பல இலட்சம் மக்கள் பாக்கித்தானின் பஞ்சாபுப் பகுதியிலிருந்து இந்திய பஞ்சாபுப் பகுதிக்கு புலம் பெயர்ந்தனர்.	Indiya Pakkithan pirivinaikkup pin pala ilatcham makkal pakkithanin punjabup pagudhiyilirundhu indiya panjabup pagudhikku pulam peyarndhanar.
சாயமேற்றல் (Staining) என்பது ஒரு மாதிரியை அல்லது உயிரணுக்களை அல்லது இழையங்களை ஆய்வு செய்வதற்காக நுணுக்குக்காட்டி ஊடாக அவதானிக்கும்போது, அங்கே உயிரணுக்கள் அல்லது இழையங்களிடையே வேறுபாட்டை ஏற்படுத்தி அவற்றை இலகுவாக அடையாளப்படுத்துவதற்காக, நுண்ணோக்கியியலில் பயன்படுத்தப்படும் ஒரு துணை தொழில்நுட்பம் ஆகும்.	Saayametral (Staining) enbadhu oru maadhiriyai alladhu uyiranukkalai alladhu izhaiyangalai aaivu seivadharkaaga nunukkukkatti oodaaga avadhanikkumbodhu, ange uyiranukkal alladhu izhaiyangalidaiye verubaattai erpaduthi avatrai ilaguvaaga adaiyaalappaduthuvadharkaaga, nunnokkiyiyalil payanpaduthappadum oru thunai thozhilnutpam aagum.
மாடுகளை கவர்ந்து சென்ற வன்னியர்களிடமிருந்து மீட்க போர் புரிந்தார்.	Maadugalai kavarndhu senra vanniyargalidamirundhu meetka por purindhaar.
இது கூகிள் போன்ற போட்டியாளர்களுடன் போட்டிபோடக்கூடிய வகையில் எம்எஸ்என்-இன் மீளுருவாக்கம் ஆகும்.	Idhu Google ponra pottiyaalargaludan pottipodakkodiya vagaiyil MSN-in meeluruvakkam aagum.
இவை அளவில் சிறியதும் வீட்டுக்குருவி போன்று கூட்டமாக வாழும், தாவர விதைகளை உண்ணபதற்கேற்ற அலகினைக் கொண்ட பறவைகள்.	Ivai alavil siriyadhum veettukkuruvi ponru koottamaaga vaazhum thaavara vidhaigalai unnabadharketra alaginaik konda paravaigal.
இப்பள்ளியில் ஆரம்ப காலத்தில் பிள்ளையார் பாளையம் பகுதி மாணவ மாணவியர் மட்டுமே பயின்று வந்தனர்.	ippalliyil aaramba kaalathil pillaiyar palayam pagudhi maanava maanaviyar mattume payinru vandhanar.
'ஸர்வஸாரம்' என்ற சொல் பொருள் பொதிந்தது.	sarvasaaram' enra sol porul podhindhathu.
இவர் அடிப்படையில் தமிழ்ப்புலமை பெற்றவர்.	ivar adippadaiyil thamizhppulamai petravar.
இவை விழுங்கி அழித்தல், சுரப்புகள் மூலம் அழித்தல் மற்றும் கலச்சாறின் உற்பத்தி.	ivai vizhungi azhithal, surappugal moolam azhithal matrum kalachaarin urpathi.
ஆப்கானித்தானின் காஸ்னி மாகாணத்தில் அச்ரிஸ்தான் மாவட்டம் தாலிபான்களின் கட்டுப்பாட்டுக்குள் வந்தது. (பிபிசி)	Afganisthanin kaasni maagaanathil achristhaan maavattam talibangalin kattuppattukkul vandhathu. (BBC)
அாிஸ்டோபான்ஸ் ஆப் பைசான்டியம் என்பவா் நிறுத்தற்குறியீடுகளை கண்டுபிடித்தக் காலத்தில்,வாசிப்போா் உரத்தக்குரலில் சத்தமாக வாசிக்கும் போது இடையிடையே மூச்சுவிட்டு விட்டு வாசிப்பதை அவதானித்த அவர்,குறிப்பிட்ட நீண்ட வாக்கியங்களில் இடையிடையே நிறுத்தி (மூச்சுவிட்டு)வாசிப்பதற்காக ஒரு குறியீட்டை அறிமுகப்படுத்தினாா்.	Aristobans of Byzantium enbavar nirutharkuriyeedugalai kandupidithak kaalathilvaasippor urathakkuralil sathamaaga vaasikkum podhu idaiyidaiye moochuvittu vittu vaasippadhai avadhaanitha avarkurippitta neenda vaakkiyangalil idaiyidaiye niruthi (moochuvittu)vaasippadharkaaga oru kuriyeettai arimugappaduthinaar.
அதுமுதல், இன்னும் பல இரட்டை நட்சத்திரங்கள் வகைப்படுத்தப்பட்டுள்ளதோடு அளவுகள் கணக்கிடப்பட்டும் வந்துள்ளன.	adhumudhal, innum pala irattai natchathirangal vagaippaduthappattulladhodu alavugal kanakkidappattum vandhullana.
ஹிஸ்புல் முஜாகிதீன் என்பதற்கு புனிதப் போராளிகளின் குழு என்று பொருள்.	Hisbul Mujahideen enbadharku punidhap poraaligalin kuzhu enru porul.
இவர் எந்தவொரு தேர்வுத் துடுப்பாட்டப் போட்டியிலும் கலந்து கொள்ளவில்லை.	ivar enthavoru thervuth thuduppaattap pottiyilum kalanthu kollavillai.
இதிகாச புராணங்களை மக்களுக்கு எடுத்துக் கூறும் பணியினைச் செய்பவர்.	idhigaasa puraanangalai makkalukku eduthuk koorum paniyinaich cheybavar.
'வழி மீசாம்' இல்லாமல் குருவானவர் நிரந்தரமாக தங்கியிருந்து பணியாற்ற வேண்டிய தேவை ஏற்பட்டது.	vazhi meesaam' illaamal guruvaanavar nirandharamaaga thangiyirundhu paniyaatra vendiya thevai erpattadhu.
உறையானது செயல்படு திரவத்தை உள்ளிட்டும் இயக்கவும் செய்கிறது என்பதோடு தண்ணீர் விசையாழிகளுக்கு இழுவைக் குழாயால் பிரிக்கப்பட்ட உறிஞ்சியை தக்கவைக்க வேண்டியிருக்கிறது.	uraiyaanadhu seyalpadu thiravathai ullittum iyakkavum seygiradhu enbathodu thaneer visaiyaazhigalukku izhuvaik kuzhaayaal pirikkappatta urinjiyai thakkavaikka vendiyirukkiradhu.
அன்றிலிருந்து எதிரணியில் இருந்து கட்சி தாவி ஆளும் கூட்டணியில் இணைந்து கொண்டோருடன் சேர்த்து ஆளும் கூட்டணியின் பலம் 129 இற்கு அதிகரித்தது.	anrilirundhu edhiraniyil irundhu katchi thaavi aalum koottaniyil inaindhu kondorudan serthu aalum koottaniyin palam 129 irku adhikarithadhu.
தோல்வியாதிகள் உள்ளவருக்கு மசாஜ் ஏற்றதல்ல.	tholviyaadhigal ullavarukku masaaj etradhalla.
தன்னிடமிருந்த ரொட்டித்துண்டையும் ஐந்து லிட்டர் புனித நீரையும் அங்கு பாதிக்கப்பட்டிருந்த வேறு சிலருக்குப் பகிர்ந்தளித்தார்.	thannidamirundha rottithundaiyum aindhu littar punidha neeraiyum angu padhikkappattirundha veru silarukkup pagirndhalithaar.
இம்மரபு முறைகள் முறையான கல்வி மற்றும் பயிற்சியின் மூலம் இசை மாணவர்களுக்கு ஆசிரியரால் அளிக்கப்படுகிறது.	immarabu muraigal muraiyaana kalvi matrum payirchiyin moolam isai maanavargalukku aasiriaraal alikkappadugiradhu.
தாமசு	thaamasu
துகள்களை வளைப்பது, குவிப்பது, முடுக்குவது ஆகியவை தனித் தனி பகுதிகளாக பிரிக்கப்பட்டு செயல்படுத்தப்படுகிறது.	thugalgalai valaippadhu, kuvippadhu, mudukkuvadhu aagiyavai thanith thani pagudhigalaaga pirikkappattu seyalpaduthappadugiradhu.
இரண்டு நட்சத்திரங்களுக்கு இடையிலான தூரமும் நிற வித்தியாசமும் கண்டுகொள்ள எளிதாக்குகின்றன.	irandu natchathirangalukku idaiyilaana thooramum nira vithiyaasamum kandukolla elidhaakkuginrana.
சனி, சூரியக் காற்று மற்றும் பூமியின் மீது அதன் விளைவுகள் ஆகியவற்றோடு தொடர்புடைய இயற்பியல் நிகழ்வுகளை ஆராய்வதாகும்.	sani, sooriyak kaatru matrum boomiyin meedhu adhan vilaivugal aagiyavatrodu thodarbudaiya iyawbiyal nigazhvugalai aaraaivadhaagum.
'இளம் பெண்' என்பது பதின்ம பருவத்திற்கு மேலுள்ள(அரிவை, தெரிவை) மகளிரை குறிக்கும்.	ilam pen' enbadhu padhinma paruvathirku melulla(arivai, therivai) magalirai kurikkum.
அந்த போரில் வென்ற அலெக்ஸாண்டர் டியோஜெனிஸிடம் உங்களுக்கு என்ன வேண்டும் என்று கேட்ட பொழுது தந்ததுவ வாதிகள் அலெக்ஸாண்டரிடம் ஏளனமாக பதில் கூறினர்.	andha poril venra alexander diogenesidam ungalukku enna vendum enru ketta pozhudhu thandhadhuva vaadhigal alexanderidam elanamaaga padhil koorinar.
லெசின்	Lesin
வேதாள உலகம்	Vedhaala ulagam
பின்னர் இந்த ஐந்து பேரும் கைது செய்யப்பட்டனர்.	Pinnar indha aindhu perum kaidhu seyyappattanar.
பிரிட்டனின் காலனிய அரசு இந்திய மக்களின் விடுதலையைப் பறித்ததொடு மட்டும் நில்லாமல், அவர்களைச் சுரண்டுவதையே தனது அடிப்படைக் கொள்கையாகக் கொண்டுள்ளது.	Britanin colonya arasu indhiya makkalin viduthalaiyap parithathodu mattum nillaamal, avargalaich churanduvadhaiye thanadhu adippadaik kolgaiyaagak kondulladhu.
தற்காலத்தில் சில குறிப்பிட்ட விடயங்கள் சார்ந்த தபால்தலைகளுக்காகவே தனியான விபரப்பட்டியல்கள் வெளியிடப்படுகின்றன.	tharkaalathil sila kurippitta vidayangal saarndha thabaalthalaigalukkaagave thaniyaana vibarappattiyalgal veliyidappaduginrana.
எந்தை திமில், இது, நுந்தை திமில்	endhai thimil, idhu, nundhai thimil
சுசன்னா இலாசர்	susanna ilaasar
இவர்தான் விண்மீன்களைக் கிரேக்க எழுத்துப் பெயரிட்டு அழைக்கும் முறையை உருவாக்கினார்.	ivarthaan vinmeengalaik kirekka ezhuthup peyarittu azhaikkum muraiyai uruvaakkinaar.
அலாவுதீன் கான் ஒரு பன்முக வாத்தியக்கலைஞர் ஆவார்.	Alaudeen Khan oru panmuga vaathiyakkalaignar aavaar.
மாணவராக இருக்கும் போதே தமிழ் இளைஞர் காங்கிரசில் இணைந்து அரசியலில் தீவிரம் காட்டினார்.	Maanavaraaga irukkum podhe thamizh ilaignar congressil inaindhu arasiyalil theeviram kaattinaar.
இதைத் தொடர்ந்து நூற்றுக்கணக்கான மாநில மற்றும் நடுவண் நாடாளுமன்ற உறுப்பினர்கள் பதவி விலகினர்.	Idhaith thodarndhu nootrukkanakkaana maanila matrum naduvan nadalumanra uruppinargal padhavi vilaginar.
வரலாற்றின் வெவ்வேறு காலப்பகுதிகளில் அந்தஸ்து குறியீடுகள் மாறி வந்திக்கின்றன.	varalaatrin vevveru kalappagudhigalil andhasthu kuriyeedugal maari vandhirukkinrana.
ஆனால் அவை திரும்பவில்லை.	Aanaal avai thirumbavillai.
பின்பு அவளது பணிகளைக் கண்டு காதல் கொள்ளும் மது, அவளிடம் தன காதலையும் சொல்கிறான்.	Pinbu avaladhu panigalaik kandu kaadhal kollum madhu, avalidam thana kaadhalaiyum solgiraan.
இரண்டாம் எத்தியோ-இத்தாலியப் போரின்போது அவரது தந்தை கொல்லப்பட்டார்.	Irandaam Ethio-Ithaaliyap porinpodhu avaradhu thandhai kollappattaar.
எங்க வீட்டுப் பிள்ளை	Enga veettup pillai
ஒரு நடிகனாக, ஒப்பனைக் கலைஞனாக, நாடகத் தயாரிப்பாளனாக, நெறியாளனாக அரங்கியல் துறையின் பன்முக ஆளுமை கொண்டவர் இவர்.	Oru nadiganaaga, oppanaik kalaignanaaga, naadagath thayarippalanaaga, neriyaalanaaga arangiyal thuraiyin panmuga aalumai kondavar ivar.
இவ்வதிரடித்தாக்குதலில் பெருந்தொகையான ஆயுத தளபாடங்கள் கைப்பற்றப்பட்டன. குடாநாடு மீதான ஆக்கிரமிப்புக்காக வைக்கப்பட்டிருந்த நடுத்தர ஆயுதக் களஞ்சியமொன்று புலிகளால் கைப்பற்றப்பட்டிருந்தது.	Ivvadhiradiththakkudhalil perundhogaiyaana ayudha thalabadangal kaippatrappattana. Kudanaadu meedhaana aakkiramippukkaaga vaikkappattirundha naduthara aayudhak kalanjiyamonru puligalaal kaippatrappattirundhadhu.
இருவரும் அடிக்கடி சந்தித்து அளவளாவுவர்.	Iruvarum adikkadi sandhithu alavalaavuvar.
இது இந்தியாவிலும் வடக்குக் காஷ்மீர் பகுதியில் பேசப்படுகின்றது.	Idhu indhiyavilum vadakkuk kashmir pagudhiyil pesappaduginradhu.
இது சலிப்படையவைக்கும் பணியாகத் தோன்றினாலும், உண்மையில், இதைப் பெறும் மாணவருக்கான வாய்ப்பு பெருமையானது மற்றும் அரிதானது.	Idhu salippadaiyavaikkum paniyaagath thonrinaalum, unmaiyil, idhaip perum maanavarukkaana vayppu perumaiyaanadhu matrum aridhaanadhu.
இவருடைய திரைப்படங்கள் பெரும்பாலும் நாவல்கள் அல்லது சிறுகதைகளைத் தழுவி எடுக்கப்பட்டவையாக இருக்கும்.	Ivarudaiya thiraippadangal perumbaalum naavalgal alladhu sirukadhaigalaith thazhuvi edukkappattavaiyaaga irukkum.
இவரின் தந்தை இந்தியத் தரைப்படையின் குமாவுன் படையணி அதிகாரியாகப் பணிபுரிந்தார்.	ivarin thandhai indhiyath tharaippadaiyin kumaavun padaiyani adhigaariyaagap panipurindhaar.
பில்லி முரளி	Billi Murali
இவ்வாறு ஒரு எண்ணுருவின் இயல்பான இயற்கையான மதிப்பு என்றுமே மாறுவதில்லை.	Ivvaaru oru ennuruvin iyalbaana iyarkaiyaana madhippu enrume maaruvadhillai.
இணையதள ஆதாரம் மற்றும் அமைப்பு இயங்குவதற்குத் தேவைப்படும் உயர்-வேக தரவுக் கேபிள்கள், ரூட்டர்கள் மற்றும் சர்வர்கள், அத்துடன் ப்ரோடோகால்கள் மற்றும் இதர அடிப்படை மென்பொருள்கள் ஆகியவையும் அடங்கும்	Inaiyadhala aadhaaram matrum amaippu iyanguvadharkuth thevaippadum uyar-vega tharavuk cablegal, routergal matrum servergal, athudan protocolgal matrum idhara adippadai menporulgal aagiyavaiyum adangum.
அடுத்து கலைமகள் இதழ் நடத்திய போட்டியில் இவரது “மணல்வீடு” புதினம் முதல் பரிசு பெற்றது.	Aduthu kalaimagal idhazh nadathiya pottiyil ivaradhu "manalveedu" pudhinam mudhal parisu petradhu.
இராமசாமி திராவிடநாடு அல்லது தனித்தமிழ்நாடு கோரிக்கையை முன்வைத்தார்.	iramasamy thiraavidanaadu alladhu thanithamizhnaadu korikkaiyai munvaithaar.
