కృష్ణాష్టమి నాడు భక్తులు పగలంతా ఉపవాసం ఉండి, సాయంత్రాం శ్రీకృష్ణుని పూజిస్తారు.	Krishnashtami naadu bhakthulu pagalantha vupavaasam vundi, saayanthram shreekrishnuni poogistharu.
అలాగే జీర్ణప్రక్రియలో అతి ప్రాధాన్యతను సంతరించుకున్నది.	alaage jeernaprakriyalo ati praadhaanyatanu santarimchukunnadi.
కొత్తగా నియమితులైన సైనికులందరికీ తప్పనిసరైన ఒక జాతీయ స్థాయి పరుగుల పోటీని భారత సైన్యం నిర్వహించగా, మిల్ఖా సింగ్ 6వ స్థానంలో పోటీని ముగించినందుకు భారత సైన్యం అతనికి వ్యాయామ క్రీడలలో ప్రత్యేక శిక్షణ కల్పించింది.	kottagaa niyamitulaina sainikulandarikee tappanisaraina oka jaateeya sthaayi parugula poteeni Bhaarata sainyam nirvahinchagaa, milkhaa sing 6va sthaanamlo poteeni muginchinanduku Bhaarata sainyam ataniki vyaayaama kreedalalo pratyeka sikshana kalpinchindi.
1920 వరకు ఆమె సంగీత కెరీర్ చాలా బాగా సాగింది.	1920 varaku aame sangeeta career chaalaa baagaa saagindi.
నాల్గవ చిత్రం 100% లవ్ నాగ చైతన్య అక్కినేని సరి కొత్త కథతో యూత్ ని బాగా ఆకట్టుకొని మంచి విజయాన్ని నమోదు చేసింది.	naalgava chitram 100% lav naaga chaitanya akkineni sari kotta kathato yoot ni baagaa aakattukoni manchi vijayaanni namodu chesindi.
కావేరీ అమ్మ తాను మలి వయసులో కొత్త దేశానికి అలవాటు పడలేక అక్కడ రాలేనని చెబుతుంది.	Kaveri amma taanu mali vayasulo kotta desaaniki alavaatu padaleka akkada raalenani chebutundi.
అప్పుడు అరజ ఒక వేళ తనను చేపట్టదలిస్తే తన తండ్రి అయిన శుక్రాచార్యుడి అనుమతి పొంది చేపట్టమని చెప్పింది.	appudu araja oka vela tananu chepattadaliste tana tandri ayina Sukracharyudi anumati pondi chepattamani cheppindi.
కరీంనగర్‌లో విద్యాభ్యాసం సాగించాడు.	Karimnagarlo vidyaabhyaasam saaginchaadu.
దీనిని ఎట్టి పరిస్థితులలో రుమాలు వలె ఉపయోగించరు.	deenini etti paristhitulalo rumaalu vale vupayogincharu.
2001 మే 28న, సింగ్ ఒక ఫ్లాప్‌జాక్ ప్రయోగించడంతో బ్రియాన్ వోంగ్ మరణించాడు.	2001 me 28na, sing oka flapjack prayoginchadamto briyaan vong maraninchaadu.
అశోక్	Ashok
కొద్దిపాటి సాంకేతిక మార్పులతో మొబైల్ గేముల తయారీ కూడా సుమారు ఇలాగే ఉంటుంది.	koddipaati saanketika maarpulato mobile gemula tayaaree koodaa sumaaru ilaage vuntundi.
పొగగూడు	Pogagoodu
శ్రీశ్రీ	Sreesree
పులికాట్ సరస్సు	Pulicat sarassu
నూతన పద్దతులైన డ్యూయల్ పోలరైజేషన్ ఇంటర్ఫేరోమెట్రి వంటివి సూక్ష్మశ్రేణి పరిధిలో జరిగే పరమాణు అనుసంధానాలను పరిమాణాత్మకంగా కొలవటానికి శాస్త్రజ్ఞులకి సహకరిస్తున్నాయి.	nootana paddatulaina duel polarization interferometry vantivi sookshmasreni paridhilo jarige paramaanu anusamdhaanaalanu parimaanaatmakangaa kolavataaniki saastragnulaki sahakaristunnaayi.
అరతిరుప్పావడ	aratiruppaavada
అంతేకాకుండగా కోర్ స్టేజి PS1కు అదనంగా ఆరు స్ట్రాపాన్ మోటరులు బిగింప బడి ఉన్నాయి.	antekaakundagaa kor stegi PS1ku adanangaa aaru straapaan motarulu bigimpa badi vunnaayi.
1961 లో నిర్మితమైన శ్రీ ఆంజనేయస్వామి, శ్రీ గరుత్మంతస్వామి ల విగ్రహ ప్రతిష్ఠ జరిగింది.	1961 lo nirmitamaina sree Anjaneyaswami, sree Garutmantaswami la vigraha pratishtha jarigindi.
ఇటువంటి వింతలలో కొన్ని జీవులకు తమ శరీరం పారదర్శకంగా ఉంటుంది.	ituvanti vintalalo konni jeevulaku tama sareeram paaradarsakangaa vuntundi.
ఆ ఏడాది కేంద్రంలో కాంగ్రెసేతర, బీజేపీయేతర మూడో కూటమితో సంకీర్ణ ప్రభుత్వం ఏర్పాటులో..	aa edaadi kendramlo Congressetara, BJPyetara moodo kootamito samkeerna prabhutvam erpaatulo..
అయితే CNS, తల, మెడ, ప్రొస్టేట్, రొమ్ము, ఊపిరితిత్తులు వంటి జటిలమైన శరీర ప్రదేశాలలో చికిత్స చేయడానికై IMRT విధానాన్ని ఇప్పుడు ఎక్కువగా వినియోగించడం జరుగుతోంది.	ayite CNS, tala, meda, prostate, rommu, voopiritittulu vanti gatilamaina sareera pradesaalalo chikitsa cheyadaanikai IMRT vidhaanaanni ippudu ekkuvagaa viniyoginchadam jarugutondi.
ఇలాంటి సాహస వీరులు అనేక మందిలో తనకు తానే ది గ్రేట్ ఫరిని చెప్పుకునే విలియం హంట్ బ్లాండిన్ తో పోటీ పెట్టుకుని తీవ్రమైన సాహసాలు చేసాడు.	ilaanti saahasa veerulu aneka mandilo tanaku taane the great Pharini cheppukune viliyam hant blandin to potee pettukuni teevramaina saahasaalu chesaadu.
ఇది చాలా దృఢమైనది, చాలా నున్ననిది (ఉపరితల గరిష్ఠ్ మిట్టపల్లాలు ~5మి.మీ.).	idi chaalaa drdhamainadi, chaalaa nunnanidi (uparitala garishth mittapallaalu ~5mi.mee.).
గ్లాసియర్ డ్రిఫ్ట్ క్రింద ఒక లోయ మునిగిపోయినట్లు శాస్త్రజ్ఞుల విశ్వాసం.	glasier drift krimda oka loya munigipoyinatlu saastragnula visvaasam.
డిగ్రీల ఉత్పత్తి కేంద్రాలయిన మన విశ్వవిద్యాలయాలు రీసెర్చ్‌ పేరుతో టన్నుల కొద్దీ ‘‘సాలిడ్‌ వేస్ట్‌’’ కుమ్మరిస్తుండగా శేషేంద్ర మున్సిపల్‌ కమీషనర్‌ నౌకరీ చేస్తూనే ఋషిగా దార్శినిక పరిశోధనాత్మకత విమర్శ గ్రంథాలు సృజించారు.	degreela utpatti kendraalayina mana visvavidyaalayaalu research peruto tannula koddee ‘‘solid waste’’ kummaristundagaa seshemdra municipal commisionary naukaree chestoone rushigaa daarsinika parisodhanaatmakata vimarsa granthaalu srujinchaaru.
అన్నీ పంజాబీ సినిమాలే చేశారు కిమి.	annee Punjabee cinemale chesaaru kimi.
జంధ్యాల మిత్రమండలి వారిచే హైదరాబాద్ లో సత్కారం	Jandhyala mitramandali vaariche Hyderabad lo satkaaram
భారతదేశము ఒకటే ఇల్లు భారతమాతకు	Bhaaratadesamu okate illu Bhaaratamaataku
కౌశల్య కుమారుడు రామచంద్రుడు.	Kausalya kumaarudu Ramachandrudu.
కానీ మంచన మాత్రము, కారణమేమైనా...	kaanee manchana maatramu, kaaranamemainaa...
అక్కినేని నాగేశ్వరరావు	Akkineni Nagesvararao
ఆన్ లైన్ గేములను నేడు చాలా గేమింగ్ పొర్టల్స్ ఆఫర్ చేస్తున్నాయి.	aan line gamulanu nedu chaalaa gming portals offer chestunnaayi.
ఈ నియమం పై పలు పండితుల వాగ్వివాదాలున్నాయి, విమర్శలూ, అంగీకారాలూ రెండునూవున్నది.	ee niyamam pai palu panditula vaagvivaadaalunnaayi, vimarsaloo, angeekaaraaloo rendunoovunnadi.
చర్మ వ్యాధులు: తేనె దాల్చిన్ పొడి సమపాళళ్ళో కలుపుకొని పట్టించాలి.	charma vyaadhulu: tene daalchin podi samapaalallo kalupukoni pattinchaali.
సాహిత్యలోకానికి వాణిజ్యపరంగా కథలను ప్రవేశపెట్టిన ఘనత ఓ.	saahityalokaaniki vaanijyaparangaa kathalanu pravesapettina ghanata o.
గీత వీడియో	Geeta video
హిమసుందర స్రుగమైన ఎవరెస్ట్టూ నుఒక్క టేన్సిగె ఎక్కగలడూ	Himasundara srugamaina evaresttoo nuokka tensige ekkagaladoo
ఈ సమయంలో సంస్థ 1952వ సంవత్సరంలోని ప్రముఖ ప్రపంచ బ్యాంకు యొక్క 50 మిలియన్ల ట్రిపుల్-ఏ-రేటెడ్ బాండ్ ప్రతిపాదనలను సహా నిర్వహించింది.	ee samayamlo samstha 1952va samvatsaramloni pramukha prapancha banku yokka 50 millionla tripul-e-reted baand pratipaadanalanu sahaa nirvahinchindi.
ఖాజీపూర్ (మీర్‌దొడ్డి మండలం) --- మెదక్ జిల్లా, మీర్‌దొడ్డి మండలానికి చెందిన గ్రామము	Khajipur (Meerdoddi mandalam) --- Medak jillaa, Meerdoddi mandalaaniki chendina graamamu
అలాగే ఒక మూసిన మంటపం ఉంది.	alaage oka moosina mantapam vundi.
కానీ ఆ మందును వారు అతని దగ్గర నుంచి తీసుకోక మునుపే తూటాలరాణి రామలక్ష్మి సాయంతో వచ్చి చిదంబరాన్ని కిడ్నాప్ చేస్తారు.	kaanee aa mandunu vaaru atani daggara nunchi teesukoka munupe tootaalaraani Ramalakshmi saayamto vachchi chidambaraanni kidnap chestaaru.
న్యాయవ్యవహారాలు నిర్వర్తించడానికి సంజయుడిని నియమించాడు.	nyaayavyavahaaraalu nirvartinchadaaniki sanjayudini niyaminchaadu.
నిర్మాణ సంస్థ: జయప్రద పిక్చర్స్	nirmaana samstha: Jayaprada pictures
వి విల్ కంటిన్యూ అవర్ సోషల్ స్ట్రగుల్ :తిరుమ	v vil continue hour social struggle :tiruma
లియోనార్డో లాగా, సాంస్కృతిక పునరుజ్జీవన యుగకర్తగా అభివర్ణింపబడతాడు. ఇతను తన రాజకీయ గ్రంథమైనద ప్రిన్స్ వల్ల ఎక్కువ ప్రసిద్ధిచెందాడు.	liyonaardo laagaa, saamskrutika punarujjeevana yugakartagaa abhivarnimpabadataadu. itanu tana raajakeeya granthamainada prins valla ekkuva prasiddhichendaadu.
సీపీఐ అనుబంధ కార్మిక సంఘం ఏఐటీయూసీకి అధ్యక్షునిగానూ పనిచేశారు.	CCI anubandha kaarmika sangham eaiteeyooseeki adhyakshunigaanoo panichesaaru.
అక్కడ ఉన్నప్పుడు అతను విద్యావిధానం గూర్చి రాసిన వ్యాసాలు ప్రముఖ దిన పత్రికలలో ప్రచురితమయ్యాయి.	akkada unnappudu atanu vidyaavidhaanam goorchi raasina vyaasaalu pramukha dina patrikalalo prachuritamayyaayi.
రంగాపురం (లింగపాలెం) - పశ్చిమ గోదావరి జిల్లాలోని లింగపాలెం మండలానికి చెందిన గ్రామము	Rangapuram (Lingapalem) - paschima Godavari jillaaloni Lingapalem mandalaaniki chendina graamamu
బ్రిటిష్ వారి దుష్ప్రవర్తన భరించలేక మన ప్రజలు వారిపై తిరగబడి వారిని మనదేశం వదిలి వెళ్ళిపొమ్మని పోరాడడం వల్ల మన దేశ నాయకులను జైళ్ళల్లో పెట్టారు.	British vaari dushpravartana bharinchaleka mana prajalu vaaripai tiragabadi vaarini manadesam vadili vellipommani poraadadam valla mana desa naayakulanu jaillallo pettaaru.
బొంకూర్ (గొల్లపల్లి) - కరీంనగర్ జిల్లాలోని గొల్లపల్లి మండలానికి చెందిన గ్రామం	Bonkoor (Gollapalli) - Karimnagar jillaaloni Gollapalli mandalaaniki chendina graamam
పూ.500పూర్వమే సింహళానికి వలసవెళ్ళినారు.	poo.500poorvame simhalaaniki valasavellinaaru.
ప్రాథమికంగా ఈ మస్జిద్ లు ప్రార్థనా మందిరాలైనప్పటికీ, వీటిలో సామాజిక కార్యకలాపాలైన పాఠశాలలు, మదరసాలు సామాజిక కేంద్రాలు, మొదలగువాటి కొరకునూ ఉపయోగిస్తున్నారు.	praathamikangaa ee masgid lu praarthanaa mandiraalainappatikee, veetilo saamaajika kaaryakalaapaalaina paathasaalalu, madarasaalu saamaajika kendraalu, modalaguvaati korakunoo vupayogistunnaaru.
మేయర్ 2008లో USA టుడే ' యొక్క "సంవత్సరంలో ఉత్తమ రచయిత్రి"గా , మరియు MSN లైఫ్‌స్టైల్ యొక్క "2008లో అధిక ప్రభావంతమైన మహిళలు"లో ఒక మహిళ వలె పేరు గాంచింది, దీనిలో ఆమెను ఒక "సాహితీ నిష్ణాతురాలు"గా పేర్కొన్నారు. ఆమె టైమ్ మ్యాగజైన్ యొక్క "2008లో 100 మంది అధిక ప్రభావం గల వ్యక్తులు" జాబితాలో #49 ర్యాంకును కూడా సాధించింది, మరియు ఈమెను లెవ్ గ్రాస్‌మ్యాన్‌తో సహా వారి "ప్రభావంతమైన వ్యక్తులు" జాబితాలో చేర్చి ఈ విధంగా పేర్కొన్నారు, "ఇప్పటికీ ఒక మోర్మోన్ ప్రెసిడెంటియల్ ఎంపిక కోసం అమెరికన్ వాసులు సిద్ధంగా లేనట్లు భావిస్తున్నాము.	mayer 2008lo USA tude ' yokka "samvatsaramlo uttama rachayitri"gaa , mariyu MSN lifestyle yokka "2008lo adhika prabhaavantamaina mahilalu"lo oka mahila vale peru gaamchindi, deenilo aamenu oka "saahitee nishnaaturaalu"gaa perkonnaaru. aame Time magazine yokka "2008lo 100 mandi adhika prabhaavam gala vyaktulu" jaabitaalo #49 rankunu koodaa saadhinchindi, mariyu eemenu lev grassmanto sahaa vaari "prabhaavantamaina vyaktulu" jaabitaalo cherchi ee vidhangaa perkonnaaru, "ippatikee oka mormon presidentiyal empika kosam American vaasulu siddhangaa lenatlu bhaavistunnaamu.
అకడమిక్ క్లినికల్ ఒంకాలజీ అండ్ రేడియోబయాలజీ రీసెర్చ్ నెట్‌వర్క్: ఎ NCRI ఇనిషియేటివ్ టు రివైటలైజ్ రేడియోథెరఫీ రీసెర్చ్ (UK)	acadamic clinical oncology and radiobiology research network: ye NCRI inishiyetiv tu rivaitalaig radiotherapy research (UK)
ఆ స్థితి నుంచి తట్టుకోలేక ఆమెను సమీపంచి తన మనోవాంఛను వివరించాడు.	aa sthiti nunchi tattukoleka aamenu sameepanchi tana manovaamchanu vivarinchaadu.
రోలు	rolu
వొజ్డ్ 'నేత' మంచూరియాలో ప్రవాసంలోని ఏకైక క్రియాశీలమైన రష్యన్ ఫాసిస్ట్ పార్టీ యొక్క కాన్‌స్టాంటిన్ రొజాయివెస్కీ ముస్సోలినిపట్ల అపరిమిత ఆరాధనను కలిగి ఉన్నప్పటికీ, జపాన్ చక్రవర్తి కమ్యూనిస్టు వ్యతిరేక సేవలో మాత్రమే చర్యను చూసేవాడు.	vojed 'neta' manchooriyaalo pravaasamloni ekaika kriyaaseelamaina rashyan phaasist party yokka kaanstaamtin rogaayiveskee mussolinipatla aparimita aaraadhananu kaligi unnappatikee, Japan chakravarti communistu vyatireka sevalo maatrame charyanu choosevaadu.
గుహుడు కూడా సామాన్యుడేం కాదు.	guhudu koodaa saamaanyudem kaadu.
ముందు ఆకుపచ్చగా ఉండే ఈ చెట్టు పెరిగె కొలది పసుపు పచ్చ రంగులోకి మారుతుంది.	mundu aakupachchagaa unde ee chettu perige koladi pasupu pachcha ranguloki maarutundi.
మేరు పర్వతం విల్లుకాని విల్లుగా, ఆదిశేషువు అల్లెతాడు కాని అల్లెతాడుగా, శ్రీమహావిష్ణువు బాణం కాని బాణంగా మారారు.	meru parvatam villukaani villugaa, aadiseshuvu alletaadu kaani alletaadugaa, Sreemahavishnuvu baanam kaani baanangaa maaraaru.
వీటికి ఎన్నో చీడపీడల దాడి సామాన్యం.	veetiki enno cheedapeedala daadi saamaanyam.
ఇక్కడే మనిషికి ఆలోచన ఏర్పడుతుంది.	ikkade manishiki aalochana erpadutundi.
బుద్ధునికి ఙానోదయం అయిన బోధివృక్షం నుండి తీసుకురాబడిన మొక్కను తీసుకురాబడింది.	Buddhuniki gnaanodayam ayina bodhivruksham nundi teesukuraabadina mokkanu teesukuraabadindi.
రామసుబ్బారెడ్డి, అతని సోదరులు పేద రైతులమీద సాగిస్తున్న జులుం అరికట్టడానికి కమ్యూనిస్టు పార్టీ నిర్ణయించింది.	Ramasubbareddy, atani sodarulu peda raitulameeda saagistunna julum arikattadaaniki communistu party nirnayinchindi.
వీటి శరీర అంతర్భాగాలను స్పష్టంగా చూడవచ్చు.	veeti sareera amtarbhaagaalanu spashtangaa choodavachchu.
ఇక ఆ తర్వాత సిడ్నీ టెక్సాస్ కి తిరిగి రాలేదు.	ika aa tarvaata Sidney Texas ki tirigi raaledu.
కొన్ని అనుకోని పరిస్థితులమూలంగా జైలు పాలైన హీరో లాయరైన తరువాత ఒక తప్పుడు కేసులో చిక్కుకున్న తన తండ్రిని ఎలా విడిపించడన్నదే ఈ చిత్ర కథాంశము.	konni anukoni paristhitulamoolangaa jailu paalaina heero laayaraina taruvaata oka tappudu kesulo chikkukunna tana tandrini elaa vidipinchaadannade ee chitra kathaamsamu.
ఉదాహరణకు ధాన్యకాది హిమం (అతి దప్పికను తగ్గించడానికి వాడతారు), గుడుచ్యాది క్వాథం (జ్వరంలో తాపాన్ని తగ్గించడానికి వాడతారు), అభయారిష్టం (మలబద్ధకం, అర్శమొలల వ్యాధిలో వాడతారు), లవణ భాస్కర చూర్ణం (కడుపునొప్పిలో అజీర్ణాన్ని తగ్గించడానికి వాడతారు)...	udaaharanaku dhaanyakaadi himam (ati dappikanu tagginchadaaniki vaadataaru), guduchyaadi kvaatham (jvaramlo taapaanni tagginchadaaniki vaadataaru), abhayaarishtam (malabaddhakam, arsamolala vyaadhilo vaadataaru), lavana bhaaskara choornam (kadupunoppilo ajeernaanni tagginchadaaniki vaadataaru)...
అంటూ ఈ నవలను గురించి ప్రస్తావించారు.	antoo ee navalanu gurinchi prastaavinchaaru.
పళ్లు	pallu
తరచుగా యురేపియన్లతో కొనసాగిన యుద్ధాల మధ్య సామ్రాజ్యం నిలకడ కొనసాగింది.	tarachugaa europeanlato konasaagina yuddhaala madhya saamraajyam nilakada konasaagindi.
ఒకటి స్టొకరు ఫైర్డ్ బాయిలరు, రెండోవది పల్వరైజుడ్ కోల్ ఫైర్డ్ బాయిలర్ మూడవది ఎఫ్.	okati stokeru fired boileru, rendovadi palvarized coal fired boiler moodavadi F.
ప్రత్యేకమైన సౌర ఉపపురాణం అని పిలవబడే ఏకైక పాఠం సాంబ పురాణం. ఇందులో 84 అధ్యాయాలు ఉన్నాయి.	pratyekamaina saura upapuraanam ani pilavabade ekaika paatham saamba puraanam. Indulo 84 adhyaayaalu vunnaayi.
నరాల రామారెడ్డి సుప్రసిద్ధ అవధాని.	Narala Ramareddy suprasiddha avadhaani.
ఈ మూడు పంక్తులు ఆయన కవిత్వ తత్వాన్ని తెలిజేసే మూడు సిద్ధాంతాలు.	ee moodu panktulu aayana kavitva tatvaanni teliyajese moodu siddhaantaalu.
ఇస్లాంలో ఖైదీల హక్కులు	islaamlo khaideela hakkulu
సాక్షి వ్యాసాల శైలి వరద గోదావరిలాగా ఝరీవేగంతో పరుగులెట్టేది.	saakshi vyaasaala saili varada Godavarilaagaa ghareevegamto parugulettedi.
మహావీరుల కోరికలు తీర్చేది.	mahaaveerula korikalu teerchedi.
మిన్నికంటి గురునాథశర్మ గుంటూరు జిల్లాకు చెందిన పండితుడు.	Minnikanti Gurunathasharma Gunturu jillaaku chendina panditudu.
లోహ ఘర్ కోట	Loha Ghar kota
పంచాయితీ మెంబర్లను తన గుప్పెట్లో పెట్టుకున్న ప్రెసిడెంట్ రాయుడు తన ఆగడాలను కొనసాగిస్తూనే వుంటాడు.	panchaayitee membarlanu tana guppetlo pettukunna president raayudu tana aagadaalanu konasaagistoone vuntaadu.
నిడుబ్రోలు లోని రామానీడు రైతాంగ విద్యాలయములో సహచరుడు తిమ్మారెడ్డితో బాటు రాజకీయ పాఠాలు నేర్చారు.	Nidubrolu loni Ramaneedu raitaanga vidyaalayamulo sahacharudu Timmareddyto baatu raajakeeya paathaalu nerchaaru.
ఉదయపూర్ - సియాల్దా అనన్య ఎక్స్‌ప్రెస్ భారతీయ రైల్వేలులో ఒక ఎక్స్‌ప్రెస్ రైలు.	Udayapur - Siyaldaa Ananya Express bhaarateeya railwaylulo oka express railu.
అదే సంవత్సరం ఒంటారియా అదే అవసరం కొరకు క్వీన్ విక్టోరియా నయాగరా ఫాల్స్ పార్కును రూపొందించింది.	ade samvatsaram ontaariyaa ade avasaram koraku kveen Victoria Nayagara falls paarkunu roopondinchindi.
కథ, స్క్రీన్ ప్లే, దర్శకత్వం: యనమదల కాశీ విశ్వనాథ్	katha, screen play, darsakatvam: Yanamadala Kasi Viswanath
ట్రాయ్ పౌండ్ అనే దానికి ఆ పేరు ఫ్రెంచ్ వ్యాపార పట్టణము అయినటువంటి ట్రయాస్ నుండి వచ్చింది.	Troy Pound ane daaniki aa peru French vyaapaara pattanamu ayinatuvanti trayaas nundi vachchindi.
బారు ఉంటాయి.	baaru vuntaayi.
కాళ్ళు నడవడానికి ఉపయోగపడే అవయవాలు.	kaallu nadavadaaniki vupayogapade avayavaalu.
ఈ చికాగో సియర్స్ టవరే స్వర్గసోపానము	ee Chicago siyars tavare svargasopaanamu
ఆమె భారత స్వాతంత్ర్యం తరువాత ఐదు సంవత్సరాల వరకు కూడా ఉద్యమాలలో భాగంగా ఉంది.	aame Bhaarata svaatantryam taruvaata aidu samvatsaraala varaku koodaa udyamaalalo bhaagangaa vundi.
1950వ దశకం నుంచి 1990వ దశకం వరకు మైకెల్ యంగ్ సామాజిక సంస్థ యొక్క ప్రధాన ప్రోత్సాహకుడిగా ఉన్నారు, 1980వ దశకంలో హార్వర్డ్ ప్రొఫెసర్ డేనియల్ బెల్ ప్రపంచంలో అత్యంత విజయవంతమైన సామాజిక సంస్థ వ్యవస్థాపకుడిగా వర్ణించబడ్డారు, UKలో సామాజిక వ్యవస్థాపకులకు పాఠశాలల శ్రేణిని ఏర్పాటు చేయడంతోపాటు, ప్రపంచవ్యాప్తంగా అరవైకిపైగా కొత్త సంస్థలను సృష్టించడంలో ఆయన పోషించిన పాత్రకు ఈ గుర్తింపు లభించింది.	1950va dasakam nunchi 1990va dasakam varaku maikel yang saamaajika samstha yokka pradhaana protsaahakudigaa vunnaaru, 1980va dasakamlo Harward professor Daniel Bell prapanchamlo atyanta vijayavantamaina saamaajika samstha vyavasthaapakudigaa varninchabaddaaru, UKlo saamaajika vyavasthaapakulaku paathasaalala srenini erpaatu cheyadamtopaatu, prapanchavyaaptangaa aravaikipaigaa kotta samsthalanu srushtinchadamlo aayana poshinchina paatraku ee gurtimpu labhinchindi.
కృతయుగం	krutayugam
సూక్ష్మ జీవసాంకేతిక పరిజ్ఞానం	sookshma jeevasaanketika parignaanam
2008లో న్యూస్ వీక్ పత్రిక ప్రపంచంలోని 50 అత్యంత పవర్ ఫుల్ వ్యక్తుల జాబితాలో ఆయనను ప్రస్తావించింది.	2008lo news week patrika prapanchamloni 50 atyanta pavar phul vyaktula jaabitaalo aayananu prastaavinchindi.
ఒకటి స్క్వేర్ ప్లానర్ గోల్డ్(III)మరియు ఇంకోటి ఇంచుముంచు లీనియర్ గోల్డ్(I).	okati skver plaanar gold(III)mariyu inkoti inchuminchu leeniyar gold(I).
జయప్రకాష్	Jayaprakash
దీనితోపాటు వారి జీవన విధానం, న్యూట్రిషనల్ డెఫీషియన్సీ ముఖ్యంగా క్యాల్షియం, ప్రోటీన్ డెఫీషియన్సీ, బోన్ మాస్ తగ్గించటానికి కారణమవుతాయి.	deenitopaatu vaari jeevana vidhaanam, nyootrishanal depheeshiyansee mukhyangaa calcium, protein deficiency, bone maas tagginchataaniki kaaranamavutaayi.
జన్మ పరంపర	janma parampara
దిగుడుబావి నుండి ఏతంతో నీళ్లను పైకి తోడినట్లు పరుపుతో నీ కళ్లను నీటితో ఉబికిపోనీ నీ హృదయపు మాగాణి పొలంలో పచ్చటి చివురులు మొలకెత్తనీ కన్నీరు కావలిస్తే కన్నీరు కార్చేవాళ్లతో దయగా వుండు దయ కావాలిస్తే నిస్సహాయుల పట్ల దయ చూపు -- మౌలానా రూమీ	digudubaavi nundi etamto neellanu paiki todinatlu paruputo nee kallanu neetito ubikiponee nee hrudayapu maagaani polamlo pachchati chivurulu molakettanee kanneeru kaavaliste kanneeru kaarchevaallato dayagaa vumdu daya kaavaaliste nissahaayula patla daya choopu -- Maulana Roomy
ఆర్చ్ లినక్స్	aarch Linux
నియంత్రణ యొక్క దూరం	niyantrana yokka dooram
కేసరి నడిపించిన మాసపత్రిక.	kesari nadipinchina maasapatrika.
ఈ చలన చిత్రాన్ని భారతీయ రచయిత IIT ఢిల్లీ పూర్వ విద్యార్థి చేతన్ భగత్ రచించిన ఒక ప్రఖ్యాత నవల ఫైవ్ పాయింట్ సమ్‌వన్ ఆధారంగా రూపొందించబడింది	ee chalana chitraanni bhaarateeya rachayita IIT Delhi poorva vidyaarthi chetan Bhagat rachinchina oka prakhyaata navala five point someone aadhaarangaa roopondinchabadindi
ఇవి ఈగలలో ఉంటాయి.	ivi eegalalo vuntaayi.
ప్రజలు క్రమము తప్పి ఒకరి ఆస్తిని, ధనమును, భార్యను మరొకరు అపహరిస్తారు.	prajalu kramamu tappi okari aastini, dhanamunu, bhaaryanu marokaru apaharistaaru.
యజ్ఞాన్ని ధ్వంసం చేయడానికి మారీచ సుబాహలు రాక్షస సమూహాలతో ఆకాశంలో ముసురుకున్నారు.	yagnaanni dhvamsam cheyadaaniki maareecha subaahalu raakshasa samoohaalato aakaasamlo musurukunnaaru.
దీనికి సంబంధించి తమకు ఏదైనా సమాచారం అందితే, ఆ వెంటనే సంబంధిత ఆర్డర్‌కు సంబంధించిన పనిని నిలిపివేయడంతోపాటు, ఆ ఉత్పత్తులను స్టోర్లలో విక్రయించకుండా అడ్డుకుంటున్నాము.	deeniki sambandhinchi tamaku edainaa samaachaaram andite, aa ventane sambandhita orderku sambandhinchina panini nilipiveyadamtopaatu, aa utpattulanu storlalo vikrayinchakundaa addukuntunnaamu.
శ్రీని వాస మంగాపురంలోని శ్రీ వెంకటేస్వరాలయం గతంలో పూజా పునస్కారాలు లేక పురావస్థు శాఖవారి ఆధీనం లో వుండేది.	sreeni vaasa mangaapuramloni sree Venkateswaraalayam gatamlo poojaa punaskaaraalu leka puraavasthu saakhavaari aadheenam lo vundedi.
ఆయన విజయనగర సంస్కృత కళాశాల, చెన్నపుర విశ్వవిద్యాలయం, ఆంధ్ర విశ్వవిద్యాలయ కళాశాలల్లో దశాబ్దాల పాటు బోధనా వృత్తిలో పనిచేశారు.	aayana Vijayanagara samskruta kalaasaala, chennapura visvavidyaalayam, Andhra visvavidyaalaya kalaasaalallo dasaabdaala paatu bodhanaa vruttilo panichesaaru.
చెన్నైలోని శ్రీ రాజా లక్ష్మీ ఫౌండేషన్ ఆయనను 2000 లో శ్రీ రాజా లక్ష్మీ పురస్కారం తో, తెలుగు విశ్వవిద్యాలయం గౌరవ డాక్టరేట్ తో సన్మానించాయి.	chennailoni sree raajaa lakshmee phaundeshan aayananu 2000 lo Sree Raja Lakshmi puraskaaram to, telugu visvavidyaalayam gaurava doctorate to sanmaaninchaayi.
ఆమె అందాన్ని చూసి ముగ్ధుడై విపరీతమైన ఆకర్షణకు లోనై మన్మథతాపంతో ఆ రాజు విలవిలలాడాడు.	aame amdaanni choosi mugdhudai vipareetamaina aakarshanaku lonai manmathataapamto aa raaju vilavilalaadaadu.
ఈయన కుమార్తె ఐఐటీకి ఎంపికైంది.	eeyana kumaarte IITki empikaindi.
పడుకునే ముండు వెచ్చటి పాలు తీసుకుంటే ప్రయోజము ఉంటుంది .	padukune mundu vechchati paalu teesukunte prayojanamu vuntundi .
సన్యాసులతో సహా అందరూ ప్రజాసంక్షేమానికి ట్రస్టీలుగా, సంరక్షకలుగా తమ వంతు కర్తవ్యం నిర్వర్తించాలని తన ప్రసంగాల్లో తరుచూ చెబుతుంటారు.	sanyaasulato sahaa andaroo pragaasamkshemaaniki trasteelugaa, samrakshakalugaa tama vamtu kartavyam nirvartinchaalani tana prasangaallo taruchoo chebutuntaaru.
