కృష్ణాష్టమి	krishnashtami
రోడ్	road
</s>	</s>
పని	pani
హక్కు	hakku
చట్టాలు	chattaalu
</s>	</s>
ఈ	ee
ఆపరేషన్‌కు	aapareshanku
కొనసాగింపుగా	konasaagimpugaa
నావికాదళం	naavikaadalam
చేపట్టినది	chepattinadi
ఆపరేషన్	aapareshan
పైథాన్	paithaan
</s>	</s>
ఆ	aa
తర్వాత	tarvaata
పార్టీ	party
శ్రేణులకు	srenulaku
ఆయన	aayana
తన	tana
విలువైన	viluvaina
సూచనలిస్తూ	soochanalistoo
వచ్చారు	vachchaaru
</s>	</s>
ఫిరోజ్	firoj
షా	shaw
సింధుదేశపు	sindhudesapu
దండయాత్ర	damdayaatra
సందర్భమున	sandarbhamuna
6	6
నెలలు	nelalu
ఎట్టి	etti
వార్తలు	vaartalu
లేవు	levu
</s>	</s>
ఆమె	aame
తల్లి	talli
వద్ద	vadda
సంగీత	sangeeta
జ్ఞానాన్ని	gnaanaanni
పొందింది	pondindi
</s>	</s>
ఈ	ee
గీతాలలో	geetaalalo
చాలావాటిని	chaalaavaatini
రేడియోలలో	radiolalo
పాటలుగా	paatalugaa
పాడారు	paadaaru
</s>	</s>
1916లో	1916lo
మైసూరు	mysoreu
విశ్వవిద్యాలయం	visvavidyaalayam
ప్రారంభమైనప్పుడు	praarambhamainappudu
దానికి	daaniki
మొదటి	modati
ఉపకులపతిగా	upakulapatigaa
నియమించబడి	niyaminchabadi
1920లో	1920lo
మరణించేవరకు	maraninchevaraku
ఆ	aa
పదవిలో	padavilo
కొనసాగాడు	konasaagaadu
</s>	</s>
కరీంనగర్	karimnagar
జిల్లా	jillaa
రైకల్	raikal
మండలంలోని	mandalamloni
గ్రామం	graamam
</s>	</s>
న్యాయ	nyaaya
నిర్ణేతల	nirnetala
నుంచి	nunchi
పలుమార్లు	palumaarlu
పూర్తి	poorti
మార్కులు	maarkulu
సాధించిన	saadhinchina
రికార్డు	rikaardu
ఆమెకు	aameku
మాత్రమే	maatrame
సొంతం	somtam
</s>	</s>
జోళదరాశి	joladarasi
దొడ్డనగౌడ	doddanagauda
గాయకుడిగా	gaayakudigaa
నటుడిగా	natudigaa
కన్నడాంధ్ర	kannadandhra
కవిగా	kavigaa
నాటకకర్తగా	naatakakartagaa
ప్రయోక్తగా	prayoktagaa
వీరశైవతత్వజ్ఞుడిగా	veerasaivatatvagnudigaa
ప్రసిద్ధుడు	prasiddhudu
</s>	</s>
ఇవన్నీ	ivannee
చూసి	choosi
శంకరదేవుడు	sankaradevudu
నాటకాలు	naatakaalu
వ్రాశాడు	vraasaadu
</s>	</s>
ఇతను	itanu
మరియు	mariyu
పింగళి	pingali
లక్ష్మీకాంతం	lakshmikantam
కలిసి	kalisi
పింగళి	pingali
కాటూరి	kaatoori
కవులు	kavulu
అనే	ane
జంటకవులుగా	jantakavulugaa
ప్రసిద్దులయ్యారు	prasiddulayyaaru
</s>	</s>
సాధారణంగా	saadhaaranangaa
ఇచ్చిన	ichchina
ద్రవ్యరాశి	dravyaraasi
గల	gala
న్యూట్రాన్	neutron
తార	taara
వ్యాసార్థం	vyaasaartham
AP4	ap4
అత్యల్ప	atyalpa
వ్యాసార్థం	vyaasaartham
MS2	ms2
అత్యధిక	atyadhika
వ్యాసార్థం	vyaasaartham
పద్ధతుల్లో	paddhatullo
కనుగొన్న	kanugonna
విలువల	viluvala
మధ్యలో	madhyalo
ఉంటుంది	vuntundi
</s>	</s>
పాఠశాలలో	paathasaalalo
ఇది	idi
పాఠశాలలోని	paathasaalaloni
విద్యార్థి	vidyaarthi
యొక్క	yokka
స్థానం	sthaanam
ఆధారంగా	aadhaarangaa
మారుతూ	maarutoo
ఉంటుంది	vuntundi
కొన్ని	konni
విద్యా	vidyaa
సంబంధిత	sambandhita
లేదా	ledaa
క్రీడా	kreedaa
రంగంలో	rangamlo
ప్రత్యేక	pratyeka
విజయాలకు	vijayaalaku
గుర్తింపులో	gurtimpulo
జూనియర్	junior
లేదా	ledaa
సీనియర్	senior
పాఠశాలలో	paathasaalalo
ఒక	oka
సభ్యుని	sabhyuni
వలె	vale
ఒక	oka
కచ్చితమైన	kachchitamaina
లేదా	ledaa
రంగులు	rangulu
సూచించబడతాయి	soochinchabadataayi
</s>	</s>
పుస్తక	pustaka
ప్రకారం	prakaaram
జానకి	janaki
అనే	ane
స్త్రీకి	streeki
చిన్న	chinna
వయసులో	vayasulo
పెళ్ళి	pelli
అవుతుంది	avutundi
ఆమెని	aameni
ఆమె	aame
భర్త	bharta
వెంకటరావు	venkatarao
అనేక	aneka
బాధలు	baadhalu
పెడుతుంటాడు	pedutuntaadu
జానకి	janaki
అన్న	anna
సత్యంకి	satyamki
ఒక	oka
విప్లవ	viplava
పార్టీకి	partyki
అనుబంధ	anubandha
సంఘంలో	sanghamlo
పని	pani
చేసే	chese
వ్యక్తి	vyakti
పరిచయమవుతాడు	parichayamavutaadu
అతని	atani
ప్రభావం	prabhaavam
వల్ల	valla
సత్యం	satyam
మార్క్సిస్ట్	maarksist
గతితార్కిక	gatitaarkika
భౌతికవాద	bhautikavaada
తత్వశాస్త్రాలు	tatvasaastraalu
చదువుతాడు	chaduvutaadu
ఆ	aa
సమయంలో	samayamlo
అతనికి	ataniki
ప్రభాకర్	prabhaakar
అనే	ane
వ్యక్తి	vyakti
పరిచయమవుతాడు	parichayamavutaadu
అతను	atanu
ఏ	a
తత్వ	tatva
శాస్త్రమూ	saastramoo
తెలియని	teliyani
బండ	bamda
నాస్తికుడు	naastikudu
తత్వంతో	tatvamto
పని	pani
లేకుండానే	lekundaane
తాను	taanu
జానకిలోని	janakiloni
మూఢ	moodha
నమ్మకాలని	nammakaalani
తొలిగించగలనని	toliginchagalanani
భ్రమపడతాడు	bhramapadataadu
అది	adi
తప్పని	tappani
తరువాత	taruvaata
తెలుసుకుని	telusukuni
అతను	atanu
కూడా	koodaa
తత్వశాస్త్రాలు	tatvasaastraalu
చదువుతాడు	chaduvutaadu
జానకి	janaki
తన	tana
భర్త	bharta
పెట్టే	pette
బాధలు	baadhalu
భరించలేక	bharinchaleka
అతన్ని	atanni
వదిలేస్తుంది	vadilestundi
ప్రభాకర్	prabhaakar
తో	to
కలిసి	kalisi
వివాహం	vivaaham
లేకుండానే	lekundaane
కాపురం	kaapuram
చేస్తుంది	chestundi
ఆ	aa
క్రమంలో	kramamlo
ప్రభాకర్	prabhaakar
జానకిలోని	janakiloni
మూఢ	moodha
నమ్మకాల్ని	nammakaalni
తొలిగించగలుగుతాడు	toliginchagalugutaadu
"	"
</s>	</s>
యునివర్సిటి	university
కాలేజ్	college
లండన్	london
లో	lo
మాగరే	maagare
ఎట్	et
అల్	al
.	.
</s>	</s>
గడ్డవరపు	gaddavarapu
పుల్లమాంబ	pullamamba
</s>	</s>
థ	the
ఆర్ధర్	arthur
కానన్	conan
డోయల్	doyle
సొసైటీ	society
</s>	</s>
అధిదేవత	adhidevata
లాకిని	laakini
</s>	</s>
అందువలననే	anduvalanane
ప్రాచీన	praacheena
ఈజిప్టు	egypyu
దేశాలలో	desaalalo
పేడ	peda
పురుగులను	purugulanu
పూజించేవారు	pooginchevaaru
</s>	</s>
మూడవ	moodava
విధం	vidham
వీరు	veeru
సాగించిన	saaginchina
వర్తకాలు	vartakaalu
</s>	</s>
ఆరుద్ర	aarudra
</s>	</s>
అక్కడే	akkade
స్థిర	sthira
నివాసం	nivaasam
ఏర్పరచుకొన్నారు	erparachukonnaaru
</s>	</s>
ఈశ్వరిగా	eeswariga
మార్చాడు	maarchaadu
</s>	</s>
రోగి	rogi
నవయొవ్వని	navayovvani
</s>	</s>
అడ్మిషన్లు	admissionlu
జరుగుతున్నప్పుడు	jarugutunnappudu
అక్కడ	akkada
ఎంపికైన	empikaina
వారిలో	vaarilo
తెలుగువారు	teluguvaaru
చాలా	chaalaa
తక్కువగా	takkuvagaa
ఉంటున్నారని	untunnaarani
గ్రహించిన	grahinchina
రామయ్య	raamayya
తనే	tane
తెలుగు	telugu
విద్యార్థులకు	vidyaarthulaku
శిక్షణ	sikshana
ఇవ్వాలని	ivvaalani
నిర్ణయించుకున్నాడు	nirnayinchukunnaadu
</s>	</s>
ఆమె	aame
వైవాహిక	vaivaahika
జీవితం	jeevitam
సంతోషంగా	santoshangaa
సాగింది	saagindi
</s>	</s>
ఈ	ee
పాటలో	paatalo
చుట్టు	chuttu
పక్కల	pakkala
ఉన్న	vunna
గుళ్ళు	gullu
వాటి	vaati
పేర్లు	perlu
చెపుతూ	cheputoo
వాటి	vaati
వివరాలు	vivaraalu
వర్ణిస్తూ	varnistoo
పడుకునే	padukune
పాట	paata
</s>	</s>
సంకేపల్లి	sankepalli
నాగేంద్ర	nagendra
శర్మ	sharma
</s>	</s>
ఈ	ee
వ్యాసం	vyaasam
చివరిలో	chivarilo
చూపిన	choopina
వనరులు	vanarulu
ఆధారంగా	aadhaarangaa
వివిధ	vividha
భాష్యకారుల	bhaashyakaarula
భాష్యాలను	bhaashyaalanu
సంక్షిప్తంగా	samkshiptangaa
చెప్పే	cheppe
వివిధ	vividha
భావాలను	bhaavaalanu
ఇచ్చే	ichche
ప్రయత్నం	prayatnam
జరిగింది	jarigindi
</s>	</s>
ఎల్	l
దేశ	desa
స్థాయి	sthaayi
కార్యవర్గ	kaaryavarga
సభ్యులు	sabhyulu
</s>	</s>
1986వ	1986va
సంవత్సరంలో	samvatsaramlo
మోర్గాన్	morgan
స్టాన్లీ	stanley
వర్గం	vargam
న్యూయార్క్	newyork
స్టాక్	stock
ఎక్స్చేంజ్లో	exchangelo
ప్రముఖుల	pramukhula
జాబితాలో	jaabitaalo
చేరింది	cherimdi
</s>	</s>
గూళల	goolala
కిచ్చి	kichchi
యప్పడుపు	yappadupu
గూడు	goodu
భుజించుట	bhujinchuta
కంటె	kante
సవ్కివుల్	savkivul
</s>	</s>
రంగురాళ్లను	ranguraallanu
వినియోగించారు	viniyoginchaaru
</s>	</s>
మాయదారి	maayadaari
మైసమ్మ	maisamma
పాట	paata
గురించి	gurinchi
హిందూ	hindu
పత్రికలో	patrikalo
వ్యాసము	vyaasamu
</s>	</s>
చక్రవర్తి	chakravarti
అయిన	ayina
లీ	lee
లాంగ్జీ	longjee
గ్జున్‌జాంగ్	gjunjaang
యొక్క	yokka
ప్రియమైన	priyamaina
ఉంపుడుగత్తె	umpudugatte
యాంగ్	yang
యువాన్	yuvan
యాంగ్	yang
గుఫియే)కు	guphiye)ku
సైతం	saitam
ఇది	idi
అత్యంత	atyanta
ఇష్టమైన	ishtamaina
ఫలం	phalam
</s>	</s>
గర్భిణులకు	garbhinulaku
మూడు	moodu
నెలలపాటు	nelalapaatu
వేతనంతో	vetanamto
కూడిన	koodina
సెలవు	selavu
ఇవ్వాలని	ivvaalani
రాష్ట్రప్రభుత్వం	raashtraprabhutvam
ఉత్తర్వులు	uttarvulu
ఇచ్చింది	ichchindi
</s>	</s>
గురుకుల	gurukula
విద్యా	vidyaa
విధానం	vidhaanam
ఒక	oka
ప్రాచీన	praacheena
భారతీయ	bhaarateeya
విద్యా	vidyaa
వ్యవస్థ	vyavastha
</s>	</s>
వాటరు	vaataru
ట్యూబులు	tyoobulu
బాయిలరు	baayilaru
డిజైనును	desigunu
బట్టి	batti
స్ట్రైట్	straight
గా	gaa
లేదా	ledaa
వంపులు	vampulu
కల్గి	kalgi
ఉండును	umdunu
</s>	</s>
ఇవే	ive
కాకుండా	kaakundaa
ఎన్	n
టి	t
టిలో	tlo
ఈ	ee
క్రింది	krindi
సంస్థలు	samsthalu
కూడా	koodaa
విలీనమయ్యాయి	vileenamayyaayi
</s>	</s>
రాకెట్	rocket
</s>	</s>
కానీ	kaanee
కొండ	konda
వీటి	veeti
రెడ్డి	reddy
రాజుల	raajula
కాలంలోనూ	kaalamlonoo
ఆ	aa
తరువాతి	taruvaati
కాలంలోనూ	kaalamlonoo
ఈ	ee
వసంతోత్సవాలు	vasantotsavaalu
ఎలా	elaa
జరుప	jarupa
బడుతూ	badutoo
వుండేవో	vundevo
తెలుసు	telusu
కోవడానికి	kovadaaniki
శ్రీ	sree
నాథుని	naathuni
భీమేశ్వర	bheemesvara
పురాణం	puraanam
లోనూ	lonoo
కొరవి	koravi
గోపరాజు	goparaju
సింహాసన	simhaasana
ద్వాత్రింశిక	dvaatrimsika
లోనూ	lonoo
వసంతోత్సవాల	vasantotsavaala
గురించి	gurinchi
విపులంగా	vipulangaa
వర్ణించబడింది	varninchabadindi
</s>	</s>
శ్రీవారి	sreevaari
శోభనం	sobhanam
</s>	</s>
డేనియల్	daniel
జాన్‌కైర్	johnkire
తన	tana
సామిల్	saamil
అవసరాలకోసం	avasaraalakosam
దీనిపై	deenipai
ఒక	oka
కాలువను	kaaluvanu
నిర్మించాడు	nirminchaadu
</s>	</s>
ఆ	aa
తరువాత	taruvaata
శ్యాంప్రసాద్	syaamprasad
నేతృత్వంలోని	netrtvamloni
జనసంఘ	ganasangha
పట్ల	patla
ఆకర్షితుడై	aakarshitudai
ఆ	aa
పార్టీలో	partylo
చేరి	cheri
పలు	palu
పదవులు	padavulu
చేపట్టినాడు	chepattinaadu
</s>	</s>
పదిహేను	padihenu
ఇరవై	iravai
వాక్యాలలో-కావ్యం	vaakyaalalo-kaavyam
లాంటి	laanti
వ్యాసం	vyaasam
వ్రాయాలి	vraayaali
</s>	</s>
ఒక	oka
టేబుల్‌స్పూన్‌	tablespoon
ద్రాక్ష	draaksha
రసంలో	rasamlo
గుడ్డులోని	gudduloni
పచ్చసొన	pachchasona
బాగా	baagaa
కలిపి	kalipi
ముఖానికి	mukhaaniki
రాయండి	raayamdi
</s>	</s>
మధ్య	madhya
ప్రదేశ్	pradesh
వంటి	vanti
రాష్ట్రాలనుండి	raashtraalanundi
అధిక	adhika
సంఖ్యలో	sankhyalo
భక్తులు	bhaktulu
తరలి	tarali
వస్తుంటారు	vastuntaaru
</s>	</s>
దీని	deeni
వాదనలకు	vaadanalaku
ఒక	oka
అంశానికి	amsaaniki
సంబంధించిన	sambandhinchina
రుజువు	ruguvu
లేదా	ledaa
ఇతర	itara
ఆధారాలు	aadhaaraalu
వేటిని	vetini
ప్రచురించులేదు	prachurimchuledu
</s>	</s>
ఎల్	l
ఎక్స్	x
డి	d
ఇ	e
</s>	</s>
సురగంగ	suraganga
పొంగిన	pomgina
నర్తనశాల	nartanasaala
</s>	</s>
యార్లగడ్డ	yarlagadda
వెంకట	venkata
కృష్ణారావు	krishnaaraavu
ప్రముఖ	pramukha
స్వాతంత్ర్యసమరయోధుడు	svaatantryasamarayodhudu
కమ్యూనిస్టు	communistu
నాయకుడు	naayakudu
</s>	</s>
విమర్శకుల	vimarsakula
ప్రశంసలందుకున్నా	prasamsalandukunnaa
ఈ	ee
చిత్రం	chitram
ఆర్థికంగా	aarthikangaa
విజయవంతం	vijayavantam
కాలేదు	kaaledu
</s>	</s>
మిమిక్రీ	mimicry
శ్రీనివాస్	sreenivas
శ్రీనివాస్	sreenivas
చించపట్టణ	chinchapattana
గోమఠేశం	gomathesam
అంతర్జాతీయ	antarjaateeya
ఖ్యాతి	khyaati
గాంచిన	gaamchina
వెంట్రిలాక్విస్టు	ventrilaakvistu
మరియు	mariyu
మికిక్రీ	mikicry
కళాకారుడు	kalaakaarudu
</s>	</s>
ముందు	mundu
తరం	taram
నటులు	natulu
సాంకేతిక	saanketika
నిపుణులు	nipunulu
ప్రజానాట్యమండలి	prajaanaatyamandali
నుండి	nundi
వచ్చిన	vachchina
వారెందరో	vaarendaro
ఉన్నారు	vunnaaru
</s>	</s>
అన్నాడాయన	annaadaayana
</s>	</s>
ఒకే	oke
ప్రాతంలో	praatamlo
వాతావరణపు	vaataavaranapu
పొరను	poranu
ఢీ	dhee
కొట్టటం	kottatam
వలన	valana
ఒక	oka
రేడియో	radio
స్టేషను‌‌కు	stationu‌‌ku
మరొక	maroka
స్టేషను‌కు	stationu‌ku
తరంగాలు	tarangaalu
కలసి	kalasi
పోయి	poyi
ఒక్కొక్కసారి	okkokkasaari
అస్తవ్యస్తమవుతూ	astavyastamavutoo
ఉంటుంది	vuntundi
</s>	</s>
నిమ్మలూరి	nimmaloori
భాస్కరరావు	bhaskararao
</s>	</s>
ముహమ్మద్	muhammad
తోరాహ్	toraah
గ్రంథం	grantham
మాత్రం	maatram
చదవలేదని	chadavaledani
వాదించే	vaadinche
యూదులు	yoodulu
ఉన్నారు	vunnaaru
</s>	</s>
శ్రుతశర్మ	srutasharma
కడకు	kadaku
ద్యూతము	dyootamu
</s>	</s>
బాణాసంచా	baanaasamchaa
వినియోగం	viniyogam
భారతదేశంలో	bhaaratadesamlo
19వ	19va
శతాబ్దం	sataabdam
తొలినాళ్లలో	tolinaallalo
ప్రారంభమైంది	praarambhamaimdi
</s>	</s>
ఆతని	aatani
అనిష్కల్మష	anishkalmasha
ప్రేమను	premanu
గ్రహించి	grahinchi
పాలకుడు	paalakudu
ఆతని	aatani
కుమార్తెను	kumaartenu
ఆతనికిచాడు	aatanikichaadu
</s>	</s>
ఈ	ee
కావ్యం	kaavyam
1882లో	1882lo
మొదటిసారి	modatisaari
ముద్రించబడింది	mudrinchabadindi
</s>	</s>
అవి	avi
అలా	alaa
విసర్జన	visarjana
చేసేటప్పుడు	chesetappudu
వాటి	vaati
ఒంటిపైనున్న	omtipainunna
కీటకాలకు	keetakaalaku
గ్రుడ్లు	grudlu
పెట్టుకునే	pettukune
చోటు	chotu
దొరుకుతుందని	dorukutundani
లేదా	ledaa
ఆ	aa
కీటకాలు	keetakaalu
అలసకోతి	alasakoti
యొక్క	yokka
మలకూపాలలోనే	malakoopaalalone
గ్రుడ్లుపెడతాయని	grudlupedataayani
వారి	vaari
భావన	bhaavana
</s>	</s>
భారతదేశంలో	bhaaratadesamlo
వింధ్య	vimdhya
పర్వతమునకు	parvatamunaku
దక్షిణమున	dakshinamuna
ఉన్న	vunna
అరణ్యము	aranyamu
</s>	</s>
ఊబకాయం	oobakaayam
వల్ల	valla
ముఖ్యంగా	mukhyangaa
మోకాళ్ళు	mokaallu
కీళ్ళు	keellu
ఆస్టియో	osteo
ఆర్థరైటిస్‌కి	arthritiski
గురవుతున్నాయి	guravutunnaayi
</s>	</s>
సోలిపేట్	solipet
షాబాద్‌	shabad
-	-
రంగారెడ్డి	rangaareddy
జిల్లాలోని	jillaaloni
షాబాద్‌	shabad
మండలానికి	mandalaaniki
చెందిన	chendina
గ్రామము	graamamu
</s>	</s>
ఫలాక్షుడు	phalakshudu
</s>	</s>
జోగినులకు	joginulaku
విద్య	vidya
నేర్పడం	nerpadam
</s>	</s>
రంగాపురం	rangapuram
లక్కవరపుకోట	lakkavarapukota
-	-
విజయనగరం	vijayanagaram
జిల్లాలోని	jillaaloni
లక్కవరపుకోట	lakkavarapukota
మండలానికి	mandalaaniki
చెందిన	chendina
గ్రామము	graamamu
</s>	</s>
జాతికి	jaatiki
జ్ఞాన	gnaana
నేత్రం	netram
కొడవటిగంటి	kodavatiganti
కుటుంబరావు	kutumbarao
రచనలపై	rachanalapai
చేసిన	chesina
విశ్లేషణాత్మకమైన	visleshanaatmakamaina
గ్రంథం	grantham
</s>	</s>
కర్ణాటక	karnataka
రాష్ట్రప్రభుత్వం	raashtraprabhutvam
రాజ్యోత్సవ	raajyotsava
ప్రశస్థిని	prasasthini
కర్ణాటక	karnataka
సంగీత	sangeeta
నాటక	naataka
అకాడమీ	acadamy
పురస్కారాన్ని	puraskaaraanni
అందుకున్నాడు	andukunnaadu
</s>	</s>
శ్రీ	sree
నిత్యోత్సవ	nityotsava
చిద్విలాస	chidvilaasa
పరమేష్టీ	parameshtee
మైథిలీ	maithilee
వల్లభా	vallabhaa
</s>	</s>
పనితీరు	paniteeru
అంచనా	anchanaa
</s>	</s>
మనము	manamu
కోరకయే	korakaye
ఎట్లు	etlu
దుఃఖములు	duhkhamulu
కలుగుచు	kaluguchu
ఉన్నవో	unnavo
అట్లు	atlu
సుఖములును	sukhamulunu
మనము	manamu
కోరకయే	korakaye
పూర్వపూర్వ	poorvapoorva
కర్మములచేత	karmamulacheta
కలుగుచు	kaluguchu
ఉన్నాయి	vunnaayi
</s>	</s>
ఇన్‌స్పెక్టర్‌	inspector
జనరల్‌	general
నాటకంలో	naatakamlo
తెలుగు-తమిళ	telugu-tamila
యాసతో	yaasato
పోస్ట్‌మాస్టర్‌	postmaster
పాత్రను	paatranu
శ్రీనివాసరావు	sreenivaasarao
పోషించారు	poshinchaaru
</s>	</s>
ఆహారాన్ని	aahaaraanni
దాచి	daachi
ఉంచే	umche
పక్షులలో	pakshulalo
ఇతర	itara
పక్షుల	pakshula
కన్నా	kannaa
హిప్పోకాంపస్	hippocampas
పరిమాణం	parimaanam
పెద్దదిగా	peddadigaa
ఉంటుంది	vuntundi
అనుటకు	anutaku
ఆధారాలు	aadhaaraalu
కలవు	kalavu
మరియు	mariyu
హిప్పోకాంపస్	hippocampas
కు	ku
జరిగిన	jarigina
నష్టము	nashtamu
ప్రాదేశిక	praadesika
స్మృతికి	smrtiki
హాని	haani
కలిగేందుకు	kaligenduku
కారణమవుతుంది	kaaranamavutundi
</s>	</s>
పాలీకార్బొనేట్	polycarbonate
రిమూవబుల్	removable
బ్యాక్	back
కవర్‌తో	coverto
ఈ	ee
ఫోన్‌ను	phonnu
కంపెనీ	company
అందిస్తోంది	andistondi
</s>	</s>
జనగణాంక	janaganaamka
శాస్త్ర	saastra
పితామహుడు	pitaamahudu
</s>	</s>
హంసలు	hamsalu
అడవి	adavi
కొంగలు	komgalu
చక్రవాక	chakravaaka
పక్షులు	pakshulu
ఉన్నాయి	vunnaayi
</s>	</s>
ఘన్‌పూర్	ghanpur
తూప్రాన్	toopran
మండలం	mandalam
</s>	</s>
అమ్మోనియం	ammonium
పెర్క్లోరేట్	perchlorate
రంగులేని	ranguleni
స్పటికాలుగా	spatikaalugaa
ఘనిభవించును	ghanibhavimchunu
</s>	</s>
వీటన్నింటికీ	veetannintikee
మించి	minchi
సంఘంలో	sanghamlo
వున్న	vunna
కుళ్ళును	kullunu
ఎండగడుతూ	emdagadutoo
వ్యక్తులలోను	vyaktulalonu
వున్న	vunna
అంతర్గత	antarjata
బలహీనతలను	balaheenatalanu
ఎత్తిచూపుతూ	ettichooputoo
చక్కని	chakkani
హాస్యంతో	haasyamto
వ్యంగ్య	vyangya
రచనలు	rachanalu
చేసాడు	chesaadu
</s>	</s>
మంత్రి	mantri
చెన్నమరాజు	chennamaraaju
సంధి	sandhi
చేసుకొమ్మని	chesukommani
సలహా	salahaa
ఇచ్చాడు	ichchaadu
</s>	</s>
అందుకే	anduke
రక్తహీనతతో	raktaheenatato
బాధపడేవారికి	baadhapadevaariki
అంజూర్‌	anjeer
తినమని	tinamani
వైద్యులు	vaidyulu
సలహా	salahaa
ఇస్తుంటారు	istuntaaru
</s>	</s>
పరమాత్మగా	paramaatmagaa
వ్యక్తమౌతాడు	vyaktamautaadu
</s>	</s>
కుష్ఠ	kushtha
రోగులు	rojulu
వివాహ	vivaaha
మాడ	maada
కూడదని	koodadani
నిర్బందములు	nirbandamulu
ఏర్పడవలయును	erpadavalayunu
</s>	</s>
జీవం	jeevam
కోల్పోయిన	kolpoyina
జుట్టుకు	juttuku
ద్రాక్ష	draaksha
గింజలు	ginjalu
చక్కని	chakkani
ఔషధంలా	aushadhamlaa
పనిచేస్తాయి	panichestaayi
</s>	</s>
వేల్పుచెర్ల	velpucherla
ముద్దనూరు	muddanuru
-	-
కడప	kadapa
జిల్లాలోని	jillaaloni
ముద్దనూరు	muddanuru
మండలానికి	mandalaaniki
చెందిన	chendina
గ్రామము	graamamu
</s>	</s>
వైశ్యసేవా	vaisyasevaa
సదనంలో	sadanamlo
హరిజనులచే	harijanulache
నూతి	nooti
నీటిని	neetini
త్రాగించారు	traaginchaaru
</s>	</s>
లఖనాపూర్	lakhanaapur
</s>	</s>
మనఊరి	manaoori
రామాయణం	ramayanam
2016లో	2016lo
విడుదలైన	vidudalaina
తెలుగు	telugu
డబ్బింగ్	dubbing
సినిమా	cinema
</s>	</s>
చిన్నవి	chinnavi
యుక్తవయసులో	yuktavayasulo
కొద్దికాలము	koddikaalamu
పాటు	paatu
కనిపించినా	kanipinchinaa
ఎటువంటి	etuvanti
బాధ	baadha
ఉండదు	undadu
వీటివలన	veetivalana
ముఖముపై	mukhamupai
మచ్చలు	machchalu
ఏమి	emi
మిగలవు	migalavu
</s>	</s>
కుంఫిణీ	kumphinee
వాడొచ్చెరా	vaadochcheraa
పలనాట	palanaata
</s>	</s>
ముతైదువుల	mutaiduvula
సమక్షమున	samakshamuna
జరుపు	jarupu
ముచ్చటైన	muchchataina
వేడుకను	vedukanu
ఆయన	aayana
బార్యకు	baaryaku
జరిగిన	jarigina
సీమంతమును	seemamtamunu
చూసి	choosi
పరవశించి	paravasinchi
ఆ	aa
సంఘటనకు	sanghatanaku
శాశ్వత	saasvata
స్వరూపమును	svaroopamunu
తన	tana
రచనా	rachanaa
పాటవముతో	paatavamuto
చిత్రించాడు	chitrinchaadu
</s>	</s>
2010లో	2010lo
తెలంగాణ	telangana
అంశంపై	amsampai
శ్రీకృష్ణ	sreekrishna
కమిటీని	commiteeni
నియమించగా	niyaminchagaa
ఆ	aa
కమిటి	committee
ఆరు	aaru
ప్రతిపాదనలు	pratipaadanalu
చేసింది	chesindi
</s>	</s>
అయినా	ayinaa
తరువాత	taruvaata
2001లో	2001lo
జరిగిన	jarigina
కలకత్తాలో	kalakattaalo
జరిగిన	jarigina
రెండవ	rendava
టెస్ట్	test
లో	lo
అత్యంత	atyanta
ఒత్తిడిలో	ottidilo
ఆస్ట్రేలియా	australia
పైన	paina
ఫాలోఆన్	phaaloaan
ఆడుతూ	aadutoo
అసాధారణ	asaadhaarana
రీతిలో	reetilo
281	281
పరుగులు	parugulu
చేయడము	cheyadamu
లక్ష్మణ్	lakshman
కు	ku
పేరుప్రఖ్యాతలు	peruprakhyaatalu
తెచ్చింది	techchindi
</s>	</s>
ఉత్తిష్ఠ	uttishtha
నర	nara
శార్దూల	saardoola
కర్తవ్యం	kartavyam
దైవమాహ్నికమ్	daivamaahnikam
</s>	</s>
సూక్ష్మశ్రేణి	sookshmasreni
పదార్ధాలు	padaardhaalu
కొన్నిసార్లు	konnisaarlu
సూర్య	soorya
కణాలలో	kanaalalo
ఉపయోగించబడతాయి	vupayoginchabadataayi
ఇది	idi
సంప్రదాయ	sampradaaya
సిలికాన్	silicon
సూర్య	soorya
కణాల	kanaala
యొక్క	yokka
ఖర్చును	kharchunu
తగ్గిస్తుంది	taggistundi
</s>	</s>
గొట్లం	gotlam
పేరుతో	peruto
చాలా	chaalaa
వ్యాసాలు	vyaasaalu
ఉన్నాయి	vunnaayi
ఆ	aa
వ్యాసాల	vyaasaala
జాబితాను	jaabitaanu
ఇక్కడ	ikkada
ఇచ్చారు	ichchaaru
</s>	</s>
ఇవి	ivi
భూమి	bhoomi
మీద	meeda
పైపొరలోని	paiporaloni
జీవచక్రాన్ని	jeevachakraanni
రక్షిస్తున్నాయి	rakshistunnaayi
</s>	</s>
చిన్నరావిగూడెం	chinnaraavigoodem
</s>	</s>
విశాఖపట్నంలోని	visakhapatnamloni
భీమునిపట్నంలో	bheemunipatnamlo
ఆనందవనం	aanandavanam
పేరిట	perita
ఉన్న	vunna
ఆశ్రమంలో	aasramamlo
నివసిస్తున్నారు	nivasistunnaaru
</s>	</s>
ఏ	e
విషయంలో	vishayamlo
అయినా	ayinaa
ఈ	ee
వస్తువుల	vastuvula
మధ్య	madhya
ఉన్న	vunna
సంబంధాలు	sambandhaalu
మాత్రమే	maatrame
విస్తారంగా	vistaarangaa
అధ్యయనం	adhyayanam
చెయ్యబడతాయి	cheyyabadataayi
కానీ	kaanee
