ਨੌਜਵਾਨ	naujavaan
ਵਾਤਾਵਰਣ	vaataavaran
ਦੇ	de
ਵਿੱਚ	vich
ਜਿਂਵੇ	jive
ਕੀ	ki
ਇਰਾਕ਼	iraq
ਤੇ	te
ਸੀਰੀਆ	siria
</s>	</s>
ਕ੍ਰਿਸ	kris
ਹਿੱਲ	hill
6	6
ਫਰਵਰੀ	february
1912	1912
ਨੂੰ	nun
ਬਿਸ਼ਪਥੋਰਪ	bishapthorap
ਰੋਡ	road
ਯਾਰਕ	yarak
ਤੋਂ	ton
ਐਡਵਰਡ	edward
ਹੈਰੋਲਡ	harold
ਹਿਲ	hill
ਅਤੇ	ate
ਜਨੇਟ	janet
ਔਗਸਟਾ	augasta
ਨਾਇਕ	naaik
ਡਿਕਨਸਨ	dikanasan
ਤਕ	tak
ਪੈਦਾ	paidaa
ਹੋਏ	hoe
ਸਨ	san
</s>	</s>
ਇਹ	eh
ਦੋਵੇਂ	doven
ਨਾਵਲ	naaval
ਈਸਾਈ	isaai
ਮਿਸ਼ਨਰੀਆਂ	mishanariaan
ਵਲੋਂ	valon
ਲੁਧਿਆਣਾ	ludhiaanaa
ਪ੍ਰੈਸ	prais
ਰਾਹੀਂ	raahin
ਛਾਪੇ	chhaape
ਗਏ	gae
</s>	</s>
ਜਿਸਦਾ	jisadaa
ਮੂਲ	mul
ਅਰਥ	arath
ਅਮੀਰ	amir
ਹੈ	hai
ਇਹ	eh
ਮੰਨਦੇ	mannade
ਹੋਏ	hoe
ਕਿ	ki
ਹੇਠਲੇ	hethle
ਨਿਵਾਸ	nivaas
ਤੋਂ	ton
ਭਾਵ	bhaav
ਮਿੱਟੀ	mitti
ਅਮੀਰਾਂ	amiraan
ਉਦਾਹਰਨ	udaaharan
ਲਈ	lai
ਉਪਜਾਊ	upajaau
ਫਸਲ	phasal
ਧਾਤਾਂ	dhaataan
ਅਤੇ	ate
ਹੋਰ	hor
ਆਉਂਦੀ	aaundi
ਹੈ	hai
</s>	</s>
ਗੋਰਕੀ	goraki
ਨੇ	ne
ਉਸਦੇ	usade
ਵੀਜ਼ਾ	vizaa
ਲਈ	lai
ਬੇਨਤੀ	benati
ਕੀਤੀ	kiti
</s>	</s>
ਇਸੇ	ise
ਤਰਾਂ	taraan
ਉਹ	uh
ਚੀਨ	chin
ਨੂੰ	nun
ਨਾ	naa
ਤਾ	taa
ਪੂਰਾ	puraa
ਆਜ਼ਾਦ	aazaad
ਮੰਨਦਾ	mannadaa
ਸੀ	si
ਅਤੇ	ate
ਨਾ	naa
ਹੀ	hi
ਪੂਰੀ	puri
ਬਸਤੀ	basati
</s>	</s>
ਅਹਮਦ	ahmad
ਜਾਨ	jaan
ਥਿਰਕਵਾ	thirakavaa
</s>	</s>
ਮਲਬੇ	malbe
ਦੀ	di
ਮਾਤਰਾ	maatraa
ਅਤੇ	ate
ਮਰੀਜ਼	mariz
ਦੀ	di
ਸਥਿਤੀ	sathiti
ਦੇ	de
ਨਿਰਭਰ	nirabhar
ਕਰਦੇ	karade
ਹੋਏ	hoe
ਗਰੱਭਾਸ਼ਯ	garabbhaashay
ਜਾਂ	jaan
ਤਾਂ	taan
ਮੁਰੰਮਤ	murammat
ਕੀਤੀ	kiti
ਜਾਂ	jaan
ਹਟਾਈ	hataai
ਜਾ	jaa
ਸਕਦੀ	sakadi
ਹੈ	hai
</s>	</s>
ਡੈਨਿਸ਼	danish
ਵਰਜਿਨ	version
ਟਾਪੂ	taapu
</s>	</s>
ਜਾਣਕਾਰੀ	jaanakaari
ਨੂੰ	nun
ਘੱਲਣ	ghallan
ਜਾਂ	jaan
ਸਮਝਣ	samajhan
ਵਾਸਤੇ	vaasate
ਇਹਨੂੰ	ehanun
ਕਈ	kai
ਖ਼ਾਕਿਆਂ	khaakiaan
ਵਿੱਚ	vich
ਸੰਕੇਤਬੱਧ	sanketabaddh
ਕੀਤਾ	kita
ਜਾ	jaa
ਸਕਦਾ	sakadaa
ਹੈ	hai
</s>	</s>
ਭੀਮਗੋਡਾ	bhimagodaa
ਬੰਨ੍ਹ	bannh
ਹਰਦੁਆਰ	haraduaar
ਵਿੱਚ	vich
ਸਥਿਤ	sathit
ਹੈ	hai
</s>	</s>
ਇਸ	is
ਸੰਸਾਰ	sansaar
ਤੇ	te
ਔਰਤਾਂ	aurataan
ਦਾ	daa
ਰਾਜ	raaj
ਹੈ	hai
ਪਦਮਰਗ	padmarag
ਐੱਸਸੈਂਸ	ss
ਆਫ	of
ਦ	the
ਲੌਟਸ	lotos
1924	1924
ਇਕ	ik
ਹੋਰ	hor
ਨਾਰੀਵਾਦੀ	naarivaadi
ਯੂਟੋਪੀਆਈ	yutopiaai
ਨਾਵਲ	naaval
ਹੈ	hai
ਅਤੇ	ate
ਮੋਤੀਚੂਰ	motichur
ਦੋ	do
ਭਾਗਾਂ	bhaagaan
ਵਿਚ	vich
ਲੇਖਾਂ	lekhaan
ਦਾ	daa
ਸੰਗ੍ਰਹਿ	sangrahi
ਹੈ	hai
</s>	</s>
ਉਸ	us
ਨੇ	ne
ਸੋਚਿਆ	sochiaa
ਕਿ	ki
ਉਹ	uh
ਦਿੱਲੀ	dilli
ਦਰਬਾਰ	darbaar
ਜਾ	jaa
ਕੇ	ke
ਕੀ	ki
ਮੂੰਹ	muh
ਵਿਖਾਏਗਾ	vikhaaegaa
</s>	</s>
ਲਾਸ਼ਾ	laashaa
ਅਬਾਸ਼ਮਾਦ੍ਜ਼ੇ	abaashamaadaze
ਬਾਸ	baas
ਗਿਟਾਰ	guitaar
</s>	</s>
ਇਸ	is
ਤਰ੍ਹਾਂ	tarhaan
ਅਸੀਂ	asin
ਕਹਿ	keh
ਸਕਦੇ	sakade
ਹਾਂ	haan
ਕਿ	ki
ਪੁਰਾਤਨ	puraatan
ਜਨਮਸਾਖੀ	janamasaakhi
ਆਪਣੇ	aapne
ਗੁਣਾ	gunaa
ਕਰਕੇ	karake
ਇੱਕ	ikk
ਇਤਿਹਾਸਿਕ	itehaasik
ਦਸਤਾਵੇਜ	dasataavej
ਦੇ	de
ਰੂਪ	rup
ਵਿੱਚ	vich
ਸਾਡੇ	saade
ਲਈ	lai
ਫਾਇਦੇਮੰਦ	faidemand
ਸਾਬਤ	saabat
ਹੋ	ho
ਰਹੀ	rahi
ਹੈ	hai
ਅਤੇ	ate
ਹਮੇਸ਼ਾ	hameshaa
ਹੀ	hi
ਆਉਣ	aaun
ਵਾਲੀਆਂ	valiyan
ਪੀੜ੍ਹੀਆਂ	pirhhiaan
ਲਈ	lai
ਫਾਇਦੇਮੰਦ	faidemand
ਸਾਬਤ	saabat
ਹੋਵੇਗੀ	hovegi
</s>	</s>
ਪ੍ਰਾੱਪ	prap
ਇੱਕ	ikk
ਯੋਗ	yog
ਮੈਂਬਰ	member
ਬਣਿਆ	baniaa
ਰਿਹਾ	reha
ਜਦੋਂ	jadon
ਤੱਕ	takk
ਉਹ	uh
ਅਗਸਤ	augusst
22	22
1970	1970
ਨੂੰ	nun
ਲੈਨਿਨਗ੍ਰਾਡ	leninguard
ਵਿੱਚ	vich
ਦਿਲ	dil
ਦਾ	daa
ਦੌਰਾ	dauraa
ਪੈਣ	pain
ਨਾਲ	naal
ਮਰ	mar
ਨੀ	ni
ਗਿਆ	gaya
</s>	</s>
ਸਾਨੂੰ	saanun
ਭਰਾ	bharaa
ਤੇ	te
ਭਤੀਜਾ	bhatijaa
ਦੀਓ	dio
</s>	</s>
ਨੇ	ne
ਖੁਰਾਕ	khuraak
ਸੁਰੱਖਿਆ	surakkhiaa
ਨੂੰ	nun
ਪਰਿਭਾਸ਼ਿਤ	paribhaashit
ਕੀਤਾ	kita
ਹੈ	hai
ਜਦੋਂ	jadon
ਸਾਰੇ	saare
ਲੋਕ	lok
ਹਰ	har
ਸਮੇਂ	samen
ਸਰੀਰਕ	sarirak
ਅਤੇ	ate
ਆਰਥਿਕ	aarathik
ਤਕਨਾਲੋਜੀ	takanaaloji
ਦੀ	di
ਸਮਰੱਥਾ	samaratthaa
ਅਤੇ	ate
ਪੋਸ਼ਕ	poshak
ਭੋਜਨ	bhojan
ਪ੍ਰਾਪਤ	praapat
ਕਰਦੇ	karade
ਹਨ	han
ਜੋ	jo
ਆਪਣੀ	aapani
ਖੁਰਾਕ	khuraak
ਦੀ	di
ਜ਼ਰੂਰਤਾਂ	zarurataan
ਅਤੇ	ate
ਇੱਕ	ikk
ਸਰਗਰਮ	saragaram
ਅਤੇ	ate
ਤੰਦਰੁਸਤ	tandarusat
ਜੀਵਨ	jivan
ਲਈ	lai
ਭੋਜਨ	bhojan
ਤਰਜੀਹਾਂ	tarajehaan
ਨੂੰ	nun
ਪੂਰਾ	puraa
ਕਰਦਾ	karadaa
ਹੈ	hai
</s>	</s>
ਦਾਰਾ	dara
ਸਿੰਘ	singh
ਨਾਸ਼ਤੇ	naashate
ਵਿੱਚ	vich
20	20
ਚਿਕਨ	chikan
ਪੀਸ	piece
20	20
ਆਂਡੇ	aande
ਅਤੇ	ate
5	5
ਲਿਟਰ	litter
ਦੁੱਧ	duddh
ਪੀਂਦੇ	pinde
ਸਨ	san
ਅਤੇ	ate
ਭਾਵੇਂ	bhaaven
ਕੁਝ	kujh
ਵੀ	vi
ਹੋ	ho
ਜਾਵੇ	jaave
ਕਸਰਤ	kasarat
ਉਹ	uh
ਰੋਜ਼ਾਨਾ	rozaanaa
ਕਰਦੇ	karade
ਸਨ	san
</s>	</s>
ਇਸ	is
ਰਸਤੇ	rasate
4590	4590
ਮੀਟਰ	meter
ਉੱਚੇ	ucche
ਕੰਜ਼ੁਮ	kanzum
ਦੱਰੇ	darre
ਨੂੰ	nun
ਪਾਰ	paar
ਕਰਨਾ	karanaa
ਪੈਂਦਾ	paindaa
ਹੈ	hai
</s>	</s>
ੲਿਹਨਾਂ	ehanaan
ਤਿੰਨਾਂ	tinnaan
ਤੱੱਤਾਂ	tattaan
ਵਿਚੋੋਂ	vichon
ਕਿਸੇ	kise
ੲਿਕ	ik
ਦੀ	di
ਘਾਟ	ghaat
ਵੀ	vi
ਕਵੀ/ਸਾਹਿਤਕਾਰ	kavi/saahitakaar
ਦੀ	di
ਰਚਨਾ	rachanaa
ਨੂੰ	nun
ਨੀਵੇੇਂ	niven
ਪੱਧਰ	paddhar
ਤੇ	ute
ਲਿਅਾ	liya
ਸਕਦੀ	sakadi
ਹੈ	hai
</s>	</s>
ਮਿੰਟੂ	mintu
ਆਪ	aap
ਵੀ	vi
ਕਬੱਡੀ	kabaddi
ਦਾ	daa
ਬਹੁਤ	bahut
ਵਧੀਆ	vadhiaa
ਖਿਡਾਰੀ	khidaari
ਸੀ	si
ਇਸ	is
ਮਾਹੌਲ	maahaul
ਵਿੱਚ	vich
ਉਹ	uh
ਨਸ਼ੇਖੋਰੀ	nashekhori
ਚੋਰੀ	chori
ਚਕਾਰੀ	chakaari
ਅਤੇ	ate
ਗੁੰਡਾਗਰਦੀ	gundaagaradi
ਵਿੱਚ	vich
ਵੀ	vi
ਪੈ	pai
ਗਿਆ	gaya
ਸੀ	si
ਅਤੇ	ate
ਜੇਲ	jel
ਵੀ	vi
ਗਿਆ	gaya
</s>	</s>
ਸ਼ੁਰੂਆਤ	shuruaat
ਵਿੱਚ	vich
ਭਾਰਤ	bharat
ਨੇ	ne
ਜਪਾਨ	japan
ਨੂੰ	nun
11-1	11-1
ਨਾਲ	naal
ਹਰਾਇਆ	haraya
</s>	</s>
ਓਹਨਾ	ohanaa
ਨੇ	ne
ਰਾਸ਼ਟਰੀ	raashatari
ਪੱਧਰ	paddhar
ਤੱਕ	takk
ਕਬੱਡੀ	kabaddi
ਖੇਡੀ	khedi
ਹੈ	hai
ਪਰ	par
ਮੋਢੇ	modhe
ਤੇ	te
ਸੱਟ	satt
ਲੱਗਣ	laggan
ਕਾਰਨ	kaaran
ਓਹਨਾ	ohanaa
ਨੂ	nu
ਕਬੱਡੀ	kabaddi
ਛੱਡਣੀ	chhaddani
ਪਾਈ	paai
ਸੀ	si
</s>	</s>
ਦੇ	de
ਸਮੇਂ	samen
ਭੋਜਨ	bhojan
ਦਾ	daa
ਜਰੂਰੀ	jaruri
ਅੰਗ	ang
ਬਣ	ban
ਗਏ	gae
</s>	</s>
ਕਾਮਰੇਡ	comrade
ਪੂਰਨ	puran
ਸਿੰਘ	singh
</s>	</s>
ਡਾ	dr
ਸ਼ੀਤਲ	sheetal
ਆਮਟੇ-ਕਰਾਜਗੀ	amte-karaajagi
ਇੱਕ	ikk
ਭਾਰਤੀ	bharati
ਡਾਕਟਰ	doctor
ਜਨਤਕ	janatak
ਸਿਹਤ	sehat
ਦੇ	de
ਮਾਹਰ	maahar
ਅਪੰਗਤਾ	apangataa
ਮਾਹਰ	maahar
ਅਤੇ	ate
ਇੱਕ	ikk
ਫੋਟੋਗ੍ਰਾਫਰ	photographer
ਹਨ	han
</s>	</s>
ਆਸ਼ਕ	aashak
ਸ਼ੇਰ	sher
ਜਾਂ	jaan
ਪ੍ਰੇਮੀ	ppremi
ਸ਼ੇਰ	sher
ਈਸਪ	isap
ਦੀ	di
ਇੱਕ	ikk
ਕਹਾਣੀ	kahaani
ਹੈ	hai
</s>	</s>
ਉਹ	uh
ਆਡੀਸ਼ਨ	audition
ਦੌਰਾਨ	dauraan
ਇੰਨੀ	inni
ਘਬਰਾਹਟ	ghabaraahat
ਹੋ	ho
ਗਈ	gai
ਕਿ	ki
ਟੌਮੀ	taumi
ਹੈਂਡਲੀ	haindali
ਸ਼ੋਅ	sho
ਦੇ	de
ਸਟਾਰ	sataar
ਨੇ	ne
ਉਸ	us
ਦਾ	daa
ਹੱਥ	hatth
ਫੜ	pharh
ਲਿਆ	liya
ਜਿਸ	jis
ਨਾਲ	naal
ਉਸਨੇ	usne
ਉਸਨੂੰ	usnu
ਹੋਰ	hor
ਘਬਰਾਇਆ	ghabaraya
</s>	</s>
ਉਹ	uh
ਮੁੱਖ	mukkh
ਤੌਰ	taur
ਤੇ	te
ਕਹਾਣੀ	kahaani
ਅਤੇ	ate
ਨਾਵਲ	naaval
ਵਿਧਾ	vidhaa
ਵਿੱਚ	vich
ਲਿਖਦਾ	likhadaa
ਹੈ	hai
|	.
ਉਸਨੇ	usne
ਕਾਫੀ	kaaphi
ਕੁਝ	kujh
ਬਾਲ	baal
ਸਾਹਿਤ	saahit
ਵਿੱਚ	vich
ਵੀ	vi
ਲਿਖਿਆ	likhiaa
ਹੈ	hai
|	.
</s>	</s>
ਇਸ	is
ਲੜੀ	larhi
ਤਹਿਤ	tehat
ਕੁਝ	kujh
ਸਟੇਡੀਅਮ	stadium
ਬਣਾਏ	banaae
ਗਏ	gae
</s>	</s>
ਇੱਕ	ikk
ਸਾਧ	saadh
ਹੱਥ	hatth
ਵਿੱਚ	vich
ਕਮੰਡਲ	kamandal
,	,
ਵਾਲ	vaal
ਖੁੱਲ੍ਹੇ	khullhe
,	,
ਗਲ	gal
ਵਿੱਚ	vich
ਮਾਲ਼ਾ	maaḷaa
ਪਾਈ	paai
ਪਿੜ	pirh
ਵਿੱਚ	vich
ਆ	aa
ਅਲ਼ਖ	aḷakh
ਜਗਾਉਂਦਾ	jagaaundaa
ਹੈ	hai
</s>	</s>
ਬੁਕਾਰੇਸਟ	bukarest
ਯੂਰੋਪਿਆਈ	europiaee
ਸੰਘ	sangh
ਵਿੱਚ	vich
ਜਨਸੰਖਿਆਨੁਸਾ	janasankhiaanusaa
ਛੇਵਾਂ	chhevaan
ਸਭਤੋਂ	sabhaton
ਬਹੁਤ	bahut
ਸ਼ਹਿਰ	shahir
ਹੈ	hai
</s>	</s>
ਅਤੀਤ	atit
ਕੇ	ke
ਗਰਭ	garbh
ਸੇ	se
</s>	</s>
ਤੀਸਰੀ	tisari
ਕਹਾਣੀ	kahaani
ਅਨੁਸਾਰ	anusaar
ਇਨ੍ਹਾਂ	inhaan
ਦਾ	daa
ਵੱਡਾ	vaddaa
ਰਾਜਾ	raajaa
ਕਰਣ	karan
ਕਿਸਰਾ	kisraa
ਨਗਰ	nagar
ਤੋਂ	ton
ਦਿੱਲੀ	delhi
ਗਿਆ	gaya
ਤੇ	te
ਬਾਦਸ਼ਾਹ	baadashah
ਫਿਰੋਜ਼ਸ਼ਾਹ	firojshah
ਖਿਲਜੀ	khilaji
ਦੇ	de
ਕਹਿਣ	kahin
ਤੇ	te
ਹਿੱਸਾਰ	hisar
ਦੇ	de
ਇਲਾਕੇ	ilaake
ਵਿੱਚ	vich
ਆਬਾਦ	aabaad
ਹੋ	ho
ਗਿਆ	gaya
ਸੀ	si
</s>	</s>
ਗਿਆਨੀ	gayani
ਗੁਰਦਿੱਤ	gurdit
ਸਿੰਘ	singh
ਦੀ	di
ਪੁਸਤਕ	pusatak
ਮੇਰਾ	mera
ਪਿੰਡ'ਵਿਚੋਂ	pind'vichon
ਪਤਾ	pataa
ਲਗਦਾ	lagadaa
ਹੈ	hai
ਕਿ	ki
ਮਾਲਵੇ	maalave
ਵਿਚ	vich
ਕੁੜੀਆਂ	kurhiaan
ਦੀ	di
ਥੁੜ	thurh
ਕਾਰਨ	kaaran
ਵਿਚੋਲਿਆਂ	vicholiyan
ਦੇ	de
ਉਮਰ	umar
ਭਰ	bhar
ਦੇ	de
ਅਹਿਸਾਨ	ahisaan
ਦਾ	daa
ਬੋਝ	bojh
ਅਤੇ	ate
ਭਾਨੀਮਾਰਾਂ	bhaanimaaraan
ਦੀ	di
ਦਹਿਸ਼ਤ	dahishat
ਦਾ	daa
ਰਾਜ	raaj
ਕਿੰਨਾ	kinnaa
ਡਾਢਾ	daadhaa
ਹੁੰਦਾ	hundaa
ਸੀ	si
</s>	</s>
ਦਾਖਾਂ	daakhaan
</s>	</s>
13 ਵੀਂ	13vin
ਸਦੀ	sadi
ਦੇ	de
ਬਾਅਦ	baad
ਮਾਸਕੋ	maasako
ਮੋਸਾਕੋਵੀਆ	mosaakoviaa
ਦਾ	daa
ਸਭਿਆਚਾਰਕ	sabhiaachaarak
ਕੇਂਦਰ	kendar
ਬਣ	ban
ਗਿਆ	gaya
18ਵੀਂ	18vin
ਸਦੀ	sadi
ਤੱਕ	takk
ਰੂਸ	roos
ਦੀ	di
ਜ਼ਰ੍ਸ਼ਾਹੀ	zaashahi
ਪੂਰਬੀ	purbi
ਪੋਲੈਂਡ	poland
ਤੋਂ	ton
ਲੈਕੇ	laike
ਧੁਰ	dhur
ਪੂਰਬ	purab
ਪ੍ਰਸ਼ਾਂਤ	prashaant
ਮਹਾਸਾਗਰ	mahaasaagar
ਤੱਕ	takk
ਵੱਡਾ	vaddaa
ਰੂਸੀ	rusi
ਸਾਮਰਾਜ	saamaraaj
ਬਣ	ban
ਗਿਆ	gaya
ਸੀ	si
</s>	</s>
ਜਦੋਂ	jadon
ਉਹ	uh
2008	2008
ਵਿੱਚ	vich
ਕਾਲਜ	college
ਵਿੱਚ	vich
ਆਪਣੇ	aapne
ਆਖਰੀ	aakhari
ਸਾਲ	saal
ਵਿੱਚ	vich
ਸੀ	si
ਉਸ	us
ਨੇ	ne
ਐਪਸਪਾਰਕ	appasapaarak
ਨਾਂ	naan
ਦੀ	di
ਇੱਕ	ikk
ਐਪ	app
ਕੰਪਨੀ	company
ਦੀ	di
ਸਥਾਪਨਾ	sathaapanaa
ਕੀਤੀ	kiti
</s>	</s>
ਜੀਵਵਿਗਿਆਨਿਕ	jivavigayanik
ਨਜਰੀਏ	najarie
ਤੋਂ	ton
ਅਜਿਹੇ	ajehe
ਜੀਵਾਂ	jivaan
ਦੇ	de
ਸਮੂਹ	samuh
ਨੂੰ	nun
ਇੱਕ	ikk
ਪ੍ਰਜਾਤੀ	prajaati
ਕਿਹਾ	kehaa
ਜਾਂਦਾ	jaandaa
ਹੈ	hai
ਜੋ	jo
ਇੱਕ	ikk
ਦੂਜੇ	duje
ਦੇ	de
ਨਾਲ	naal
ਔਲਾਦ	aulaad
ਪੈਦਾ	paidaa
ਕਰਨ	karan
ਦੀ	di
ਸਮਰੱਥਾ	samaratthaa
ਰੱਖਦੇ	rakkhade
ਹੋਣ	hon
ਅਤੇ	ate
ਜਿਹਨਾਂ	jehanaan
ਦੀ	di
ਔਲਾਦ	aulaad
ਆਪ	aap
ਅੱਗੇ	agge
ਔਲਾਦ	aulaad
ਜਣਨ	janan
ਦੀ	di
ਸਮਰੱਥਾ	samaratthaa
ਰੱਖਦੀ	rakhdi
ਹੋਵੇ	hove
</s>	</s>
ਫਲ	phal
ਵੀ	vi
ਕੁਝ	kujh
ਸਪੀਸੀਆਂ	specian
ਦੀ	di
ਖੁਰਾਕ	khuraak
ਦਾ	daa
ਹਿੱਸਾ	hissaa
ਹਨ	han
</s>	</s>
ਨੰਦਾ	nanda
ਦੇ	de
ਸਾਰੇ	saare
ਦੇ	de
ਸਾਰੇ	saare
ਨਾਟਕ	naatak
</s>	</s>
ਮਾਂ	maan
ਵੀ	vi
ਇਕਬਾਲ	iqbal
ਨੂੰ	nun
ਬਹੁਤ	bahut
ਚਾਹੁੰਦੀ	chaahundi
ਸੀ	si
</s>	</s>
ਜੈਨ	jain
ਨੇ	ne
1983	1983
ਵਿਚ	vich
ਭਾਰਤੀ	bharati
ਵਿਦੇਸ਼	videsh
ਸੇਵਾ	sevaa
ਦੇ	de
ਨਾਲ	naal
ਆਪਣਾ	aapanaa
ਕੂਟਨੀਤਕ	kutanitak
ਕੈਰੀਅਰ	kairiar
ਸ਼ੁਰੂ	shuru
ਕੀਤਾ	kita
</s>	</s>
ਸਾਲ	saal
2008	2008
ਦੇ	de
ਤੁਫ਼ਾਨ	tufaan
ਦੀ	di
ਤਰ੍ਹਾਂ	tarhaan
ਹੋਟਲ	hotel
ਦੀ	di
ਛੱਤ	chhatt
ਤੋਂ	ton
ਮਿੱਟੀ	mitti
ਦੀ	di
ਟਾਇਲਾਂ	taailaan
ਟੁੱਟ	tutt
ਗਈਆਂ	gaiaan
ਅਤੇ	ate
ਹੋਟਲ	hotel
ਦੇ	de
ਹੇਠਲੇ	hethle
ਪਧੱਰ	padharr
ਤੇ	te
ਜਿੱਥੇ	jitthe
ਸਪਾ	sapaa
ਹੈਲਥ	hailath
ਕਲੱਬ	club
ਵਪਾਰਿਕ	vapaarik
ਦਫ਼ਤਰ	dafatar
ਅਤੇ	ate
ਲਾਂਡਰੀ	laandari
ਸਥਿਤ	sathit
ਸੀ	si
ਉਸ	us
ਵਿੱਚ	vich
ਹੱੜ	harhrh
ਦਾ	daa
ਪਾਣੀ	paani
ਭਰ	bhar
ਗਿਆI	gayai
ਤੁਫ਼ਾਨ	tufaan
ਜਿਸ	jis
ਨਾਲ	naal
ਬਹੁਤ	bahut
ਤਬਾਹੀ	tabaahi
ਹੋਈ	hoi
ਸੀ	si
ਅਤੇ	ate
ਜਿਸ	jis
ਵਿੱਚ	vich
ਗੈਲਵੈਜ਼ਟਨ	gailavaizatan
ਟਾਪੂ	taapu
ਦੇ	de
6000	6000
ਵਸਨੀਕ	vasanik
ਮਾਰੇ	maare
ਗਏ	gae
ਸੀ	si
ਦੇ	de
ਗਿਆਰਾਂ	gayaraan
ਸਾਲਾਂ	saalaan
ਬਾਅਦ	baad
ਹੋਟਲ	hotal
1911	1911
ਵਿੱਚ	vich
ਬਣਾਇਆ	banaya
ਗਿਆ	gaya
ਸੀI	sii
</s>	</s>
ਇਹ	eh
ਜਗਤ	jagat
ਪ੍ਰਸਿੱਧ	prasiddh
ਗੋਤ	got
ਹੈ	hai
</s>	</s>
ਬੇਜ਼ਵਾਡਾ	bezvaadaa
ਨੇ	ne
ਚੁੱਪ	chupp
ਤੋੜਨ	torhan
ਦੀ	di
ਸ਼ੁਰੂਆਤ	shuruaat
ਕੀਤੀ	kiti
</s>	</s>
ਇਹ	eh
ਸਮਾਂ	samaan
ਸਿਕੰਦਰ	sikandar
ਲੋਧੀ	lodhi
ਦੇ	de
ਸਮੇਂ	samen
ਤੋਂ	ton
ਲੈ	lai
ਕੇ	ke
ਬਾਬਰ	babar
ਅਤੇ	ate
ਹਮਾਯੂੰ	hamaayun
ਦੇ	de
ਕਾਲ	kaal
ਦਰਮਿਆਨ	daramiaan
ਪੈਂਦਾ	paindaa
ਹੈ	hai
</s>	</s>
ਫਿਰੋਜ਼ਪੁਰ	firozpur
ਦੇ	de
ਖੇਤਰ	khetar
ਵਿੱਚ	vich
ਕਾਫ਼ੀ	kaafi
ਗਿੱਲ	gill
ਸੱਖੀ	sakkhi
ਸਰਵਰ	saravar
ਦੇ	de
ਸੇਵਕ	sevak
ਸਨ	san
</s>	</s>
ਪੰਜਾਬੀ	panjabi
ਨੌਟੰਕੀ	nautanki
ਸਾਰੇ	saare
ਉੱਤਰੀ	uttari
ਭਾਰਤ	bharat
ਦੇ	de
ਨਵਾਬੀ	navaabi
ਸ਼ਹਿਰਾਂ	shahiraan
ਕਸਬਿਆਂ	kasabiaan
ਵਿੱਚ	vich
ਪ੍ਰਚੱਲਿਤ	prachallit
ਹੋਈ	hoi
</s>	</s>
19ਵੀਆਂ	19viaan
ਸਦੀ	sadi
ਵਿੱਚ	vich
ਫਰਾਂਸੀਸੀ	fraansisi
ਦਾ	daa
ਪ੍ਰਭਾਵ	prabhaav
ਇੰਡੋਚੀਨ	indochin
ਵਿੱਚ	vich
ਵੱਧ	vaddh
ਚਲਾ	chalaa
ਸੀ	si
;	;
ਉਂਜ	unj
,	,
ਉਹ	uh
16ਵੀਆਂ	16viaan
ਸਦੀ	sadi
ਵਿੱਚ	vich
ਹੀ	hi
ਇਸ	is
ਪ੍ਰਾਯਦੀਪ	praayadip
ਵਿੱਚ	vich
ਆ	aa
ਗਏ	gae
ਸਨ	san
ਅਤੇ	ate
ਆਪਣੀ	aapani
ਸ਼ਕਤੀ	shakati
ਵਧਾਉਣ	vadhaaun
ਦੇ	de
ਮੌਕੇ	mauke
ਦੀ	di
ਵੇਖ	vekh
ਵਿੱਚ	vich
ਸਨ	san
</s>	</s>
ਇਹ	eh
ਹਾਇਡਰੋਜਨ	hydrogen
ਦੇ	de
ਦਹਨ	dahan
ਦਾ	daa
ਅੰਤਮ	antam
ਉਤਪਾਦ	utpaad
ਹੈ	hai
</s>	</s>
ਹੈਨਰੀ	henry
ਡਿਊਨਾ	diona
ਦਾ	daa
ਜਨਮ	janam
8	8
ਮਈ	may
ਸੰਨ	sann
1828	1828
ਨੂੰ	nun
ਸਵਿਟਜ਼ਰਲੈਂਡ	switzerland
ਦੇ	de
ਸ਼ਹਿਰ	shahir
ਜੇਨੇਵਾ	geneva
ਦੇ	de
ਇੱਕ	ikk
ਸਮਾਜ	samaaj
ਸੇਵੀ	sevi
ਪਰਿਵਾਰ	parivaar
ਵਿੱਚ	vich
ਪਿਤਾ	pitaa
ਜੀਨ	jean
ਜੈਕ	jack
ਡਿਊਨਾ	diona
ਦੇ	de
ਘਰ	ghar
ਮਾਤਾ	maataa
ੲੈਨ	ann
ਐਨਟੋਇਨੀ	antony
ਦੀ	di
ਕੁੱਖੋਂ	kukkhon
ਹੋਇਆ	hoya
</s>	</s>
14ਵੀਂ	14vin
ਜਾਂ	jaan
15ਵੀਂ	15vin
ਸ਼ਤਾਬਦੀ	shataabadi
ਵਿੱਚ	vich
ਥੇਰਵਾਦ	theravaad
ਬੋਧੀ	bodhi
ਲੋਕਾਂ	lokaan
ਨੇ	ne
ਇਸਨੂੰ	isnu
ਆਪਣੇ	aapne
ਨਿਅੰਤਰਣ	niantaran
ਵਿੱਚ	vich
ਲੈ	lai
ਲਿਆ	liya
</s>	</s>
ਕੈਲੀ	kaili
ਲੈਂਡਲਾਰਡ	landlord
ਵਜੋਂ	vajon
ਬਲਿੰਦਰ	balindar
ਜੌਹਲ	jauhal
</s>	</s>
ਕਰੀਮੂਨਿਸੇ	karimunise
