තන්ත්‍රයන්ට	thanthrayanta
වන්නේද	wanneda
යන්න	yanna
නීතිය	neethiya
මගින්	magin
ප්‍රකාශ	prakasha
වේ	we
</s>	</s>
එම	ema
දහන	dahana
ක්‍රියාවලියෙන්	kriyawaliyen
සෙල්සියස්	celcious
අංශක	anshaka
1200	1200
කට	kata
වැඩි	wedi
උෂ්ණත්වයක්	ushnathwayak
බොයිලරය	boileraya
තුල	thula
නිර්මාණය	nirmanaya
වන	wana
අතර	athara
එම	ema
අධික	adhika
තාපයෙන්	thapayen
බොයිලර්	boiler
බට	bata
තුල	thula
ඇති	athi
පිරිසිදු	pirisidu
ජලය	jalaya
අධිතාපිත	adithapitha
හුමාලය	humalaya
බවට	bawata
පත්වේ	pathwe
</s>	</s>
සාමාන්‍යයෙන්	samannayayen
අපරාධ	aparada
නීතිය	neethiya
නුසුදුසු	nusudusu
අන්දමින්	andamin
ක්‍රියා	kriya
කිරීම	kireema
තහනම්	thahanam
කරනු	karanu
ලබයි	labai
</s>	</s>
2015	2015
වසරෙහිදී	wasarehidi
රැජිණගේ	rajinage
උපන්දින	upandina
සම්මාන	sammana
පිරිනැමීමෙහිදී	pirinameemehidi
බොන්ඩ්	bond
වෙත	wetha
කමාන්ඩර්	comamnder
ඔෆ්	of
දි	the
ඕඩර්	order
ඔෆ්	of
ද	the
බ්‍රිටිෂ්	british
එම්පයර්	empire
ප්‍රදානය	pradhanaya
කෙරිණි	kerini
</s>	</s>
පිළිකා	pilika
සෛල	saila
විනාශ	winasha
කිරීම,රෝග	kireema,roga
නිර්ණය	nirnaya
කිරීම	kireema
වැනි	weni
වෛද්යය	waidya
කටයුතු	katayuthu
සඳහා	sandaha
විකිරණ	vikirana
ප්රයෝජනයට	prayojanayata
ගනී	ganee
</s>	</s>
ගෘහ	gruha
මූලිකයා	moolikaya
සමහර	samahara
ප්රජාවන්	prajawaqn
තුළ	thula
පාස්කු	pasku
seder	seder
දී	dee
කිටෙල්ගේ	kitelge
ඇඳීමට	andeemata
සඳහා	sandaha
එය	eya
සාම්ප්රදායික	sampradayika
වන	wana
අතර	athara
සමහර	samahara
දෑවැද්දට	deweddata
විවාහ	wiwaha
වහලක්	wahalak
යට	yata
එක්	ek
ඇඳීමට	andeemata
</s>	</s>
මෙම	mema
කර්ණ	karna
අස්ථිකා	asthika
ධ්වනි	dwani
තරංග	tharanga
ආසන්නව	asannawa
15-20	15-20
වරක්	warak
පමණ	pamana
වර්ධනය	wardanaya
කරයි	karai
</s>	</s>
යටත්	yathath
නොවුණු	nowunu
නමුදු	namudu
මහනුවර	mahanwuara
රාජ්‍යය	rajyaya
තාවකාලිකව	thawakalikawa
අරාජික	arajika
විය	wiya
</s>	</s>
විෂ්ණුගේ	wishnuge
අවතාරය	awatharaya
ක්‍රිෂ්ණා	krishna
ගවදෙන	gawadena
කිරි	kiri
වස්දණ්ඩ	wasdanda
මයුර	mayura
පිහාටු	piyatu
නීලකාල	neelakala
වර්ණය	warnaya
</s>	</s>
එක්සත්	eksath
ජනපදයෙන්	janapadayen
පිට	pita
ප්‍රථම	prathama
ධාවන	dhawana
වැඩසටහන්ගතකරණය	wedasatahangathakaranaya
ග්‍රාහක	grahaka
සේවා	sewa
මත	matha
වැඩියෙන්	wediyen
පවතින	pawathina
නමුත්	namuth
සමහරක්	samaharak
ගෘහස්තව	gruhasthawa
නිෂ්පාදනය	nishpadanaya
කෙරුණු	kerunu
වැඩ	weda
සටහන්	satahan
ගෘහස්ථ	gruhastha
FTA	fta
මත	matha
ව්‍යාපාරගත	viyaparagatha
වේ	we
</s>	</s>
ගීතරචකයෙකු	geetharachakayaku
කවියෙකු	kaviyeku
ලෙස	lesa
පමණක්	pamanak
නොව	nowa
වේදිකාව	wedikawa
සිනමාව	sinamawa
යන	yana
අංශ	ansha
තුනේම	thunema
ඔහු	ohu
දස්කම්	daskam
පාන	pana
ලදී	ladee
</s>	</s>
විවිධ	vivida
ව්‍යාපෘති	viyapruthi
සමාජ	samaja
</s>	</s>
ජයවීර	jayaweera
සිංගයිඅරියන්ගේ	singayeeariyange
පාලන	palana
කාලය	kalaya
තුල	thula
වෛද්යි	waidya
විද්යාහව	vidyawa
ගැන	gena
කෘතියක්	kruthiyak
ද	da
සේගරාජසේකරම්	segarajasekaram
ජ්යොමතිෂය	jyamithiya
ගැන	gena
ද	da
සේගරාජසේකර	segarajasekera
මාලෙයි	malei
සහ	saha
ගණිතය	ganithaya
ගැන	gena
ද	da
ගණකාධිකාරම්	ganakadikaram
වැනි	weni
කෘතීන්	krutheen
කරිවයියා	karivaiyya
විසින්	visin
කරනු	karanu
ලැබීය	labeeya
</s>	</s>
සංස්කෘතික	sanskruthika
හරයන්	harayan
ඔප්	op
නැංවෙන	nanwena
වැඩසටහන්	wedasatahan
</s>	</s>
එමගින්	emagin
ඔවුනට	owunata
ශබ්දයට	shabdayata
ප්‍රතිචාර	prathichara
දැක්වීමට	dekweemata
අවස්ථාව	awasthawa
හිමි	himi
වේ	we
</s>	</s>
තම	thama
ලිංගයේ	lingaye
අති	athi
සියුම්	siyum
ස්ථාන	sthana
සුන්නත්	sunnath
කරගැනීමට	karageneemata
මුස්ළිම්	muslim
තරුණියන්ට	tharuniyantha
සිවේ	siduwe
</s>	</s>
ඩයිනෝසරයන්ට	dinosarayanta
පෘථිවිය	pruthiviya
මත	matha
සක්මන්	sakman
කිරීමට	kireemata
කලින්	kalin
සිටි	siti
සුපිරි	supiri
විලෝපිකයන්	wilopikayan
කාණ්ඩයක්	kandayak
වන	wana
ප්ලැකොඩර්මාවුන්	plakodarmawun
ගැන	gena
කෙටි	keti
කතාව	kathawa
එහෙමයි	ehemai
</s>	</s>
එය	eya
විසින්	wisin
වායුගෝලීය	wayugoleeya
විද්‍යුතයේ	vidyuthaye
වැදගත්	wedagath
කොටසක්	kotasak
ඉටු	itu
කෙරෙන	kerena
අතර	athra
චුම්බකගෝලයෙහි	chumbakagolayehi
ඇතුළු	athulu
සීමා	seema
දාරයද	darayada
තනයි	thanai
</s>	</s>
ගල්	gal
අඟුරු	anguru
කොටසක්	kotasak
මඟින්	magin
එවැනිම	ewanima
ආලෝක	aloka
කොටසක්	kotasak
පරාවර්තනය	parawarthanaya
වේ	we
</s>	</s>
නැඹුරුවකින්	nemburuwakin
තොරව	thorawa
වාර්තා	wartha
කිරීම	kireema
-	-
පක්ෂග්‍රාහී	pakshagrahee
නොවී	nowee
ගැටුමේ	getume
සියලු	siyalu
අංශ	ansha
දැක්වීම	dekweema
</s>	</s>
මෙය	meya
උරෝස්ථි	urosthi
කෝණය	konaya
සහ	saha
T4–T5	t4-t5
කශේරුකාවල	kasherukawala
අන්තර්කශේරුක	antharkasheruka
මඬල	madala
මට්ටමේ	mattaqme
පිහිටි	pihiti
තලයකි	thalayaki
</s>	</s>
ජිනීවා	jineewa
ජාතීන්ගේ	jathinge
කාර්යාලය	karyalaya
</s>	</s>
18වන	18wana
සියවස	siyawasa
අවසාන	awasana
භාගයෙදී	bhagayedi
එය	eya
එංගලන්තයේ	engalanthaye
ජාතික	jathika
ක්‍රීඩාව	kreedawa
දක්වා	dakwa
දියුනු	diyunu
විය	wiya
</s>	</s>
එන්සයිම	ensima
වල	wala
කියාව	kriyawa
ඉදිරි	idiri
අතට	athatha
මෙන්ම	menma
පසු	pasu
අතට	athata
සිදුවේ(ප්‍රත්‍යාවර්තව	siduwe(prathyawarthawa
</s>	</s>
ස්‍යෝනිකාවේ	seyonikawe
කොටසක්	kotasak
ක්‍රමයෙන්	kramayen
කර්ණශංඛ	karnashanka
නාලය	nalaya
බවට	bawata
වර්ධනය	wardanaya
වී	wee
සම්බන්ධ	sambandha
වේ	we
</s>	</s>
උඩුපියන්ගල්ගේ	udupiyangalge
විසූවෝ	visuwo
බෙල්ලන්බැදිපෑලැස්‌සේ	bellanbendipelesse
සහ	saha
රාවණ	rawana
ඇල්ල	ella
ගල්ගේ	galge
විසූවනට	viuuwanata
වඩා	wada
නූතනයෝ	noothanayo
වූ	woo
බවත්	bawath
උඩුපියන්ගල්ගේ	udupiyangalge
චිත්‍ර	chithra
ඇඳ	anda
තිබීමෙන්	thibeemen
දියුණු	diyunu
මානව	manawa
පිරිසක්‌	piriskak
බව	bhawa
ආචාර්ය	acharya
පී	p
</s>	</s>
1978	1978
සහ	saha
1979	1979
වසර වලදී	wasarawaladee
සිය	siya
ආදායම	adayama
ඉහළ	ihala
නංවා	nanwa
ගැනීමට	ganeemata
උත්සාහ	uthsaha
දරණ	darana
අතරතුර	atharathura
අනාගතය	anagathaya
සඳහා‍සකස්	sandaha sakas
කල	kala
ගවයින්	gawayin
සම්බන්ධ	sambhanda
කොන්ත්‍රාත්	konthrath
විකිණීම	wikineema
මගින්	magin
රොඩ්හැම්	rodham
විශාල	vishala
ලාභයක්	labhayak
උපයා	upaya
ගැනීමට	ganeemata
සමත්විය	samathwiya
</s>	</s>
දඩයමේ	dadayame
ගිය	giya
වැදි	wedi
නායකයෙකු	nayakayeku
විසින්	wisin
මේ	me
ඇල්ල	ella
සොයාගන්නා	soyaganna
ලදැයි	ladai
ජනප්‍රවාදයේ	janapravadaye
ඇත	atha
</s>	</s>
මීසෝසොයික	misosoyika
අවධියේදි	avadiyedi
මිහිමත	mihimatha
පහලවෙලා	pahalawela
ක්‍රිටසියස්	kritasiyas
මහා	maha
වඳවීමත්	vandaweemak
සමඟම	samagama
ටෙරෝසෝරයන්	terosorayan
මිහිමතින්	mihimathin
තුරන්	thuran
වෙනවා	wenawa
</s>	</s>
නිශ්චිත	nischitha
නිර්වචනය	nirwachanaya
විවාදාත්මක	wiwadathmaka
වුව	wuwa
ද	da
ස්වභාවික	swabhawika
භාෂාව	bhashawa
බොහෝවිට	bohowita
කෘත‍්‍රිම	kruthima
හෝ	ho
එස්පෙරාන්ටෝ	esperanto
ලැමිනෝ	lamino
සෙක්සියෝන්	sexion
සහ	saha
ඔක්සිඩෙන්ටල්	oksidental
වැනි	weni
නිර්මාණික	nirmanika
භාෂාවන්ගෙන්	bhashawangen
වෙන්කොට	wenkota
දැක්වේ	dekwe
</s>	</s>
පාණාතිපාතා	panathipatha
අදත්තාදාන	adaththadaa
කාමේසුමිච්ඡාචාර	kamesumichchachara
සුරාපාන	surapana
යන	yana
කයෙන්	kayen
කෙරෙන	kerena
වැරදි	weradi
සහ	saha
මුසාවාද	musawada
පරැසාවාච	parusawachan
පිසුණාවාච	pisunawachan
යන	yana
වචනයෙන්	wachanayen
කෙරෙන	kerena
වැරදි	weradi
නොකළ	nokala
යුතුය	yuthuya
</s>	</s>
ජෝන්	jon
මැකේන්	macken
මහතා	mahatha
1936	1936
අගෝස්තු	august
29	29
වන	wana
දින	dina
පැනමා	penama
ඇල	ela
ප්‍රදේශයේ	pradeshaye
කොකො	koko
සොලෝ	solo
නාවික	nawika
ගුවන්	guwan
මධ්‍යස්ථානයෙහි	madyasthanayehi
උපත	upatha
ලැබීය	labeeya
</s>	</s>
බන්ධනාගාරයේ	bandanagaraye
පරිපාලන	paripalana
කටයුතු	katayuthu
ශ්‍රී	sri
ලංකා	lanka
බන්ධනාගාර	bandanagara
දෙපාර්තමේන්තුව	deparathamenthuwa
මගින්	magin
සිදුකෙරේ	sidukere
</s>	</s>
නැතහොත්	nethahoth
මිණී	minee
අඵ	alu
වලිනි	walini
</s>	</s>
මෙම	mema
ශාක	shaka
විශේෂය	visheshaya
මාදු	madu
ගඟ	ganga
ආශ්‍රිත	ashritha
දූපතක්	doopathak
වූ	woo
ඕවිලාන	owilana
දූපත	doopoatha
ආශ්‍රිතව	ashrithawa
දක්නට	daknata
ලැබේ	labe
</s>	</s>
සමහර	samahara
විකාශනයන්	vikashanayan
කාර්ය	karya
බහුල	bahula
පැය	peya
වලදී	waladee
පමණක්	pamanak
වාහන	wahana
තදබදය	thadabadaya
වාර්තා	wartha
කරන	karana
අතර	athara
තවත්	thawath
සමහරු	samaharu
දවස	dawasa
පුරා	pura
වාර්තා	wartha
කරති	karathi
.	.
</s>	</s>
සෑම	sema
එකක්ම	ekakma
ආරම්භ	arambha
වන්නේ	wanne
සෙලවීම්	selaweema
හෝ	ho
පෙර	pera
වූ	woo
කම්පනවල	kampanawala
ආතති	athathi
යලි	yali
පැතිර	pathira
වීම	weema
මගිනි	magini
</s>	</s>
මාර්ටින්	martin
වික්‍රමසිංහ	wickramasinghe
</s>	</s>
මෙම	mema
කාරක	karaka
සභාවේ	sabhawe
සභාපති	sabhapathi
සහ	saha
සිංහල	sinhala
විශ්වකෝෂයේ	wishwakoshaye
ප‍්‍රධාන	pradhana
කර්තෘ	karthu
ධූරය	dhooraya
සඳහා	sandaha
මහාචාර්ය	mahacharya
ඞී	d
</s>	</s>
ඉරාන්	iran
නෝ	no
ඩිෆෙන්ඩර්	defender
ඔෆ්	of
විමෙන්ස්	womens
රයිට්ස්	rights
ටොරොන්ටෝ	toronto
සන්	son
</s>	</s>
තම	thama
පියාගෙන්	piyagen
අවමන්	awaman
ලද	lada
හෙයින්	heyin
තමන්ට	thamanta
සැමියකු	samiyaku
සොයාගත	soyagatha
නොහැකි	nohaki
යැයි	yai
සිතමින්	sithamin
සරූ	saroo
පසුතැවෙයි	pasuthawei
</s>	</s>
කෑගල්ල	kegalle
සිධාර්ථ	siddhartha
විදුහලේ	vidhuhale
විදුහල්පති	viduhalpathi
තුමා	thuma
</s>	</s>
219	219
මුල්කාලීන	mulkaleen
ජොසොන්	joson
රාජවංශ	rajawansha
යුගයට	yugayata
අයත්	ayath
පෝසිලේන්	poseylain
බුජම	bujama
හෝඅම්	hoam
කලා	kala
කෞතුකාගාරය	kauthukagaraya
යොන්ගින්	yongin
</s>	</s>
රාක්ෂස	rakshasa
මානසපක්ෂයේ	manasapakshaye
පිලිගත්තේය	piligaththeya
</s>	</s>
පාසැල්	pasal
61	61
කින්	kin
සමන්විත	samanwitha
වන	wana
පාත	patha
හේවාහැට	hewaheta
අධ්‍යාපන	adyapana
කොට්ඨාශයෙහි	kottashayehi
සමස්ත	samastha
රජයේ	rajaye
පාසැල්	pasal
ලැයිස්තුව	layisthuwa
සඳහා	sandaha
මෙය	meya
බලන්න	balanna
</s>	</s>
ශ්‍රී	sri
ලංකාවේ	lankawe
ආරවුල්	arawul
නිරාකරණය	nirakaranaya
</s>	</s>
නෙබ්ටි	nebit
නාමයට	namayata
සමානව	samanawa
මෙම	mema
නාම	nama
ප්‍රභේදය	prabhedaya
ද	da
කාර්ටුෂයක්	kartushayak
හෝ	ho
සෙරෙඛ්	sereb
සංකේතයකින්	sankethayakin
වට	wata
නොකෙරේ	nokere
</s>	</s>
විද්‍යාව	vidyawa
දර්ශන	dharshana
වාදය	wadaya
හා	ha
තවත්	thawath
විෂයයන්	wishayayan
ඉගැන්වීමට	iganweemata
යෝජිතය	yojithaya
</s>	</s>
එනම්	enam
රජයේ	rajaye
පාසල්	pasal
අර්ධ	arda
රජයේ	rajaye
පාසල්	pasal
සහ	saha
පෞද්ගලික	paudgalika
පාසල්	pasal
ය	ya
</s>	</s>
කෙසේනමුත්	kesenauth
මෙම	mema
මතවාද	mathawada
සම්බන්ධයෙන්	sambhandayen
ඇති	athi
ගැටලු	getalu
මෙතෙක්	methek
විසඳී	visandee
නැත	netha
</s>	</s>
මෙහි	mehi
ප්‍රථිඵලයක්	prathipalayak
ලෙස	lesa
ලංකාව	lankawa
තුළත්	thulath
ඉන්	in
පිටතත්	pitatath
භූමි	bhoomi
චලන	chalana
ඇති	athi
වේ	we
</s>	</s>
මෙම	mema
පලාත්	palath
සභා	sabha
අතුරින්	athurin
උතුරු	uthuru
සහ	saha
නැගෙනහිර	neganahira
පළාත්	palath
සභාව	sabhawa
හැර	hera
අනෙකුත්	anekuth
පළාත්	palath
සභා	sabha
අඛණ්ඩව	akandawa
ක්‍රියාත්මක	kriyathmaka
විය	viya
</s>	</s>
මෙම	mema
ගංවතුර	ganwathura
මුළු	mulu
සෞරාෂ්ට්‍ර	saurastra
සින්ද්	sindh
හා	ha
දකුණු	dakunu
ගුජරාට	gujaraja
ප්‍රදේශවලට	pradeshawalata
බලපෑ	balape
අතර	athara
ඉන්දු	indu
හා	ha
සම්ලේර්හි	samlerhi
ඉහළ	ihala
කොටසට	kotasata
බලපෑවේය	balapeweya
</s>	</s>
IIවන	iiwana
අමෙන්හොටෙප්ගේ	amenhotepge
සො‍හොන්ගැබේ	sohongebe
සර්වදිශාදර්ශනය	sarwadishadarshanaya
</s>	</s>
දේවදත්ත	dewadaththa
තෙරුන්	therun
විසින්	wisin
ඇති	athi
කරන	karana
ලද	lada
සංඝ	sangha
භේදය	bedhaya
භික්ෂු	bhikshu
සමගිය	samagiya
දෙදරා	dedara
ගිය	giya
තවත්	thawath
අවස්ථාවකි	awasthawaki
</s>	</s>
බ්‍රිතාන්‍ය	brithanya
බලධාරින්ගේ	baladhareenge
මනාපය	manapaya
වූයේ	wooye
බ්‍රිතාන්‍ය	brithanya
අවශ්‍යතාවයන්ට	awashyathawayanta
වඩාත්	wadath
හිතවත්වූ	hithawathwu
හමුද්	hamud
බින්	bin
මොහාමඩ්	mohomed
සුල්තාන්වරයා	sulthanwaraya
ලෙසින්	lesin
පත්වීමය	pathweemaya
</s>	</s>
සිකුරු	sikuru
යනු	yanu
සෞරග්‍රහ	sauragraha
මණ්ඩලයේ	mandalaye
භෞමික	bhaumika
ග්‍රහලෝක	grahakoka
හතරෙන්	hatharen
එකක්	ekak
වන	wana
අතර	athara
එහි	ehi
තේරුම	theruma
වන්නේ	wanne
එය	eya
පාෂාණමය	pashanamaya
වස්තුවක්	wasthuwak
වන	wana
බවයි	bhawai
</s>	</s>
පුනරුද	punarudha
සමයේ	samaye
වර්ධනය	wardhanaya
</s>	</s>
පෘතුගීසින්	pruthugeeseen
විසින්	wisin
මහනුවර	mahanuwara
රජු	raju
සමග	samaga
සටන්	satan
වැදීමට	wedeemata
කැනේරියා	kaneriya
දුපත්	doopath
වල	wala
සොල්දාදුවන්	soldaduwan
ගෙන්වන	genwana
ලදි	ladi
</s>	</s>
ජාවා	java
දූපතෙක්	doopathek
සැවුල්-වලිග	savul-waliga
කුහර	kuhara
ලෝකඩ	lokada
පොරෝ	poro
හමුවේ	hamuwe
</s>	</s>
එනිසා	enisa
පළාත්	palath
සභාවලට	sabhawalata
බදු	badu
මුදල්	mudal
වලින්	walin
ලැබෙන	labena
ආදායම්	adayam
අල්පය	alpaya
</s>	</s>
එයට	eyata
හේතු	hethu
වූයේ	wuye
අධ්‍යාපනයට	adyapanayata
සුදුසු	sudusu
පරිසරයක්	parisarayak
එහි	ehi
නොතිබීමය	nothibeemaya
</s>	</s>
එක්සත්	eksath
ජනපද	janapada
මැරීන්	marine
බලකායේ	balakaye
නිල	nila
ඇඳුම්	andum
</s>	</s>
පුරාණ	purana
ලෝකයේ	lokaye
හමුවන	hamuwana
ගොඩනැඟිලි	godanegili
අතුරින්	athurin
ජේතවනාරාමයයි	jethawanaramaya
උස	usa
අතින්	athin
තෙවන	thewana
ස්ථානයේ	sthanaye
පසුවෙයි	pasuwei
</s>	</s>
ලතින්	lathin
ඇමෙරිකාවේ	amerikawe
ලාමා	lama
හා	ha
ඇල්පකා	elpakha
යන	yana
සතුන්	sathun
ද	da
රංචු	ranchu
ලෙස	lesa
සිටී	sitee
</s>	</s>
සිසුන්ගේ	sisunge
ඉගෙනුම්-ඉගැන්වීම්	igenum-iganweem
ක්‍රියාවලිය	kriyawaliya
අඩපණ	adapana
විය	wiya
හැකිය	hekiya
යනුවෙන්	yanuwen
පවත්නා	pawathna
වැරදි	weradi
අදහස්	adahas
තුරන්	thuran
කරලීමට	karaleemata
සිසුන්	sisun
ගුරුවරුන්	guruwarun
මෙන්ම	menma
දෙමව්පියන්	demawpiyan
ද	da
දැනුවත්	denuwath
කළ	kala
යුතුය	yuthuya
</s>	</s>
මෙම	mema
එක්	ek
එක්	ek
සමුළුවාර	samuluwara
අගදී	agadi
නිකුත්	nikuth
කරනු	karanu
ලැබූ	laboo
ප‍්‍රකාශන	prakashana
තුළින්	thulin
මෙන්ම	menma
අත්සන්	athsan
කරනු	karanu
ලැබූ	laboo
ගිවිසුම්	givisum
තුළින්ද	thulinda
පියවරෙන්	piyawaren
පියවරට	piyawarata
සාක්	saarc
සංවිධානය	sanvidayana
ලබා	laba
ඇති	athi
ප‍්‍රගතිය	pragathiya
වටහා	wataha
ගත	gatha
හැක	heka
</s>	</s>
මෙම	mema
ගමනේ	gamane
දී	di
රාජකීය	rajakeeya
සමාජිකයෝ	samajikayo
බොහෝ	boho
දෙනෙක්	denek
පැවදි	pavidi
වූ	woo
අතර	athara
බුදුරජාණන්	budurajanan
වහන්සේ‍ගේ	wahansege
ඥාති	gnati
සහෝදරයන්	sahodarayan
වන	wana
ආනන්ද	ananda
හා	ha
අනුරැද්ධ	anuruddha
ද	da
පැවිදි	pavidi
විය	viya
</s>	</s>
එහි	ehi
සඳහන්	sandahan
මාත්‍රාව	mathrawa
ඒ	e
අයුරින්	ayurin
ම	ma
දීමට	deemata
වගබලාගන්න	wagabalaganna
</s>	</s>
මෙහි	mehi
සිතුවම්	sithuwam
නිර්මාණය	nirmanaya
කොට	kota
තිබෙන්නේ	thibenne
ඛනිජ	khanija
වර්ණ	warna
උපයෝගී	upayogee
කොටගෙන	kotagena
ෆ්‍රෙස්කෝ-සිකෝ	presko-sico
ශිල්ප	shilpa
ක්‍රමය	kramaya
අනුව	anuwa
ය	ya
</s>	</s>
වඩාත්	wadath
නිශ්චිත	nischitha
චර්යාවන්	charyawan
2	2
වන	wana
ආවර්තය	awarthaya
තුලින්	thulin
හමුවෙයි	hamuwei
</s>	</s>
1864	1864
දී	di
සෝබෝන්හිදී	sobonhidi
පැවැත්වූ	pawathwu
දේශනයක	deshanayaka
දී	di
පාස්චර්	pascher
මෙසේ	mese
පැවසීය	pawaseeya
</s>	</s>
එහිදී	ehidi
අවකාශ	awakasha
නිරීක්ෂණයේ	nireekshanaye
තාක්ෂණ	thakashana
විධි	vidhi
යොදමින්	yodamin
ආවරණය	awaranaya
කෙරෙන	kerene
ප්‍රාදේශීයකරණයට	pradeshiyakaranayata
ද	da
අවධානය	awadhanaya
යොමු	yomu
කෙරේ	kere
</s>	</s>
අපර	apara
කර්ණාකාර	karnakara
ධමනිය	dhamaniya
යනු	yanu
බාහිර	bhahira
ශීර්ෂපෝෂී	sheershaposhi
ධමනියේ	dhamaniye
ඍජු	riju
ශාඛාවකි	shakawaki
</s>	</s>
අනෙක්	anek
කොටස	kotasa
විශාලත්වයෙන්	vishalathwayen
වැඩි	wedi
විය	wiya
යුතු	yuthu
වන	wana
අතර	athara
මනා	mana
ආලෝකය	alokaya
හා	ha
වාතාශ්‍රය	wathasraya
ලැබෙන	labena
පරිදි	paridi
සකසා	sakasa
ගත	gatha
යුතුය	yuthuya
</s>	</s>
පපන්ද්‍රොයෝ	papandroyo
විසින්	wisin
අතිවිශිෂ්ඨ	athivishista
ජයක්	jayak
අත්පත්	athpath
කරගත්	karagath
අතර	athara
ග්‍රීසියේ	greesiye
ඉතිහාසයෙහි	ithihasayehi
පළමු	palamu
සමාජවාදී	samajawadi
රජය	rajaya
පීඒඑස්ඕකේ	pasok
විසින්	wisin
පිහිටුවන	pihituwana
ලදි	ladee
1963දී	1963di
සෙන්ට්‍රිස්ට්	sentrist
වරුන්	warun
විසින්	wisin
අන්ද්‍රෙයාස්ගේ	andreyasge
පියාවූ	piyawu
ජෝර්ජියෝස්	jeorgiyos
පපන්ද්‍රෙයෝගේ	papandreyoge
නායකත්වය	nayakathwaya
යටතේ	yatathe
රජයක්	rajayak
පිහිටවූ	pihitawu
නමුත්	namuth
ඔවුන්ගේ	ownge
පක්ෂය	pakshaya
සෙන්ටර්	centre
යූනියන්	union
යනු	yanu
සමාජවාදී	samajawadi
පක්ෂයක්	pakshayak
නොව	nowa
මධ්‍යස්ථවාදී	madyasthawadi
සමාජ-ලිබරල්	samaja-libarel
පක්ෂයක්	pakshayak
විය	wiya
</s>	</s>
පනා	pana
හැංගීම	hangeema
</s>	</s>
ඉතිරිය	ithiriya
යකඩ	yakada
</s>	</s>
ලිපිඩ	lipida
යනු	yanu
මෙම	mema
ඝණ	ghana
හා	ha
ද්‍රව	drawa
මේද	medha
සදහා	sandaha
භාවිතාවන	bhawithawana
පොදු	podu
නමකි	namaki
</s>	</s>
හිපි	hipi
නායකයින්ගෙන්	nayakayingen
සැදුම්ලත්	sadumlath
මෙම	mema
උත්සවය	uthsavaya
පුරා	pura
සතියක්	sathiyak
පුරා	pura
පැවතිණ	pawathina
.	.
</s>	</s>
රට	rata
ස්ථානය	sthanaya
වර්ෂය	warshaya
මාසය	masaya
දිනය	dinaya
</s>	</s>
මෙවැනි	mewani
සතුන්ට	sathunta
කන්පෙති	kanpethi
මගින්	magin
ධ්වනි	dwani
ප්‍රභවයේ	prabhawaye
පිහිටීම	phiteema
හඳුනාගත	handunagatha
හැක	heka
</s>	</s>
වැව්	wew
තැනිම	thaneema
ගැන	gena
ප්‍රවීනත්වයක්	praveenathwayak
දැරූ	daroo
පුද්ගලයෙක්	pudgalayek
ගැන	gena
දඹුල්ලෙන්	dambullen
හමුවු	hamuwoo
ලිපියකින්	lipiyakin
අනාවරණය	anawaranaya
වේ	we
</s>	</s>
ඔහු	ohu
මහාබෝධී	mahabodhi
විහාර	vihara
භූමියේ	bhoomiye
අයිතිය	ayithiya
ඔහුගේ	ohuge
බව	bawa
කියා	kiya
සිටියේය	sitiyeya
</s>	</s>
ශිවා	shiva
රාජ්කුමාර්	rajkumar
කලහතීශ්වර	kalahatheeshwara
ලෙස	lesa
පසුබිම්	pasubim
නිරූපණය	nirupanaya
</s>	</s>
ඇමරිකානු	amerikanu
සමාජය	samajaya
හා	ha
අනෙකුත්	anekuth
සමාජ	sanmaja
සංස්කෘතීන්	sanskrutheen
තුළ	thula
දක්නට	daknata
නොහැකි	nohaki
වු	woo
විශේෂතා	wisheshatha
රැසක්	resak
හිපි	hipi
සංස්කෘතිය	sanskruthiya
තුළ	thula
දැකගත	dekagatha
හැකි	haki
විය	wiya
</s>	</s>
ක්‍රිස්තු	kristhu
වර්ෂ	warsha
622	622
DCXXII	dcxxii
යනු	yanu
ජූලියානු	juliyanu
දින	dina
දසුන	dasuna
ප්‍රකාර	prakara
සිකුරාදා	sikurada
දිනයකින්	dinayakin
ඇරඹෙන	arambena
සාමාන්‍ය	samanya
අවුරුද්දක්	awuruddak
බැඳිය	bendiya
විසින්	wisin
මුළු	mulu
දින	dina
දසුන	dasuna
දක්වනු	dakwanu
ඇත	atha
විය	wiya
</s>	</s>
ටුරාස්	turas
සහ	saha
ප්‍රශාන්ත්	prashanth
ඉන්ගොලේ	ingole
විසින්	wisin
සිදුකරන	sidukarana
ලදී	ladee
</s>	</s>
ප්‍රධාන	pradhana
කළමණාකරුවන්	kalamanakaruwan
හා	ha
නිෂ්පාදකයන්	nishpadakayan
කළමණාකාරිත්වයට	kalamanakarithwayata
අයත්	ayath
වේ	we
</s>	</s>
නේපාලයේ	nepalaye
පොදු	podu
භාෂාව	bhashawa
</s>	</s>
වෙසක්	wesak
පොහෝ	poho
දිනයෙන්	dinayen
එය	eya
අවසන්	awasan
වේ	we
</s>	</s>
වර්තමානයේ	warthamanaye
උවද	uwada
විවිධ	vivida
ශාන්ති	shanthi
කර්ම	karma
වල	wala
විවිධ	vivida
ශාන්තිකර්මවල	shanthikarmawala
දක්‌නට	daknata
ඇති	athi
නැටුම්	natum
එයට	eyata
කදිම	kadima
උදාහණයකි	udaharnayaki
</s>	</s>
සමහර	samahara
අපරාධ	aparada
විශේෂයෙන්ම	visheshayenma
වර්තමාන	warthmana
යාමක	yamaka
වරද	warada
තව	thawa
