තන්ත්‍රයන්ට	Thanthrayanta
සොහොයුරියට	sohoyuriyata
අපහාස	apahasa
වී	wee
ඇති	athi
වග	waga
පැවසුවාය.	paweasuwaya.
</s>	</s>
ඒ	E
පාකිස්ථානයට	pakisthanayata
එරෙහිව	erehiwa
සහ	saha
නවසීලන්තයට	nawaseelanthayata
එරෙහිවයි.	erehiwai.
</s>	</s>
එම	Ema
ප්‍රතිඵලය	prathipalaya
1987	1987
වර්ෂයේදී	warsdhayedi
ශ්‍රී	sri
ලංකාවේ	lankawe
පස්වන	paswana
ස්ථානය	sthanaya
ලබා	laba
දීමට	deemata
හේතු	hethu
විය.	wiya.
</s>	</s>
ආර්මේනියාව	Armaniyawa
බොහෝ	boho
ලෙසින්	lesin
ඔටෝමාන්	otoman
පාලනයට	palanayata
නතු	nathu
වූයේ	wooye
පහලොස්වන	pahaloswana
සහ	saha
දහසයවන	dahasayawana
සියවස්	siyawas
තුලදීය.	thuladeeya.
</s>	</s>
මෙම	Mema
භූගෝලීය	bhoogoleeya
ලක්ෂණ	lakshana
හැරුණු	harunu
කොට	kota
අඟහරුගේ	angaharuge
භ්‍රමණ	bramana
කාලය	kalaya
සහ	saha
දේශගුණික	deshahnika
සෘතු	irthu
රටාවද	ratawada
පෘථිවියට	pruthiviyata
සමානය.	samanaya.
</s>	</s>
නමුත්	Namuth
LTTE	LTTE
ත්‍රස්තවාදීන්ගේ	thrasthawadeenge
තර්ජන	tharjana
එල්ලවේ	ellawe
යැයි	yai
සිතා	sitha
එය	eya
අත්හැරි	athhari
බැව්	bew
පැවසේ.	pawase.
</s>	</s>
භික්ෂු	Bhikshu
ශාසනය	shashanaya
පිහිටුවීමෙන්	pihituweemen
වසර	wasara
5 කට	5kaga
පසු	pasu
භික්ෂුනී	bhikshunee
ශාසනය	shashanaya
ආරම්භවූ	arambha wu
අතර	athara
බුදුරජාණන්	budurajanan
වහන්සේ	wahanse
එයට	eyata
අනුමැතිය	anumathiya
ලබාදුන්නේ	labadunne
මාර්ගඵල	margapala
ලබාගැනීමට	labaganeemata
පුරැෂයාට	Purushayata
හා	ha
ස්ත්‍රියට	sthriyata
ඇති	athi
හැකියාව	hekiyawa
සමාන	samana
වුවත්	wuwath
අමතර	amathara
විනය	vinaya
නීති	neethi
පැනවීමෙනි,	paneweemeni,
භික්ෂුනී	bhikshuni
ශාසනයේ	shasanauye
ආරම්භය	arambhaya
සදහා	sandaha
මැදිහත්වූයේ	madihathwooye
ආනන්ද	ananda
තෙරණුවන්ය.	theranuwanya.
</s>	</s>
සබරගමු	Sabaragamu
නැටුම	natuma
සඳහා	sandhaya
යොදාගන්නා	yodaganna
බෙරයයි.	berayai.
මෙය	Meya
සබරගමුවට	sabaragamuwata
ආවේණික	awenika
වූ	wu
වාදය	wadaya
භාණ්ඩයකි.	bhandayaki.
</s>	</s>
පෝක්	Pork
සමුද්‍ර	samudra
සන්දිය	sandhiya
හරහා	haraha
පෘතුගිසින්ගේ	pruthugeeseenge
නැව්	new
ගමනා	gamana
ගමනයට	gamanayata
එය	eya
තර්ජනයක්	tharjanayak
විය.	wiya.
</s>	</s>
අමෙන්හොටෙප්ගේ	Amenhotepge
පණිවිඩයෙන්	paniwidayen
විස්මයට	wishmayata
(හෝ	(ho
භීතියට)	bheethiyata)
පත්	path
උසර්සැටෙට්	Usarsatew
එහි	ehi
පිටපතක්	pitapathak
"වරක්	"warak
[නුබියාවේ]	[nubiyawe]
දෙවන	dewana
ඇල්ල	alla
අසල	asala
[පිහිටා]	[pihita]
තිබූ,	thibu,
වර්තමානයේ	warthamanaye
බොස්ටන්හි	bostanhi
ඇති	athi
ශිලා	shila
ස්තම්භයේ	sthmbhaye
එය	eya
කැටයම්	ketayam
කරවී	karawee
ය."	ya.''
</s>	</s>
*සංවර්ධිත	*Sandwarditha
පද්ධතියේ	paddathiye
අවසාන	awasana
ප්‍රතිඵලය	prathipalaya
දැක	deka
ගැනීමට	ganeemata
හැකි	heki
වන්නේ	wanne
අවසාන	awasana
අදියරේ	adiyare
දී	dee
ය.	ya.
</s>	</s>
සිය	Siya
සොයුරිය	soyuriya
ආලියාගෙන්	aliyagen
රැක	reka
ගැනීමට	ganeemata
බුල්බුල්	bulbul
ඇගේ	age
දිවිය	diviya
අනතුරේ	anathure
හෙළන	helana
අතර,	athara,
ඇය	aya
මරණයට	maranayata
පත්වේ.	pathwe.
</s>	</s>
පාසැල	Pasala
තුලදී	thuladi
වංශවතුන්ට	wanshawathunta
වැඩි	wedi
සැලකිලි	selakili
හා	ha
පීඩිත	peeditha
ජනයාට	janayata
දක්වන	dakwana
අඩු	adu
සැලකිලි	selakili
පිළිබද	pilibanda
ප්‍රශ්න	prashna
කළේ	kale
ය.	ya.
</s>	</s>
ඒ	E
අනුව	anuwa
මිණිය	miniya
හැකි	heki
ප්‍රමාණවල	pramanawala
නව	nawa
මූලද්‍රව්‍ය	mooladrawya
වෙන්	wen
කර	kara
ගැනීමට	ganeemata
හැකි	heki
විය.	wiya.
</s>	</s>
අවසානයේදී	Awasanayedi
වායූන්	wayun
නොසලයක්(nozzle)	nosalayak(nozzle)
හරහා	haraha
යවා	yawa
එම	ema
උණුසුම්	unusum
පිටාර	pitara
වායූන්	wayun
ප්‍රසාරණය	prasaranaya
කර	kara
වායුගෝලීය	wayugoleeya
පීඩනයට	peedanayata
නැවත	newatha
පත්කිරීම	pathkireema
මඟින්	magin
ත්වරණය	thwaranaya
කර	kara
එමඟින්	emagin
අමතර	amathara
තෙරපුමක්	therapumak
ඇති	athi
කෙරේ.	kere.
</s>	</s>
මෙම	Mema
දිවයිනෙහිදී,	diviyinehidi,
කුමාරයා	kumaraya
විසින්	wisin
අමුතු	amuthu
සතෙකු	satheku
දුටු	dutu
අතර,	athara,
මෙම	mema
සතා	satha
සිංහයෙකු	sinhayeku
බවට	bawata
ඔහුට	ohuta
පවසා	pawasa
ඇත.	atha.
</s>	</s>
එසේම	Esema
විනෝද	vinoda
ස්ථානයක්	sthanayak
ලෙස	lesa
නැවත	newatha
නවීකරණය	naweekaranaya
කල	kala
වෝල්ඩන්	wolden
හි	hi
පැරණි	perani
දුම්රිය	dumriya
පොළද	poilada
මෙම	mema
උද්‍යානයේ	udyanaye
පිහිටා	pihita
ඇත.	atha.
</s>	</s>
එය	Eya
ඉතා	itha
අලංකාර	alankara
දර්ශනයකි.	darshanayaki.
</s>	</s>
හෙතෙම	Hethema
පාසැල්	pasal
ලමුන්ගේ	lamunge
අධ්‍යාත්මිකබව	adyathmikabawa
වැඩිදියුණු	wedidiyunu
කිරීමට	kireemata
භාවනා	bhawana
වැඩසටහන්	wedasatahan
ආරම්භ	aramba
කලේය.	kaleya.
</s>	</s>
ගමේ	Game
පුජනිය	poojaneeya
ස්ථානයෙන්	sthanayen
ආරම්භ	arambha
වූ	woo
මෙය	meya
අද	ada
වන	wana
විට	wita
නගරයේ	nagaraye
වේදිකාව	wedikawa
දක්වා	dakwa
විහිදී	wihidee
ඇත.	atha.
</s>	</s>
මුනිදාස	Munidasa
කුමාරතුංග	Kumaratunga
(1887-1944)	(1887-1944)
වූ	wu
කලී	kali
ශ්‍රී	Sri
ලංකාවේ	Lankawe
විසූ	wisu
ප්‍රකට	prakata
වාග්	wag
විශේෂඥයකු	wishesagnayaku
අර්ථ	artha
කතාකරුවකු,	kathakaruwaku,
කවියකු	kaviyaku
සහ	saha
පත්‍ර	pathra
කලා	kala
වේදියකු	wediyaku
ද	da
වේ.	we.
</s>	</s>
1.	1.
වර්තමානයේ	Wartnamanaye
දක්නට	daknata
ලැබෙන	labena
දියබල්ලන්	diyabellan
මෙන්	men
මාංශපේශි	manshapeshi
සහිත	sahitha
පැතලි	pathlai
වල්ගයක්.	walgayak.
</s>	</s>
ඒ	E
‍ඩොල්ෆින්	dolfin
මත්ස්‍යයාය.	mathsayaya.
</s>	</s>
යෝග්‍ය	Yogya
හා	ha
ක්‍රමානුකූල	kramanukoola
අධ්‍යාපනයක්	adyapanayak
ලබා	laba
දීමට	deemata
නව	nawa
අධ්‍යාපන	adyapana
ක්‍රම	krama
හඳුන්වාදීම.	handunwadeema.
</s>	</s>
එහි	Ehi
විද්‍යාඥ‍යෝ	vidyagnayo
සිප්පි	sippli
මාලිමාවක්	malimawak
භාවිතයෙන්	bhawithayen
ක්ෂිතිජය	kshithijaya
හා	ha
අහස	ahaasa
8-12	8-12
කොටස්	kotas
ගණනකට	gananakata
බෙදීමට	bedeemata
සමත්	samath
වුහ.	wuha.
</s>	</s>
පොමරේනියන්	Pomanerian
කියන්නේ	kiyanne
බොහොම	bohoma
කඩිසර	kadisara
සුනඛ	sunakha
වර්ගයක්.	wargayak.
</s>	</s>
ඒ	E
අනුව	anuwa
1987	1987
ජනවාරි	Janawari
16	16
දින	dina
නේපාලයේ	nepalaye
කත්මන්ඩු	kathmandu
නුවරදී	nuwaradi
සාක්	saarc
මහාලේකම්	mahalekam
කාර්යාලය	karyalaya
ඇති	athi
කරනු	karanu
ලැබුණි.	labuni.
</s>	</s>
ඉස්ලාමීය	Islameeya
අධිරාජ්‍යයේ	adirajyaye
ස්වර්ණමය	swarnamaya
යුගය	yugaya
ලෙස	lesa
සැලකුණ	salakuna
අවධියේ	awadiye
සාමාන්‍ය	samanya
නීති	neethi
රීතිවලට	reetinwalata
විශාල	wishala
බලපෑමක්	balapemak
ඇති	athi
කළ	kala
අතර	athara
එයින්	eyin
රාජ්‍ය	rajya
නීති	neethi
රීතිවල	reethiwala
සැබෑ	saba
වෙනසක්	wenasak
හා	ha
වර්ධනයක්	wardhanayak
ඇති	athi
වීමට	weemata
රුකුලක්	rukulak
විය.	wiya.
</s>	</s>
මෙම	Mema
කෘතිය	kruthiya
ප්‍රධාන	pradhana
වශයෙන්	washayen
කොටස්	kotas
තුනකට	thunakata
බෙදේ	bede.
මුල්	Mul
කොටස්	kotas
තුනෙන්	thunen
උඩරට	udarata
රාජධානියේ	rajadaniye
විස්තරද	wistharada
හතරවන	hathrawana
කොටසෙන්	kotasen
ඔහු	ohuy
සිරභාරයෙන්	sirabharayen
මිදී	midee
පලායාමද	palayamada
විස්තර	wisthara
කරයි..	karai.
</s>	</s>
වඩාත්	Wadath
මූලික	moolika
ක්‍රමය	kramaya
වන්නේ	wanne
නගුල්	nagul
ගෑම	gema
වන	wana
අතර	athara
එහි	ehi
දී	dee
වාර්ෂික	warshika
වල්	wal
පැළවල	pelawala
මුල්	mul
කපා	kapa
දමනු	damanu
ලැබේ.	labe.
</s>	</s>
එය	Eya
ජාතියක	jathiyaka
සේවාවන්	sewawan
සඳහා	sandaha
දුලබ	dulaba
නොවන	nowana
අතර	athara
භූමි	bhoomi
බල	bala
අණ	ana
දෙන	dena
ඒකකය,	ekakaya,
ගුවන්	guwan
අණ	ana
දෙන	dena
ඒකකය,	ekakaya,
නාවික	nawika
අණ	ana
දෙන	dena
ඒකකය	ekakaya
ආදිය	adiya
සඳහා	sandaha
කැනේඩියානු	canediyanu
බලකායන්ගේ	balakayange
භාවිතා	bhawitha
වේ.	we.
</s>	</s>
රාජධානිය	Rajadaniya
සමාධාන	samadhana
කරවීමේ	karaweeme
දී,	di,
වර්තමාන	warthamana
අලහබාද්	alahabad
(උත්තර්	(Utthara
ප්‍රදේශ්)	pradesh)
සිට	sita
පෙංගාල	pengala
දේශසීමා	deshaseema
දක්වා	dakwa
ඔහුට	ohuta
යුධ	yuda
ව්‍යාපාර	vyapara
මාලාවක්	malawak
අනුගමනය	anugamana
කරන්නට	karannata
සිදු	sidu
වන්නට	wannata
ඇත.	atha.
</s>	</s>
1894	1894
දී	di
අයිරිෂ්	Irish
ජාතික	jathika
භෞතික	bhauthika
විද්‍යාඥයෙකු	vidyagnayeku
වූ	wu
ජෝජ්	George
ජොන්ස්ටන්	Johnston
ස්ටෝනි	Stoni
විසිනි.	wisini.
</s>	</s>
සෙරටොප්සිඩාවන්	Seratopsidawan
යනු	yanu
ශාඛ	shaka
භක්ෂක	bhakshaka
කුලයක්.	kulayak.
</s>	</s>
මරු	Maru
සන්නිය,	sanniya,
අමුක්කු	amukku
සන්නිය,	sanniya,
කණ	kana
සන්නිය,	sanniya,
ගොළු	golu
සන්නිය	sanniya
සභාවට	sabhawata
පැමිණේ.	pamine.
</s>	</s>
ජාවා	Jawa
වල	wala
මහා	maha
ජකර්තා,	jakartha,
බටහිර	batahira
ජාවා	jawa
ගම්මානවල	gammanawala
ඇති	athi
ඔර්චාර්ඩ්	orchard
සහ	saha
පෙකරගන්	pekeragan
යන	yana
වතු	wathu
කොලනි	kolkani
සමයේදී	samayedi
පවා	pawa
රම්බුටන්	rambutan
නිෂ්පාදනය	nishpadanaya
කල	kalka
බවත්,එහි	bawath,ehi
වෙළද	welanda
කේන්ද්‍ර	kendra
ලෙස	lesa
පසර්	passar
මින්ග්ගු,දකුණු	minggu,dakunu
ජකර්තාව	jakarthawa
යොදාගත්	yodagath
බවත්	bawath
සඳහන්	sandahan
වෙයි.	wei.
</s>	</s>
මෙම	Mema
ඡයාරෑප	chayaroopa
විශාල	wishala
කාච	kacha
පටු	patu
පරාසයක්	parasayak
ඇති	athi
ටෙලිෆෝටෝ	telephoto
කාච	kacha
නොවේ.	nowe.
</s>	</s>
කින්නර	Kinnara
</s>	</s>
යුරෝපීය	Europeeya
යටත්	yatath
විජිත	wijitha
වාදීන්	wadeen
පැමිණීමට	pamineemata
පෙර	pera
සංග්ර හ	sangraha
කොට	kota
සකස්	sakas
කරන	karana
ලද	lada
අනෙකුත්	anekuth
ඓතිහාසික	aithiyasika
වැදගත්කමක්	wedagathkamak
ඇති	athi
ශාස්ත්රී ය	Shasthrya
කෘතීන්	krutheen
අතරින්	atharin
වෛයපුරි	waipur
අයියර්	aiyer
විසින්	wisin
ලියන	liyana
ලද	lada
“වයියපවල්”	"waiyapawal"
නම්	nam
කෘතිය	kruthiyua
ඉතා	itha
ප්රෘසිද්ධ	prasiddha
එකකි.	ekaki.
</s>	</s>
මුහුදේ	Muhude
සාමාන්‍ය	samanya
මායිම,	mayima,
උතුරු	uthuru
දෙසින්	desin
තලූද්	thalud
දිවයින්	divayina
වන	wana
නමුදු,	namudu,
මුහුදෙහි	muhudehi
නම	nama
අනුව	anuwa
යමින්	yamin
නම්	nam
කර	kara
ඇති	athi
භූ-චලන	bhoo-chalana
තැටිය	thatiya
වන	wana
මලුක්කු	malukku
මුහුදු	muhudu
තැටිය,	thatiya,
තවදුරටත්	thawaduratath
උතුරු	uthuru
දෙසට	desata
විහිදෙයි.	wihidei.
</s>	</s>
මොවුන්	Mowun
වැඩි	wedi
වශයෙන්	washayen
සුරතලුන්	surathalun
ලෙස	lesa
පමණක්	pamanak
ම	ma
ඇතිකරනු	athikaranu
ලබනවා.	labanawa.
</s>	</s>
එනම්	Enam
මොනිටරය,	monitoraya,
යතුරු	yathuru
පුවරුව,	puwaruwa,
මවුසය,	mousaya,
මධ්‍යම	madyama
දත්ත	daththta
සැකසුම්	sekasum
ඒකකය	ekakaya
ලෙසය.	lesaya.
</s>	</s>
ජනලයක්	Journalayak
පවත්වාගෙන	pawathwagena
යනු	yanu
ලබන	labana
ගොනු	gonu
පද්ධතියක්	paddathiyak
ලිවිය	liviya
යුතු	yuthu
දත්ත	daththa
පිළිබඳ	pilibanda
විස්තර	wisthara
හා	ha
එක්	ek
එක්	ek
දත්ත	daththa
ලියවිය	liyawiya
යුතු	yutu
ස්ථානය	sthanaya
පිළබඳ	pilibanda
තොරතුරු	thorathuru
ගබඩා	gabada
කොට	kota
තබා	thaba
ගනී	gani
.	.
</s>	</s>
ඔවුන්ගෙ	Owunge
ඉදිරි	idiri
පැවැත්මක්	pawathmak
නෑ.	ne.
</s>	</s>
සරණ	Sarana
වැඳලා	wendala
කියමි	kiyami
යක්කම	yakkama
</s>	</s>
බොහෝ	Boho
ශාකවල	shakawala
සාර්ථක	sarthaka
වර්ධනය	wardanaya
සඳහා	sandaha
ඒවාට	ewata
වායුගෝලීය	wayugoleeya
ඔක්සිජන්	oxygen
ශ්වසනය	swasanaya
සඳහා	sandaha
මූල	moola
පද්ධතිය	paddathiya
වටා	wata
ඔනක්සිජන්	oxygen
ද	da
අවශ්‍ය	awashya
වේ.	we.
</s>	</s>
කැතරින්	Katharin
පෙරේරා	Perera
</s>	</s>
කුප්පායම්	Kuppayam
ගෙවල්	gewal
එහි	ehi
පදිංචිකාරයින්ට	padinchikarayanta
මනාප	manapa
අන්දමට	andamata
ඉදිකරගත	idikaragatha
නොහැකිය.	nohakiya.
</s>	</s>
රජරට	Rajarata
සුවිශාල	suwishala
ජලාශ	jalasha
සමුහයේ	samoohaye
හා	ha
ඇළ	ala
මාර්ගවල	margawala
අන්තර්.(ආර්ථීක	anthar.(arthika
විමසුම	wimasuma
1990)	1990)
මෙම	mema
කුඩා	kuda
ගම්	gam
වැව්	wew
ද	da
ඉතා	itha
විශාල	wishala
ප්‍රමාණයක්	pramanayak
ඉදිකර	idikara
ඇත.	atha.
</s>	</s>
කලාඳුරු	Kalanduru
(පැලෑටිය)	(pelatiya)
</s>	</s>
ලෝතාල්	Lothal
ඉංජිනේරුවෝ	engineruwo
ගඩොල්	gadol
වලින්	walin
තැනු	thanu
‍ගොඩනැගිල්ලකට	godanegillakata
උදම්	udam
රළෙහි	ralehi
චලනයන්	chalanayak
බලපාන	balapana
ආකාරය	akaraya
පිළිබඳව	pilibandawa
ඔවුන්	owun
අධ්‍යනය	adyanaya
කර	kara
ඇති	athi
බව	bawa
ඔප්පු	oppu
වන්නේ	wanne
වරායේ	waraye
බිත්ති	biththi
පුළුස්සන	puliussana
ලද	lada
ගඩොල්	gadol
වලින්	walin
තනා	thana
ඇති	athi
බැවිනි.	bawini.
</s>	</s>
ලී	Lee
කෙළි	keli
ක්‍රීඩාව	kreedawa
</s>	</s>
වසර	Wasara
අවසන්වීමට	awasanweemata
තව	thawa
දින	dina
69ක්	69k
ඇත.	atha.
</s>	</s>
රිච්මන්ඩ්	Richmond
පාලම	palama
යනු,	yanu,
එංගලන්තයේ	engalanthaye
නිරිත	niritha
දිග	diga
ලන්ඩනයේ	londonaye
රිච්මන්ඩ්	richmond
නගරයේ	nagaraye
තේම්ස්	themes
නදිය	nadiya
හරහා	haraha
එහි	ehi
දෙකෙලවර	dekelawara
යා	ya
කරමින්	karamin
18	18
වන	wana
ශත	shatha
වර්ෂයේදී	warshayedi
ජේම්ස්	james
පේන්	jane
සහ	saha
කෙන්ටන්	kentani
කෞස්	Kaus
විසින්	wishin
ගොඩ	goda
නගන	nagana
ලද	lada
ගල්	gal
ආරුක්කු	arukku
පාලමකි.	palamaki.
</s>	</s>
පාසැල්	Pasal
51	51
කින්	kin
සමන්විත	samanwitha
වන	wana
පොල්පිතිගම	polpitigama
අධ්‍යාපන	adyapana
කොට්ඨාශයෙහි	kottashayehi
සමස්ත	samastha
රජයේ	rajaye
පාසැල්	pasal
ලැයිස්තුව	layisthuwa
සඳහා	sandaha
මෙය	meya
බලන්න	balanna.
</s>	</s>
මෙම	Mema
අරමුණ	aramuna
සාමාන්‍ය	samanya
තත්ව	thathwa
යටතේ	yatathe
දී	di
අපද්‍රව්‍ය	apadrawya
බහාලුම්වලින්	bahalumwalin
හා	ha
අනතුරු	anathuru
තත්ව	thathwa
යටතේ	yatathe
දී	di
ජව	jawa
ප්‍රතික්‍රියාකාරක	prathikiriyakaraka
තුළ	thula
විඛණ්ඩන	vikandana
ඵලවල	palawala
නිකුත්	nikuth
වීමේ	weeme
හා	ha
සංරචණ	sanrachana
සීඝ්‍රතා	seegratha
පාලනය	palanaya
කිරීමයි.	kireemai.
</s>	</s>
රට	Rata
විසින්	wisin
ටෙස්ට්	test
තත්ත්වය	thathwaya
හිමි	himi
කර	kara
ගැනුමට	ganumata
පෙර,	pera,
අපෝන්සු	aponsu
විසින්	wisin
එක්	ek
වරක්	warak
ශ්‍රී	sri
ලංකාව	lankawa
නියෝජනය	niyojayana
කර	kara
ඇති	Athi
අතර,	athara,
ඒ	e
අවස්ථාවේදී	awasthawedi
කමිල්	thamil
නාඩුවට	naduwata
එරෙහිව	erehiwa
ගෝපාලන්	gopalan
කුසලාන	kusalana
සඳහා	sandaha
1974–75	1974-75
දී,	di,
ක්‍රීඩා	kreeda
කර	kara
ඇත.	atha.
</s>	</s>
අව්ව	Awwa
වැළකීම	welakeema
සඳහා	sandaha
භාවිතා	bhawitha
කරන	karana
උපකරණ	upakarana
</s>	</s>
රුධිරයේ	Rudiraye
ප්‍රධාන	pradhana
වශයෙන්	washayen
ප්‍රොජෙස්ටෙරෝන්	projestoron
සහ	saha
ඊස්ට්‍රජන්	eestrajan
මට්ටම	mattama
ක්ෂණිකව	kshanikawa
අඩු	adu
වීම	weema
හේතු	hethu
කොට	kota
ගෙන	gena
එන්ඩොමෙට්‍රියමේ	endrometriyame
රුධිර	rudira
වාහිනී	wahini
සන්කුන්චනය	sankunchanaya
වේ.	we.
</s>	</s>
ඔහු	Ohu
කෝට්ටේ	kott
යටත්	yatath
කරගෙන	karagena
සීතාවක	seethawaka
රාජ්‍යය	rajyaya
කොල්ල	kolla
කෑවේය.	keweya.
</s>	</s>
වොලිබෝල්	Volleyball
යනු	yanu
දැලකින්	delakin
දෙපස	depasa
සිටින	sitina
ක්‍රීඩකයන්	kreedakayan
හය	haya
දෙනෙකුගෙන්	denekugen
සමන්විත	samawitha
කණ්ඩායම්	kandayam
දෙකක්	dekak
අතර	athara
පැවැත්වෙන	pawathwena
කණ්ඩායම්	kandayam
ක්‍රීඩා	kreeda
තරගයකි.	tharagayaki.
</s>	</s>
මෙම	Mema
සුවිශේෂී	suwishesi
අංගයන්	angayan
සංස්කෘතික	sanskruthika
විවිධත්වය	vividathwaya
තුළින්	thulin
මතු	mathu
වුවක්	woowak
විය.	wiya.
</s>	</s>
යුද්ධය	Yuddaya
යුගෝස්ලාවියාව	yuoslawiyawa
බිඳවැටීමේ	bindawateeme
අතුරු	athuru
ප්‍රතිඵලයක්	prathipalayak
ද	da
විය.	wiya.
</s>	</s>
එසේම	Esema
රාවණගේ	rawanage
මුත්තා	muththa
පුලස්ති,	pulasthi,
තුන්	thun
වේදයේම	wedayema
සමර්ථ	samartha
ව	wa
සිටි	siti
බව	bawa
කියවේ.	kiyawe.
</s>	</s>
මෙහි	Mehi
සිසුන්	sisun
4000	4000
කට	kata
වැඩි	wedi
පිරිසක්	pirisak
ඉගෙනුම	igenuma
ලබයි	labai
</s>	</s>
බොහෝ	Boho
අපරාධ	aparadha
නීති	neethi
සංග්‍රහයන්	sangrahayan
සිරුරේ	sirure
භෞතික	bhauthika
සම්පූර්ණත්වය	samppornathwaya
ආරක්ෂා	araksha
කරනු	karanu
ලබයි.	labai.
</s>	</s>
මේ	Me
අතර	athara
රජවාසළ	rajawasala
කරණවෑමියා	karanawemiya
මෙය	meya
දැනගෙන	denagena
රජුට	rajuta
දන්වයි.	danwai.
</s>	</s>
ස්ඵටිකවල	Sphatikawa
අසමමිතික	asamamithika
බව	bawa
සොයා	soya
ගැනීම	ganeema
ඉන්	in
එකකි.	ekaki.
</s>	</s>
දියවන්නා	Diyawanna
ඔය	oya
හරස්	haras
කොට	kota
මීටර	metre
485ක	485ka
පමණ	pamana
දිගිකින්	digakin
යුතු	yuthu
බැම්මක්	bemmak
ඉදිකිරීම	idikireema
මගින්	magin
වැව	wewa
නිර්මාණය	nirmanaya
කොට	kota
තිබේ.	thibe.
</s>	</s>
මේ	Me
තත්ත්වය	thathwaya
තුළ	thula
එල්ටීටීඊ	LTTE
ය	ya
කල්පනා	kalpana
කලේ	kale
යුද්ධය	yuddaya
දිග්ගැස්සෙන	diggaseena
විට	wita
එයින්	eyin
ඇතිවන	athiwana
මානව	manawa
අයිති වාසිකම්	atyithiwaskikam
කඩවීම්	kadaweem
හා	ha
මානුෂවාදී	manushawadi
අර්බුද	arbuda
හේතුවෙන්	hethuwen
ආණ්ඩුව	anduwa
ජාත්‍යන්‍තර	jathyanthra
වශයෙන්	washayen
හුදකලා	hudakala
විය	wiya
හැකි	haki
බවත්	bsawath
යුද්ධයේ	Yuddaye
ආර්ථික	arthika
පිරිවැය	piriwaya
වැඩිවීමත්	wediweemath
සමඟ	samaga
ප‍්‍රචණ්ඩ	prahanda
කි‍්‍රයා	kriya
පැතිරෙන	pathirena
විට	wita
ආර්ථිකයට	arthikayata
හානි	hani
පැමිණ	pamina
ආණ්ඩුවේ	anduwed
මහජන	mahajana
සහයෝගීතා	sahayogitha
පදනම	padanama
අඩු	adu
වී	wee
යුද්ධය	yuddaa
ආර්ථික	arthika
වශයෙන්	washayen
නඩත්තු	nadaththu
කිරීමට	kireemata
ආණ්ඩුවට	anduwata
නොහැකි	nohaki
වන	wana
බවයි.	bawai.
</s>	</s>
වැවේ	Wewe
මඩ ඉන්	mada
ඉවත්	iwath
කිරිමට	kireemata
බැම්මේ	bamme
පතුලින්ම	pathulinma
පිහිටි	pihiti
මඩ	mada
සොරොව්ව	sorowwa
නමින්	namin
හැදින්වෙන	handinwena
සොරොව්වක්ද	sorowwak da
දක්නට	daknata
ලැබේ.	labe.
</s>	</s>
මිනිසුන්	Minisun
විසින්	wisin
විවිධ	wiwida
වර්ගවල	waragawala
ක්ෂීරපායීන්ගෙන්	ksheerapayingen
බහුතරයක්	bahutharayak
වාසභූමිය	wasabhoomiya
නියොලිටික්	niyolitic
විප්ලවය	wiplaawaya
තුළ	thula
ප්රධාන	pradhana
කාර්යභාරයක්	karyabharayak
ඉටු	itu
කර	kara
ඇති	athi
අතර,	athara,
මිනිසුන්ට	minisunta
ආහාර	ahara
සැපයීම	sepayeema
සඳහා	sandhaha
දඩයම්	dadayam
කිරීම	kireema
සහ	saha
එකතු	ekathu
කිරීම	kireema
වෙනුවට	wenuwata
ගොවිතැන	govithana
ප්රතිවර්තනය	prathiwarthanaya
විය.	wiya.
</s>	</s>
එහිදී	Ehidi
පෘතුග්‍රීසීන්	pruthugeesin
හා	ha
ලන්දේසි	landesi
නාවික	nawika
හමුදා	hamuda
අතර	athara
සිදුවූ	siduwu
සටන්	satan
ඇසින්	asin
දුටුවහ.	dutuwaha.
</s>	</s>
1896	1896
දි	di
අනුරාධපුර	anuradhapura
විජයාරාමය	vijayaramaya
කැනිමේදී	kaneemedi
සොයාගත්	soyagath
දේවරූප	dewaroopa
එච්.	h.
</s>	</s>
මෙය	Meya
නිසා	nisa
උදාසීන	udaseena
කම්බියේ	kambiye
හරස්කඩ	haraskada
ප්‍රමාණය	pramanaya
අඩුකිරීමට	adukireemata
හැකි	heki
වෙයි;	wei;
සංතුලිත	santhulitha
භාරයකදී	bharayakadi
සියළු	siyalu
කලා	kala
අග්‍ර	agra
සන්නායක	sannayaka
විසින්	wisin
එකම	ekama
ධාරාව	dharawa
රැගෙන	regena
යන	yana
බැවින්,	bawin,
එම	ema
සන්නායකයන්හී	sannayakayanhi
හරස්කඩ	haraskada
ප්‍රමාණය	pramanaya
එකම	ekama
විය	wiya
හැක.	heka.
</s>	</s>
1968	1968
මිඩ්ල්	middle
සෙක්ස්	sex
()	()
පාසලින්	pasalin
උපාධිය	upadiya
ලබා	laba
ගත්	gath
අතර	athara
ඔහුව	ohuwa
නාට්‍ය	natya
සංගමයේ	sangamaye
සභාපති	sabhapathi
තනතුරට	thanathurata
පත්විය.	pathwiya.
</s>	</s>
පෘථිවි	Pruthivi
ශිලා	shila
තැනී	thanee
ඇත්තේ	aththe
ගෝලීය	goleeya
භූ	bhoo
තැටි	thati
කිහිපයකිනි.	kihipayakini.
</s>	</s>
නමුත්	Namuth
මෙම	mema
ප්‍රකාශය	prakashaya
ස්ථිර	sthira
වී	wee
නොමැත.	nomatha.
</s>	</s>
හ්වේඔම්සාහි	Hweomsahi
