තන්ත්‍රයන්ට අනුව මහා තත්ත්වය (පරබ්‍රහ්මන්) ද්විත්වයන් මත රඳා පවතී.	Thanthrayanta anuwa maha thathwaya (parabrahman) dwithwayan matha randa pawathee.
ප්‍රවාහන කටයුතු සඳහා පොදු වාහන භාවිතා විය.	Pravahana katayuthu sandaha podu wahana bhawitha wiya.
1557දී, රුඛයියා ඉන්දියාව වෙත පැමිණ පන්ජාබයේ දී අක්බර් හා එක් විය.	1557di, Rubaiya indiyawa wetha pamina panjabaye di akbar ha ek wiya.
මේ දෙආකාරයේම සමාන ලක්ෂණ දක්නට ඇත.	Me deakarayema samana lakshana daknata atha.
[7] මව්කිරි වෙනස්කම් සංයුතිය, එක් එක් සැසිවාරය දී මෙන්ම, ළමයාගේ වයස මත කොපමණ කාලයක් දරුවා හෙදියන් මත පදනම්ව නිසා.	[7] Maukiri wenaskam sanyuthiya, ek ek sesiwaraya dee menma, lamayage wayasa matha kopamana kalayak daruwa hediyan matha padanamwa nisa.
මහාබෝධි විහාරයේ භාරකාරත්වය හා කළමනාකාරිත්වය පිළිබඳ හින්දු හා බෞද්ධාගමිකයන් අතර කීපවරක්ම මතභේද හට ගැනිනි.	Mahabodhi viharaye bharakarathwaya ha kalamanakarithwaya pilibanda hindu ha bauddhagamikayan athara keepawarakma mathabedha hata genini.
විෂය සමගාමී කටයුතුවල නිරත වීම නිසා	Vishaya samagamee katayuthuwala niratha weema nisa
අලුත් මෝටර් බයිසිකලයක නැඟී සිය පෙම්වතිය සමඟ ගමන් බිමන් යාම ඔහුගේ එකම සිහිනයයි.	Aluth motor bicycleyaka negee siya pemwathiya samaga gaman biman yama ohuge ekama sihinayai.
පහතරට ප්‍රදේශයේ පවත්වන තොවිල් වර්ග හතරෙන් එකක් වන සන්නි යකුම, දහඅට සන්නිය වශයෙන් ප්‍රසිද්ධය.	Pahatharata pradeshaye pawathwan thowil warga hatharen ekak wana sanni yakuma, dahaata sanniya washayen prasiddaya
රත්තනපුර දිස්ත්‍රික්කයේ පිහිටා ඇත.	Ratnapura distrikkaye pihita atha.
ලෝභ, ද්වේශ, මෝහ යන අකුසල මූලයන් කරණ කොටගෙන සිත කිළිටි වේ.	Loha, dwesha, moha yana akusala moolayan karana kotagena sitha kiliti we.
මිහින්තලා භූමියේ කණ්ඨක චෛත්‍යයට වම් පසින් වූ ස්තූපයක මෙසේ සිතුවම් හමු වී ඇත.	Mihinthala bhoomiye Kantaka chaithyata wam pasin wu sthupayaka mese sithuwam hamu wee atha.
මෙම ආයතනය ආකන්සාස් හි දේශපාලනික සහ ආර්ථික පැතිකඩ වලට විශාල බලපෑමක් කිරීමට සමත් ආයතනයක් විය.	Mema ayathanaya akansas hi deshapalanika saha arthika pathikada walata wishala balapemak kireemata samath ayathanayak wiya.
කෙසේ නමුත් සන්තතික බව යන උපකල්පනය අනුව තරල විවික්ත ස්වභාවයට වඩා සන්තත ස්වරූපයක් ගනි.	Kese namuth santhathika bhawa yana upakalpanaya anuwa tharala viviktha swabhawayata wada santhatha swarupayak gani.
පසුගිය දශක දෙකක කාලය තුලදී තාරකා විද්‍යාවේ සිදු දියුණුව හේතුකොට ගෙන අපට X කිරණ,අධෝරක්ත කිරණ සහ රේඩියෝ කිරණ ආධාරයෙන් මෙම අද්භූත ප්‍රදේශ නිරීක්ෂණය කිරීමට හැකියාව ලැබී ඇත.	Pasugiya dashaka dekaka kalaya thuladee tharaka vidyawe sidu woo diyunuwa hethukota gena apata X kirana, adoraktha kirana saha radio kirana adharayen mema adbootha pradesha nireekshanaya kireemata hekiyawa labee atha.
ඔවුන් ඇගයීමට ලක්වී ශක්තිමත් ජනපදය මත පදනම් වූ ග්රාමීය ඇමරිකාව හා මගින් ආරක්ෂා රාජ්ය සන්නද්ධ කන්ඩායම් ලෙස විරුද්ධ ශක්තිමත් ජාතික හමුදාව හා නාවික හමුදාව.	Owun agayeemata lakwee shakthimath janapadaya matha padanam wu grameeya americawa ha magin araksha rajya sannaddha kandayam lesa viruddha shakthimath jathika hamudawa ha nawika hamudawa
1971 පෝට් ඔෆ් ස්පේන් ටෙස්ට් තරගයෙහිදී බටහිර ඉන්දීය කොදෙව්වන්ට එරෙහිව සුනිල් ගවස්කාර් විසින් දිනුම් ලකුණ ලබා ගනිද්දී පන්දුවට පහර නොදෙන අන්තයේ සිටි ක්‍රීඩකයා වූයේ ආබිඩ්ය.	1971 Port of Spain test tharangayedi batahira indeeya kodewwantha erehiwa sunil gawaskar wisin dinum lakuna laba ganiddi panduwata pahara nodena anthaye siti kreedakaya wuye abidya.
කටකතා පැතරවීම, සහ ජනමාධ්‍ය වේදය, උද්වේගකරණය හෝ සදාචාර විරෝධි වාර්තා කරණ ය වැනි පිළිගත් සම්මතයන්ට එරහි හැසිරීම් මේ මගින් ජනිත විය හැක.	Katakatha pathiraweema, saha janamadya wedaya, udwegakaranaya ho sadachara wirodee wartha karana ya weni piligath sammathayantha erehi hasireem me magin janitha wiya heka.
එය ඔවුන්ගේ වසර 2500 අධික ඉතිහාසය පිරික්සා බැලීමේදී මනාව පැහැදිලි වේ.	Eya owunge wasara 2500 adhika ithihasaya piriksa baleemedi manawa pehadili we.
එසේම ගැඹුරු මුහුදේ ධිවර කර්මාන්තයට අමතරව කලපු ධිවර කර්මාන්තය මගින් 3000 ක් පමණ පිරිසකට ආදායම් මාර්ගයක්ද විවර වී ඇත.	Esema gamburu muhude dheewara karmanthayata amatharawa kalapu dheewara karmanthaya magin 3000 k pamana pirisakata adayam margayakda wiwara wee atha.
පරිගනක විද්‍යාගාරයක පරිගනක ක්‍රියාකාරකම් කලමනාකරනය සදහා බෙහෙවින් ඉවහල්වන මෘදුකාංගයක් ඉසුරු ලිනක්ස් පරිගනකය තුල ස්තාපනය කර ඇත.	Pariganaka vidyagarayaka pariganaka kriyakarakam kalamanakaranaya sandha behewin iwahalwana mrudukangayak isuru linaks pariganakaya thula sthapanaya kara atha.
කාන්තාවන්ට තම ලිංගිකත්වය,විවාහවීම හෝ නොවීම,ප්‍රජනන අයිතිවාසිකම් පිළිබද ස්වං තීරණ ගැනීමේ අයිතිය මෙන්ම පීතෘ මූලික සාම්ප්‍රධායික සමාජයේ පැලපදියම්වී ඇති පුරුෂාධිපත්‍යයේ කාන්තාවන්ටද ලබාදීම රැඩිකල් කාන්තාවාදීන් විසින් උස්සාහ දරයි.	Kanthawantha thama lingikathwaya,wiwahaweema ho noweema,prajanana ayithiwasikam pilibanda swayan theerana ganeeme ayithiya menma peethru moolika sampradaika samajaye pelapadiyamwee athi purushadipathyaya kanthawantada laba deemata redical kanthawadeen wisin uthsaha darai.
මෙම තෝරා ගත් කොටස ගොවින් අතර සමාන කොටස් වලට ඛෙදනු ලැබේ.	Mema thora gath kotasa goween athara samana kotas walata bedanu labe.
හෝටලය සතුව කබානා දහයක් තිබෙන අතර හෝටලයේ උඩු මහලේ සුවිශේෂී නැරඹුම් කබානාවක් ද පිහිටා තිබේ.	Hotalaya sathuwa kabana dahayak thibena athara hotalaye udu mahale suvisheshi nerambum kabanawak da pihita thibe.
අපරිමිත ප්‍රමාණයක්වූ කාර්මිකව නිපදවන කාබනික රසායන ද්‍රව්‍ය වල,මූලික රසායනික ද්‍රව්‍යවල ප්‍රාථමික ප්‍රභවය වන්නේද ශාකය මෙම රසායනික ද්‍රව්‍ය විශාල විවිධත්වයකින් යුතු පර්යේෂණ හා අධ්‍යයනයන්ට උපයෝගීකොට ගනී.	Aparimitha pramanayakwoo karmikawa nipadawana kabanika rasayana drawya wala,moolika rasayanika drawyawala prathamika prabhawaya wanneda shakaya. mema rasayanika drawya wishala vividathwayakin yuthu paryeshana ha adyanayanta upayogikota ganee.
දළ වශයෙන් කිලෝමීටර 28 ක විෂ්කම්භයක් සහිත වන එය, සෑම වසර 5 කට වරක් සූර්යයා වටා එක් පරිභ්‍රමණයක් සිදු කරයි.	Dala washayen kilometer 28 ka wishkambhayak sahitha wana eya, sema wasara 5 kata warak soorya wata ek paribramanayak sidu karai.
පරිණාමවාදීන්ට අනුව මිනිසා අද පවතින ශිෂ්ට සමාජයට අවතීර්ණ වීමට පෙර දඩයම් යුගය එඩේර යුගය ආදී යුග සහුකරමින් පැවමිණි බව දක්වයි.	Parinamawadeenta anuwa minisa ada pawathina shista samajayata awatheerna weemata pera dadayam yugaya edera yugaya adi yuga pahukaramin pemini bawa dakwai.
තෙත් කලාපයේද මෙවන් ග්‍රාමීය වැව් 3000 ක් පමණ ඇත.	Theth kalapayeda mewan grameeya wew 3000 k pamana atha.
මෙම කුඩා ගමක පවුල් කිහිපයක් වාසය කරති.	Mema kuda gamaka pawul kihipayak wasaya karathi.
මෙය තවමත් වත්මන් පුරාවිද්‍යාඥයන්ගේ සුවිශේෂ නිරීක්‍ෂණයට ලක්‌ නොවී සංරක්‌ෂණය නොකිරීම අභාග්‍යයක්‌ කොට සලකමි.	Me thawamath wathman puravidyagnayange suvishesa nireekshanayata lak nowee sanrakshana nokireema abhagyak kota salakami.
ආකෘතිය දැන් පවතින ආකාරයට විකසනයවූයේ 1992 දීය.	Akruthiya den pawathina akarayata wikasanayawuye 1992 deeya.
එහෙත් එය නැවතත් වාමන ග්‍රාහලොවක් ලෙස වර්ගීකරණය කරනු ලැබීය.	Eheth eya newathath wamana grahalowak lesa wargeekaranaya karanu labeeya.
මනෝ විද්‍යාත්මක විශ්ලේෂණයකින් ද භව සංකල්පය පිළිබඳ හැදෑරීමක් කළ හැකි ය.	Mano vidyathmaka wishleshanayakin da bhawa sankalpaya pilibanda hedareemak kala heki ya.
දැන් වැනිලා ස්වල්පයක් සහ සාදික්කා කුඩු එකතු කර තම්බා ගන්න.	den venila swalpayak saha sadikka kudu ekathu kara thamba ganna.
මොවුන් ඉතා ඉක්මනින් වෙනස්වන අහර වේලක් ඇත.	Mowun itha ikmanin wenaswana ahara welak atha.
නැත්හොත් ප්‍රතිවාදියාගේ ඉත්තකු සිටිය යුතු අතර එම ඉත්තා නිදහසේ ආක්‍රමණය කල හැකි විය යුතුය.	Nethahoth prathiwadiyage iththaku sitiya yuthu athara ema iththa nidahase akramanaya kala heki wiya yuthuya.
ඔහු විදේශ රටකට ගිය බවක් සඳහන් නොවේ.	Ohu widesha ratakata giya bhawak sandahan nowe.
මගුල් මැද	Magul meda
ඔහු ජීවත්ව සිටියදී හඳුනා නොගත්තේ වුවද වර්තමානයේදි බ්ලේක්ගේ කෘතින් කාව්‍යමය සහ චිත්‍ර කලාව සම්බන්ධයෙන් බොහෝ සෙයින් අගය කරනු ලැබේ.	Ohu jeewathwa sitiyadee handuna nogaththe wuwada warthamanayedi blakege krutheen kawyama saha chithra kalawa sambandayen boho seyin agaya karanu labe.
ශ්‍රී ලංකාවේ ගාලු නගරයේ ගාලු කොටුව ආසන්නයේ ඉන්දියන් සාගරයට දෙපැත්තකින් සීමා වී මෙය පිහිටා ඇත.	Sri Lankawe Galu nagaraye galu kotuwa asannaye indian sagarayata depaththakin seema wee meya pihita atha.
ඉන්ජෝ රජු වුවද, ඔහුට කිසිදු බලයක් නොතිබූ අතර, බලය අතැතිව තිබුණේ ග්වංහේගුන්ව සිහසුනෙන් පහකළ බටහිර පක්ෂය අතෙහි ය.	Injo raju wuwada, ohuta kisidu balayak nothibu athara, balaya athathiwa thibune gwanhegunwa sihasunen pahakala batahiri pakshaya athehi ya.
එබැවින් බෞද්ධයන්ට විනා අන් කිසිදු ලබ්ධිකයිනට මෙහි කිසිදු අයිතියක්‌ හෝ උරුමයක්‌ තහවුරු කිරීමට ප්‍රමාණවත් අතීත පුරාවිද්‍යාත්මක සාක්‍ෂි නැතුවා පමණක්‌ නොව දහනව වැනි සියවසේ අග භාගයේ දි පමණ ගොඩනඟන ලද හුණු සිමෙන්ති මිශ්‍රත ගඩොල් තොරණ හා ටකරන් ගොඩනැඟිලි අතීත පුරාවිද්‍යාත්මක උරුමය තහවුරු කිරීමට ප්‍රමාණවත් නොවන බව අවධාරණය කරමි.	Ebawin bauddhayanta wina an kisidu labdikayinata mehi kisidu aiythiyak ho urumayak thahawuru kireemata pramanawath atheeta puravidyathmaka sakshi nethuwa pamanak nowa dahanawa weni siyawase aga Bhagaye di pamana godanagana lada hunu simenthi misritha gadol thorana ha takaran godanegili atheetha puravidyathmaka urumaya thahawuru kireemata pramanawath nowana bhawa awadharanaya karami.
ඒ අනුව විවිධ ආබාධයනට ලක්ව දුක් විදින පිරිස් විෂයෙහි කළ යුතු ප‍්‍රතිකාර රැසක් ගැන තොරතුරු භෙසජ්ජක්‍ඛන්‍ධකයේ දී බුදුරජාණන් වහන්සේ අවධාරණය කරති.	E anuwa wiwida abadayanata lakwa duk vindina piris wishayayehi kala yuthu prathikara resak gena thorathuru Bhesajjajkkandakaye di budurajanan wahanse awadharanaya karathi.
මධ්‍යම කඳුකරයේ ගල් ලෙන් බළන්ගොඩ මානවයාගේ නිජබිම් වශයෙන් පැවත තිබේ.	Madyama kandukaraye gal len balangoda manawayage nijabim washayen pewatha thibe.
කඨින චීවරයක් පූජා කරන අවස්ථාවේ පූජා කරනු ලබන ඕනෑම පූජා වස්තුවක් පුදන අයට ද මහත් ඵල මහානිසංස ලබාගත හැක.	Katina cheewarayak pooja karana awasthawe pooja karanu labana onama pooja wasthuwak pudana ayata da mahath pala mahanisansa labagatha heka.
තවත් කාරණයක් නම් යුද්ධ උපාය මාර්ග වශයෙන් යාපනයේ වැදත්කම හේතු කොට ගෙන යාපනය රාජධානිය ලන්දේසි ආක්‍රමණ හමුදාවකට සුරක්ෂිත ස්ථානයක් විය හැකියයි යන බියක්ද තිබුණි.	Thawath karanayak nam yuddha upaya marga washayen yapanaye wedagathkama hethu kota gena yapanaya rajadaniya landesi akramana hamudawakata surakshitha stnayaka wiya hekiyai yana biyakda thibuni.
විහාරයේ දැකගත හැකි පොකුණ නාග පොකුණ ලෙස ජනප්‍රවාදයේ විස්තර වේ.	Viharaye dekagatha heki pokuna naga pokuna lesa janapravadaye wisthara we.
එසේම උපතේ පටන් මරණය දක්වාම ජීවිතයේ විවිධ අවස්ථාවන්හිදී තම දායකයන්ට සෙත් පැතීම උන්වහන්සේගේ සිරිතකි.	Esema upathe patan maranaya dakwama jeewithaye wiwida awasthawanhidi thama dayakayanta seth patheema unwahansege sirithaki.
වේල්ස් කුමාර ඉතිහාසය නා ගස, සත්පත්තිනි දෙවොල, රන් මගුරු වල ඇල, තානායම, ගොන් අශ්ව කෝච්චි නැවතුම්පොළ, ශ්‍රි නාග මහා බෝධිය, ගම් වසමේ ගම් හබ සමථය, සිද්ධ සූනියම් දේවාලය, ග්‍රාම වාසී මහා නිකායේ එල්ලාවල ගනින්නැහැගේ, පරපුර දේවාලයේ කපු පරම්පරාවෙ, ශ්‍රී දළදා මාහිමි එකරැයක් වැඩ සිටීම, එල්ලාවල උප රාජ්‍යයේ රාජසූරිය රජුගේ සමීපතම විහාරය යන මේවා මෙම ස්ථානයේ ඓතිහාසික පසුබිම විමර්ශනයේදී ඉතා වැදගත් වේ.	Wales kumara ithiyasaya na gasa, sathpaththini devola, ran maguru wala ela, thanayama, gon ashwa kochchi newathumpola, Sri naga maha bodhiya, gam wasame gam haba samathaya, siddha sooniyiam devalaya, grama wasee maha nikaye Ellawala ganinnehege, parapura devalaye kapu paramparawe, sri dalada mahimu ekareyak weda siteema, ellawala upa rajyaye rajasuirya Rajuge sameepathama viharaya yana mewa mema sthanaye aithiyasika pasubima wimarshanayedi itha wedagath we.
මේ අනුව ජන මාධ්ය වේදීන්ට පුරවැසියන් සහ ප්රභූන්ච සිය වාර්තා සදහා අධාල කර ගත හැක.	Me anuwa jana madya wedinta purawasiyan saha praboonwa siya wartha sandaha adala kara gatha heka.
නීතිය	Neethiya
පාසැල් 22 කින් සමන්විත වන පන්විල අධ්‍යාපන කොට්ඨාශයෙහි සමස්ත රජයේ පාසැල් ලැයිස්තුව සඳහා මෙය බලන්න	Pasal 22 kin samanwitha wana panwila adyapana kottasayehi samastha rajaye pasal layisthuwa sandaha meya balanna.
සම්පීඩනය නොවන තරල ගනයේ නාමාවලිය මුලු පිඩනය (නිෂ්චලන පිඩනය ලෙසද හදුන්වයි) ගතික පීඩනය යන සංකල්පය බර්නුලි සමීකරනය මගින් ඇති වු අතර ඒවා සියලු තරල වල ගලායාම සදහා වැදගත් වේ.	Sampeedanaya nowana tharala ganaye namawaliya mulu peedanaya (nishchalana peedanaya lesada handunwai) gathika peedanaya yana sankalpaya barnuli sameekarana magin athi wu athara ewa siyalu tharala wala galayama sandaha wedagath we.
මේ නිසා ම එතුමාණෝ සගසැපත් වී වසර දෙකක් පිරුණු කල එනම් කි්‍ර.	Me nisa ma ethumano sagasepath wee wasara dekak pirunu kala enam kri.
ලෝවාමහාපාය තැනීම පිළිබද විස්තර කරනු ලබන වංශය තුළ රහතන් වහන්සේ විසින් දේව විමානයක් හිදැගුලෙන් වස්ත්‍රයක ඇඳ රජුට ඉදිරිපත් කළ බව දක්වයි.	Lowamahapaya theneema pilibanda wisthara karanu labana wansaya thula rahathan wahanse wisin deva vimanayak hidagulen wasthrayaka anda rajuta idiripath kala bawa dakwai.
මානුෂික භූගෝල විද්‍යාව	Manushika Bhoogola Vidyawa
සිතුවම්කරණයට භාවිතා වූ වර්ණක වසර 1000කට වඩා පැරණි ය.	Sithuwamkaranayata bhawitha wu warnaka wasara 1000kata wada perani ya.
ඇරෝමැටික නොවන කාබනික සංයෝග වර්ගීකරණය කෙරෙන්නේ ඇලිපැටික සංයෝග ලෙසිනි—ඒවා ඇලිචක්‍රීය විය හැකි මුත්, විශේෂ ස්ථායිතාවය (අව ප්‍රතික්‍රියතාව) දක්වන්නේ ඇරෝමැටික වළයන් පමණි.	Arometica nowana kabanika sanyoga wargeekaranaya kerenne alipatika sanyoga lesini—ewa alichackriya wiya haki muth, wishesa sthaithawaya (awa prathikriyathawa) dakwanne aromatick walayan pamani.
දෙවන දිනය වනවිට, චිත්‍රපටයේ ආදායම වර්ධනය වූ අතර එය ඉන්දියානු රුපියල් කෝටි 15.52ක (ඇ.ඩො. මිලියන 2.3) ක ශුද්ධ ආදායමක් හිමිකරගත්තේ ය.	Dewana dinaya wanawita, chithrapataye adayama wardanaya wu athara eya indiyanu rupiyal koti 15.52ka (U.S. dolar miliyana 2.3)ka shuddha adayamak himikaragaththe ya.
ව්‍යාකරණාඥයින්, ශබ්දකෝෂ ලියන්නන් සහ භාෂා ප‍්‍රතිපත්ති සකසන්නන් භාෂාවේ විකාශනය කෙරෙහි කිසියම් බලපෑමක් සිදු කළ ද ඔවුන් විසින් කිවයුතු යැයි මහජනයා විශ්වාස කරන දේ කෙරෙහි බලපෑම් කිරිමට ඔවුන්ට ඇති හැකියාව, මහජනයා ඇත්තටම පවසන දෙයට වඩා වෙනස් ව පවතී.	Vyakaranagnayin, Shabdakosha liyannan saha Bhasha prathipaththi sakasannan bhashawe wikashanaya kerehi kisiyam balapemak sidu kala da owun wisin kiwayuthu yai Mahajanaya wishwasa karana de kerehi balapem kireemata owunta athi hakiyawa, mahajanaya aththatama pawasana deyata wada wenas wa pawathi.
ජවිපෙ සමස්ත කාඩර්වරුන්ම රටේ ප්‍රධාන නගරවලට කැඳවා විරෝධතා ව්‍යාපාරය මෙහෙයවන්නට ඒ අනුව සැලසුම් සකස් කෙරිණි.	JVP samastha cadrewarunma rate pradhana nagarawalata kendawa virodatha vyaparaya meheyawannata e anuwa selasum sakas kerini.
2009 අවසානය වන විට චිත්‍රපටයේ පශ්චාත්-නිෂ්පාදන කටයුතු සිදු විය.	2009 awasanaya wana wita chithrapataye paschath-nishpadana katayutu sidu wiya.
ඔහු සඳ ජනාවාස වී ඇති බව ප්‍රීතියෙන් යුතුව ප්‍රකාශ කළේය.	Ohu sanda janawasa wee athi bawa preethiyen yuthuwa prakasha kaleya.
බාජිරාඕ සටනට පිටත්ව ගිය පසු, රාධාබායි සහ නානා සහේබ් එක්වී මස්තානි සහ ඇගේ පුත් ෂාම්ෂෙර් බහදූර්ව සිරගත කරති.	Bajirao satanata pitathwa giya pasy, Radhabai saha Nana Saheb ekwee masthani saha age puth Shamsher Bahadurwa siragatha karathi.
එහි සංඛ්‍යාත්මක අගයට නියතයක් නැත.	Ehi sankayathmana agayata niyathayak netha.
මෙම ප‍්‍රචාලන දහනයේදී එයින් ජලය සහ විශාල තාපයක් උත්පාදනය වේ.	Mema prachalana dahanayedi eyin jalaya saha vishala thapayak uthpadanaya we.
ධාතු ගර්භය - සත්තිස් බෝධි පාස්සික ධර්මය	Dhathu garbhaya - saththis bodhi passika dharmaya
බෝට්ටු සවාරියක නිරතව සිටින රාගිනීව (අයිෂ්වර්යා රායි) වීරා විසින් පැහැරගැනෙයි.	Bottu savariyaka nirathawa sitina ragineewa (aishcharya rai) cheera wisin paharaganei.
තීව්සන් විසින් සුලෛයිමාන් කඳු පන්තිය ආසන්නයෙ සිදුකරන පර්යේෂණ වලින් තවත් හඳුනා නොගත් ක්ශීරපායි විශේෂයක සැකිල්ලක් සොයාගනු ලබනවා.	Theewsan wisin sulaiman kandu panthiya asannaye sidukaran paryeshana walin thawath handuna nogath ksheerapai wisheshayaka sekillak soyaganu labanawa.
ණය සදහා වන පොලිය ආදිය.	Naya sandaha wana poliya adiya
තරුණ මුහම්මද්තුමාණන්ගේ නුවණක්කාර කම ගැන සියල්ලෝම ඔහුට පzශංසා කළහ.	Tharuna Muhammadtumanange nuwanakkara kama gena siyalloma ohuta prasansa kalaha.
ඒලඩිපට්ටම් ලෙස හැඳින්වෙන ජෛන ස්වාභාවික ලෙන් වෙත මෙහි පාදක කඳුවල සිට ළඟා විය හැක.	Eladipattam lesa handinwena jaina swabhawika len wetha mehi padaka kanduwala sita langa wiya heka.
අශ්වන්ත් තිලක්, වේලන් ලෙස	Ashwanth Thilak, Welan lesa
මහනුවර ප්‍රාදේශීය ලේකම් කොට්ඨාසය	Mahanuwara Pradeshiya Lekam Kottashaya
එබැවින් ජනශ්‍රැතියට අනුව එකල මීගමුව අලි ඇතුන්ගෙන් ගහන මහ කැලයක් වී තිබූ බැව් පැහැදිලි වේ.	Ebawin janashruthiyata anuwa ekala meegamuwa ali athungen gahana maha kelayak wee thibu bew pehadili we.
ඒවා නම් සත්ත්ව රූප, මිනිස් රූප සහ මල්කම් ලියකම් යන මෝස්තරයි.	Ewa nam sathwa roopa, minis roopa saham alkam liyakam yana mostharai.
අතපසු වීම්, පමණට වඩා කොටස් එක් කිරීම් හෝ කිසියම් විශේෂ ප්‍රයෝගයක් භාවිත කිරීම අතපසු වීම වැනි මිනිසාගෙන් සිදුවන අතපසු වීම් සිදු වීමේ ඉඩ කඩ අවම වීම.	Athapasu weem, pamanata wada kotas ek kireem ho kisiyam vishesa prayogayak bhawitha kireema athapasu weema weni minisagen siduwana apahasu weem sidu weema ida kada awama weema.
කුඩා කන්පෙති පිහිටන්නේ කර්ණාකාර ගොඩැලි නිසිලෙස වර්ධනය නොවූ විටයි.	kuda kanpethi pihitanne karnakara godali nisilesa wardanaya nowu witai.
මෙම සිද්ධීන් හා දැනට පවතින දේශපාලන තත්වය වර්තමානයේ ඇති ආරවුල වලට හේතූන්ය.	Mema siddin ha denata pawathina deshapalana thathwaya warthamanaye athi arawula walata hethunya.
දීපවංශයේ, ශ්‍රී පාදය හඳුන්වා ඇත්තේ 'සමන්ත කූඨ' ලෙසිනි.	Deepawansaye, Sri padaya handunwa aththe 'Samantha Koota' lesini.
පාසැල් 57 කින් සමන්විත වන ගල්ගමුව අධ්‍යාපන කොට්ඨාශයෙහි සමස්ත රජයේ පාසැල් ලැයිස්තුව සඳහා මෙය බලන්න	Pasal 57 kin samanwitha wana galgamuwa adyapana kottashayehi samastha rajaye pasal layisthuwa sandaha meya balanna.
ලංකා‍රාමය මෙහි භික්ෂුණි ආරාමයක් විය.	Lankaramaya mehi bhikshuni aramayak wiya.
මනස සංසුන් කර ගැනීමේ නොහැකියාව හෙවත් නොසංසුන් බව	Manasa sansun kara ganeeme nohakiyawa hewath nosansun bawa
හින්දු භක්තිකයන් නිතරම තිලක තබන අතර, උත්සව අවස්ථාවලදී විශේෂයෙන්ම තිලක තබයි.	Hindu bhakthikayan nitharama thilaka thabana athara, uthsava awasthawaladi wisheshayenma thilaka thabai.
මධ්‍යම කඳුකරය, අභ්‍යන්තර තැනිතලාව හා වෙරළබඩ තීරුව යනු ඒවායි.	Madyama kandukaraya, abhyanthara thenithalawa ha weralabada theeruwa yanu ewai.
සිහසුනට පත්වීමෙන් අනතුරුව අධිරාජ්‍යයා විසින් අධිරාජ්‍ය පවුල ජපාන ජනයාට වඩාත් සමීප කිරීමට කැපවිණි.	Sihasunata pathweemen anathuruwa adirajya wisih adirajya pawula japana janayata wadath sameepa kireemata kepawini.
බොම්බේ මහාධිකරණයේ චිත්‍රපටයට එරෙහි පෙත්සමක් ගොනුකෙරුණු නමුත්, මහාධිකරණය චිත්‍රපටය මුදාහැරීම වැළැක්වීමට මැදිහත් වීම ප්‍රතික්ෂේප කරන ලදී.	Bombe mahadhikaranaye chitrapatayata erehi pethsamak gonu kerunu namuth, mahadikaranaya chithrapataya mudahareema welakweemata madihath weema prathikshepa karana ladee.
සමුළු න්‍යායපත්‍රය වින්‍යශ්ටිකකරණය, සාමය තහවුරු කිරීම හා දෙරටේම වාසයි තකා අන්තර් කොරියානු සබඳතා ගොඩනැංවීම ඇතුළත් කොට සැලසුම් විය.	Samulu nyayapathraya vinyashtikakaranaya, samaya thahawuru kireema ha deratema wasiya thaka anthar koriyanu sambadatha godananweema athulath kota selasum wiya.
පුරාවිද්‍යාඥයන් මෙම ජනාවාස කාලය කොටස් කීපයකට බෙදා ඇත.	Purawidyagnayan mema janawasa kalaya kotas keepayakata beda atha.
දෙවන ලෝක යුද්ධයෙන් පසු එහි විශාල දියුණුවක් ඇතිවූ අතර බහුතරයක් ඡායාරූප සඳහා වර්ණ පටල පට යොදාගැනීම ආරම්භ විය.	Devana loka yuddayen pasu ehi wishala diyunuwak athiwu athara bahutharayak chayarupa sandaha warna patala pata yodaganeema aramba wiya.
ඒ 1778 දීය ඔහු එහිදී එම දූපත් වාසීන්ගේ, ජලය මත ලිස්සා යාමේ ක්‍රීඩාව ගැන සඳහන් කර ඇත.	E 1778 deeya. Ohu ehidee ema doopath waseenge, jalaya matha lissa yame kreedawa gena sandahan kara atha.
සංවොන්සාහි ලෝකඩ ඝණ්ඨාරය, ප්යොංචං ප්‍රාන්තය	Sawonsahi lokada gantaraya, jyonchan pranthaya
අනුරාධපුර නගරය වටා ආරම්භ වූ මෙම ශිෂ්ඨාචාරය ආසියාවේ හා ලෝකයේ පැවති දියුණුම ශිෂ්ඨාචාර වලින් එකකි.	Anuradhapura nagaraya wata arambha wu mema shishtacharaya asiyawe ha lokaye pewathi diyunuma shishtachara walin ekaki.
ඒ අනුව දෙමළ එක්සත් විමුක්ති පෙරමුණ 1976 මැයි 14 දින වඩුක්කොඩෙයි ආසනයේ සම්මේලනයක් කැඳවා දමිළ ජනතාවගේ නිදහස වෙනුවෙන් ඊළාම් රාජ්‍යයක් ඇතිකර ගත යුතු බව ප‍්‍රථම වරට ප‍්‍රකාශ කළේය.	E anuwa demala eksath wimukthi peramuna 1976 may 14 dina wadukkodai asanaye sammelanayak kendawa damila janathawage nidahasa wenuwen eelam rajyayak athikara gatha yuthu bhawa prathama warata prakasha kaleya.
