پاڪستان	Pakistan
۽	aen
بيتن	betn
جي	je
لحاظ	lihaaz
کان	khan
شاهه	shah
جي	je
رسالي	risaale
جو	jo
وڏو	wado
سُر	sur
آهي،	ahe,
جنهن	jahin
۾	men
ڪل	kul
12	12
داستان،	dastaan,
237	237
بيت	bet
۽	aen
17	17
وايون	oaeon
شامل	shaamil
آهن.	ahin.
</s>	</s>
”حسرت	"hsirt
موهاني	mohunae
ميموريل	memwaril
سوسائٽيءَ“	swasaitea"
جو	jo
تاحيات	tahayaat
صدر	sadar
هو.	ho.
</s>	</s>
اسان	asan
جي	je
نظام	nazaam
شمسي	shmse
۾	men
زمين	zamin
کان	khan
پوء	po
ھي	hi
ھڪ	hiku
اھڙي	ahdre
جڳه	jgh
آھي	aahe
جنھن	jahin
جي	je
مٿاڇري	mthaachhre
تي	te
وڏي	wade
مقدار	mkdar
۾	men
پاڻياٺ	paaniuthu
ملي	mile
ٿو.	tho.
</s>	</s>
جيڪي	jeke
لڳاتار	lagatar
ٻه	baa
سئو	sio
سالن	salan
تائين	taaen
عربن	arban
کي	khe
ڏن	dn
پهچائيندا	phchianda
رهيا.	rahiya.
</s>	</s>
روايت	rawaayat
آهي	ahe
ته	ta
جڏهن	jadahin
امير	amir
تيمور	temor
جي،	je,
تقتمش	tktmsh
خان	khanu
سان	saan
لڙائي	ldraie
ٿي،	thi,
تڏهن	tadahin
ساڳئي	sagie
مٿئين	mthiayn
قبيلي	qabile
جو	jo
هڪ	hiku
سردار	sardaar
ايڪوتمر	aekotmr
نالي،	naale,
امير	amir
تيمور	temor
جي	je
طرف	tarafu
کان	khan
وڙهندي	odrhande
مارجي	marje
ويو.	wayo.
</s>	</s>
تڏهن	tadahin
بادشاهه	badshaah
جاسوس	jaaswas
رکي	rakhe
هڪڙي	hikre
ڏينهن	denhan
باغ	baagu
۾	men
اچي	ache
نڪتو.	nikto.
</s>	</s>
خاص	khaas
ڪري	kare
داڻن	dunun
جو	jo
رنگ	rang
ڪارو،	kaaro,
نيرو	nero
يا	yaa
واڱڻائي	oangnraie
هجي	huje
ته	ta
بيقراري	beqaraare
۽	aen
بيهوشي	behoshe
ٿيندي.	thindi.
</s>	</s>
بعد	baad
۾	men
چرچ	chrch
جي	je
پادرين	padaruen
جھڙوڪ:	jhdrok:
ارينيئيس	areneies
۽	aen
اليگزينڊريہ	aliguzendre
جي	je
ڪليمنٽ	kulemantt
دعویٰ	dao
ڪئي	kai
ھئي	hui
تہ	t
ٻين	biyan
ملڪن	mulkan
ڏانهن	daanhan
وڃڻ	wajan
کان	khan
اڳ	agu
ميٿيو	methiyo
جوڊيا(انگريزي:	jodyaa(angrezi:
Judea)	Judea)
جي	je
يھودين	ehodinu
۾	men
گاسپل	gaspal
جي	je
تبليغ	tbleg
ڪئي	kai
ھئي.	hui.
</s>	</s>
هن	hin
خبار	khbaar
جو	jo
ايڊيٽر	aeditor
سنڌ	Sindh
جو	jo
مشهور	mashuru
مصنف	musanif
۽	aen
شاعر	shaairu
شمس	shmasa
الدين	aldinu
'بلبل'	'blbl'
هيو۔	huyo-
</s>	</s>
هن	hin
ڪتاب	kitaab
جي	je
عنوانن	anawaann
جي	je
فهرست	fahrsata
مان	maan
ڪتاب	kitaab
جي	je
اهميت	ahmiyat
جو	jo
اندازو	andaazo
ٿيندو.	thindo.
</s>	</s>
پرسياوشان	parasyaaoshuna
دوا	doa
جي	je
ڪم	kam
۾	men
به	bi
ايندو	endo
آهي.	ahe.
</s>	</s>
گيت	gita
ٻالڪ	balk
سنڌيءَ	sindhia
ڳايو	gaeo
آهي،	ahe,
ايڊيٽ	aeditt
نديم	ndem
ميراڻيءَ	meraania
ڪيو	kayo
آهي،	ahe,
جڏهن	jadahin
ته	ta
هدايات	hdayaat
به	bi
نديم	ndem
ميراڻيءَ	meraania
ڏنيون	dinion
آهن.	ahin.
</s>	</s>
ھي	hi
لھجو	lhjo
پاڪستان	pakistan
۾	men
لاھور،	lihor,
شيخوپورا،	shaikhopura,
گوجرانوالہ	gojrunaoal
جي	je
طرفن	tarafun
۾	men
جڏھن	jadahin
تہ	t
ھندستان	hinadstaan
۾	men
امرتسر	amratusir
۽	aen
گورداسپور	gordaspur
جي	je
ضلعن	zlan
۾	men
مشتعمل	mshtamalu
آھي	aahe
جتي	jite
اھو	iho
واپرائجي	oaparaaije
اھو۔	iho-
</s>	</s>
پر	para
چاليهن	chalehin
ڏينهن	denhan
تائين	taaen
محبوس	mhbwas
رهيا.	rahiya.
</s>	</s>
(سچل	(sachl
سرمست	sirmsata
جي	je
148	148
ورسي	orse
جي	je
موقعي	moqe
تي	te
خيرپور	kherpur
ڊويزنل	doeznl
انفرميشن	unafrmeshn
ڊائريڪٽر	dairekttr
پاران	paaraan
هي	he
ڪتاب	kitaab
شايع	shayai
ڪيو	kayo
ويو.)	wayo.)
</s>	</s>
جيئن	jian
ته	ta
انگريز	angrezi
ھتان	htaan
کان	khan
روس	rwas
تائين	taaen
تجارت	tjaaratu
ڪرڻ	karanu
چاھن	chahin
پيا	piyaa
پر	para
ھي	hi
رياستون	riyaasaton
ايئن	ian
ڪرڻ	karanu
کان	khan
روڪي	roke
رھيون	rahiyon
ھون	hon
ان	una
ڪري	kare
1891	1891
۾	men
ڪرنل	karnl
ڊيورنڊ	diornd
جي	je
سربراھي	sirbruhe
۾	men
نگر	ngr
تي	te
حملي	hmile
جو	jo
فيصلو	feslo
ڪيو	kayo
ويو۔	wayo-
</s>	</s>
سنڌي	sindhi
ٻوليءَ	boli
۾	men
انهيءَ	unahia
لفظ	lafuzu
جو	jo
اچار	achaar
’اولاڪ‘	'awalak'
يا	yaa
’اولاق‘	'awalak'
ڪري	kare
ڪم	kam
آڻيندا	aanenda
آهن.	ahin.
-ترڪي-	trke
ٻوليءَ	boli
۾	men
’اُلاغ‘	'aulaag'
جي	je
معنيٰ	maina
آهي	ahe
”-ٽپال-	"ttpal
جي	je
چوڪي“.	choke".
</s>	</s>
هڪ	hiku
ڊگهو	dgho
جيت	jet
آهي،	ahe,
جنهن	jahin
کي	khe
تمام	tamam
گهڻا	ghanaa
پير	peer
ٿيندا	thindaa
آهن.	ahin.
</s>	</s>
خاصيت:	khaaset:
هي	he
بک	bukha
لڳائيندڙ،	lagaenddr,
عضون	azon
کي	khe
طاقت	taaqata
ڏيندڙ	dinuddr
۽	aen
قوت	quwat
باهه	baahi
وڌائيندڙ	wadhianddr
آهي.	ahe.
</s>	</s>
مدن	mdn
لال	laal
پوڪرداس	pokardas
ديش	desh
متر	mtr
پريس،	press,
حيدرآباد	hyderabad
مان	maan
سال	saala
1947ع	1947a
۾	men
ڇپايو.	chhpaeo.
</s>	</s>
ھاڻوڪي	hunuoke
دؤر	doar
جي	je
عالم	aalam
مصطفیٰ	mustafa
الزرقا	alzrka
لکي	likhi
ٿو	tho
تہ	t
غرر	grr
اھڙي	ahdre
امڪاني	amkunae
شئي	shie
جو	jo
وڪرو	okaro
آھي	aahe
جنھن	jahin
جو	jo
وجود	wijood
۽	aen
خوبيون	khobeon
ان	una
جي	je
خطري	khature
واري	ware
نوعيت	noaet
ڪري	kare
غير	geru
متوقع	mtoka
ھجن	hjin
۽	aen
ان	una
جو	jo
واپار	waparu
جوئا	joia
وانگر	wangur
ھجي	hje
.	.
</s>	</s>
هيءُ	heu
شهر	shahru
به	bi
سومرن	somrn
جي	je
زماني	zamane
۾	men
وڏو	wado
علم	ilimu
جو	jo
مرڪز	markaz
هو.	ho.
</s>	</s>
عام	aam
طور	toru
بٽالين	bttalen
جي	je
سربراهي	sirbruhe
ليفٽيننٽ	leftenntt
ڪرنل	karnl
ڪندو	kando
آهي.	ahe.
</s>	</s>
ڪنڊيءَ	kundaea
نه	na
سڱري،	sngre,
ٻٻر	bbr
نه	na
پلڙو،	paldro,
</s>	</s>
سندس	sandas
وڻ	wanu
جا	jaa
پن	pn
چوڙا	chodra
۽	aen
چڪنا	chkana
ٿيندا	thindaa
آهن.	ahin.
</s>	</s>
ناز	naz
منجهارا	manjhaara
نڪري،	nikre,
جڏه	jdh
پرين	pirin
ڪري	kare
ٿو	tho
پنڌ	pandhu
</s>	</s>
اهي	uhe
ٻچا	bcha
تمام	tamam
جلد	jald
جوان	jawaan
ٿي	thi
ويندا	windaa
آهن	ahin
۽	aen
پاڻ	paan
به	bi
ٻچا	bcha
ڄڻڻ	jaanunr
لڳندا	lagunda
آهن.	ahin.
</s>	</s>
گجراتي	gjrute
برهمڻ	brhamnr
جو	jo
نه	na
صرف	sirf
لباس	lbas
مسلمان	musalman
کان	khan
علحده	alhadah
آهي	ahe
پر	para
جيڪڏهن	jekadhin
مسلمان	musalman
جو	jo
هٿ	hathu
يا	yaa
صرف	sirf
پاڇو	pachho
ان	una
جي	je
کاڌي	khaate
تي	te
پوي	pawe
ٿو،	tho,
ته	ta
هو	ho
اهو	uho
کائڻ	khain
جي	je
عيوض	aeoz
اڇلائي	achhlaaie
ڇڏڻ	chhdnr
کي	khe
زياده	zyaadh
پسند	pasnad
ڪري	kare
ٿو،	tho,
پاڻ	paan
۾	men
مائيٽيون	maietiyun
ڪرڻ	karanu
ته	ta
وڏو	wado
مشڪل	mushkil
ڪم	kam
آهي.	ahe.
</s>	</s>
پروانه	paraoana
ز	z
عشق	ishiq
شمع	shma
را	ra
سوخته	sokhta
است	asata
</s>	</s>
مرزا	mirzaa
صاحب	saahiba
لکي	likhi
ٿو	tho
ته	ta
هي	he
قصو	kso
اصل	asal
هڪڙي	hikre
غريب	garib
ماڻهوءَ	manhoa
لعلو	lalo
نالي	naale
ذات	zaat
تيوڻي،	tewanue,
عرف	arf
حفيظ	hfeez
جو	jo
جوڙيل	jodrel
آهي.	ahe.
</s>	</s>
31	31
هه/651ع	hh/651
۾	men
جڏهن	jadahin
بلخ	blkh
فتح	fateh
ٿيو	thiyo
ته	ta
اَهڙن	aahdrn
آتش	aatsh
ڪدن	kdn
جي	je
باھ	bah
هميشه	hameshaa
لاءِ	laai
ٿڌي	thdhe
ٿي	thi
ويئي.	wei.
</s>	</s>
۽	aen
پنجابي	panaabe
ادب	adabu
۽	aen
تھذيب	tazeb
انھن	unhan
جي	je
عظمت	azmt
جا	jaa
گيت	gita
ڳائيندا	gianda
آھن۔	aahin-
</s>	</s>
صحافت	shaft
جي	je
شعبي	shabe
سان	saan
منسلڪ	munasalk
ڪمن	kamn
۾ ادارت،	meneesviaaratu,
تصويري	taswirae
صحافت،	shaft,
فيچر	feechr
۽	aen
ڊاڪيومينٽري	dakayomenttre
وغيره	wagaira
بنيادي	bunyaadi
ڪم	kam
آهن۔	ahin-
</s>	</s>
ان	una
جي	je
ڪجهه	kujh
افسانن	afsaann
جو	jo
ترجمو	tarjimu
انگريزي،	angrezi,
اردو،	urdu,
روسي	rwase
۽	aen
جرمن	jrman
ٻولين	boliyun
۾	men
به	bi
ٿي	thi
چڪو	chuko
آهي.	ahe.
</s>	</s>
تنھن	tinhin
حوندي	honde
به	bi
پرھلاد	parahlaad
بچي	bche
ويندو	windo
آھي۔	aahe-
</s>	</s>
خواب	khawaab
جو	jo
سورج	soorj
(ٽي وي	(TV
ڊرامو)	draamo)
</s>	</s>
سنڌ	Sindh
يونيورسٽي	university
پريس	press
حيدرآباد.	hyderabad.
</s>	</s>
هن	hin
ڪتاب	kitaab
جو	jo
انتساب،	unatsaab,
شيخ	shaikh
-اياز-،	ayaaz,
ايڪيهين	aekehen
صديءَ	sadia
جي	je
نالي	naale
ڪيو	kayo
آهي	ahe
۽	aen
سمورو	samuro
ڪتاب	kitaab
بيتن	betn
۽	aen
واين	oaen
تي	te
مشتمل	mushtamil
آهي.	ahe.
</s>	</s>
ميمبر	member
تڪن	tkan
مان	maan
سڌي	sdhe
چونڊ	chunda
وسيلي	wasile
سادي	saade
اڪثريت	aksaret
سان	saan
چئن	chain
سالن	salan
لاءِ	laai
چونڊبا	chundaba
آھن.	aahin.
</s>	</s>
مٿين	mathen
روايت	rawaayat
کي	khe
غلط	galat
سمجھڻ	smjhnr
لاءِ	laai
ھيٺيون	hitheon
ٻه	baa
ڳالھيون	galhion
نظر	nazara
اچن	achan
ٿيون:	thiyun:
</s>	</s>
روهڙي	rohdre
</s>	</s>
پيٽ	petu
جي	je
آڦري،	aaphre,
هڏڪي	hdke
۽	aen
قولنج	kolnj
۾	men
مفيد	mfeed
آهي.	ahe.
</s>	</s>
(الف):	(alf):
جڏهن	jadahin
تنظيم	tinzem
جي	je
مفادن	mfadn
کي	khe
للڪار	llkaar
ملي،	mile,
(ب):	(b):
اميدن	umidan
جي	je
خلاف	khilaaf
ڪو	ko
واقعو	oakao
ٿئي	thiay
۽	aen
(ج):	(j):
ڪنهن	kanhin
اهم	ahim
معاملي	maamile
جي	je
حل	hl
لاءِ	laai
وقت	wakt
تمام	tamam
گهٽ	ghat
هجي.	huje.
</s>	</s>
هي	he
ٻئي	biay
سس	ss
۽	aen
نونهن	nonan
ٿورو	thoro
پرڀرو	parabharo
هڪ	hiku
وڻ	wanu
جي	je
اوٽ	awati
۾	men
لڪي	lke
ويهي	wehi
رهيون	rahiyun
جڏهن	jadahin
اسر	asir
جي	je
مهل	mahila
ٿي	thi
تڏهن	tadahin
درويشن	daruoeshn
دستور	dstor
موجب	mojib
پرشاد	parashad
ورهائڻ	orhaainr
شروع	Shuru
ڪيو.	kayo.
</s>	</s>
21	21
اپريل،	april,
1913ء	1913
تي	te
ڪيليفورنيا	kayalefornyaa
جي	je
ھندستانين	hinadstaanen
غدر	gdaru
پارٽي	paarti
جي	je
بنیاد	binad
رکي۔	rakhe-
</s>	</s>
مانيٽر:	maanittr:
ڪمپيوٽر	computer
هارڊويئر	haardoeir
جي	je
آئوٽ	aaiwati
پٽ	putu
ڊوائيسز	doaiesz
۾	men
هيءَ	hia
ڊوائيس	doaies
پنهنجي	pahinje
ڪم	kam
جي	je
اهميت	ahmiyat
جي	je
ڪري	kare
سر	sir
فهرست	fahrsata
آهي.	ahe.
</s>	</s>
هيءُ	heu
ڪجهه	kujh
وقت	wakt
سينڪنڊري	seenkundare
استاد	ustaad
رهيو.	rahiyo.
</s>	</s>
کيس	khes
1862ع	1862a
۾	men
پهريون	pahriyun
پٽ	putu
سيٺ	seth
هر	har
چند	chand
راءِ	raai
پيدا	pedaa
ٿيو،	thiyo,
جو	jo
سنڌ	Sindh
جو	jo
مکيه	mukhi
قومي	qomi
ڪارڪن	kaarkan
۽	aen
مرڪزي	markazi
اسيمبليءَ	asemblia
جو	jo
ميمبر،	member,
ڪانگريس	kangares
جو	jo
اڳواڻ	agwaanu
۽ڪراچي	aenkarachi
ميونسپالٽيءَ	meonspaltea
جو	jo
پريزيڊنٽ	parezedntt
ٿيو.	thiyo.
</s>	</s>
سنڌي	sindhi
ادبي	adabi
سنگت	sangat
مرڪز	markaz
جي	je
چونڊن	chondan
۾	men
به	bi
حصو	hiso
وٺندو	othndo
رهيو	rahiyo
آهي	ahe
۽	aen
پني	pne
عاقل	aakl
شاخ	shakh
جو	jo
ڪيترا	ketraa
ڀيرا	bheraa
سيڪريٽري	sekretrai
رهي	rahe
چڪو	chuko
آهي.	ahe.
</s>	</s>
سنڌ	Sindh
۽	aen
هند	hand
جي	je
مشهور	mashuru
شاعر	shaairu
هريڪانت	harekunat
جي	je
ڪويتائن	koetain
جو	jo
مجموعو،	mjmoao,
ڊيمي	dime
سائيز	saaiz
جي	je
76	76
صفحن	sufhan
تي	te
مشتمل	mushtamil
’اگهاڙا	'aghaadra
آواز‘	aawazu'
جي	je
نالي	naale
سان	saan
1981ع	1981a
۾	men
ڇپجي	chhpje
پڌرو	padhiro
ٿيو،	thiyo,
جنهن	jahin
جي	je
قيمت	qeemat
15	15
رپيا	rupayaa
آهي،	ahe,
جيڪو	jeko
رتن	rtin
آڏواڻيءَ،	aadounuea,
نئين	naen
دهليءَ	dahlia
مان	maan
ڇپائي	chhpaae
پڌرو	padhiro
ڪيو،	kayo,
جيڪو	jeko
مهروان	mharouna
مامتاڻيءَ	mamtunuea
جي	je
چترن	chtrn
سان	saan
سينگاريل	seengarel
آهي.	ahe.
</s>	</s>
بينظير	benzer
ڀٽو	bhuto
جي	je
پهرين	pahrin
حڪومت	hukumat
جي	je
دور	doru
۾	men
هي	he
پاڪستان	pakistan
پيپلز	pepalz
پارٽي	paarti
۾	men
پڻ	pinu
رهيو،	rahiyo,
ان	una
کان	khan
پوءِ	poi
هي	he
جيئي	jeie
سنڌ	Sindh
محاذ	mhaz
۾	men
شامل	shaamil
ٿيو	thiyo
۽	aen
2010ع	2010a
۾	men
ان	una
جو	jo
نائب	naib
صدر	sadar
پڻ	pinu
چونڊيو	chundaeo
ويو.	wayo.
</s>	</s>
ڇهن	chhhin
سٽن	stin
تي	te
مشتمل	mushtamil
شعري	shaire
صنف	snf
قديم	qadim
روايتي	rawaayate
شاعريءَ	shaairia
۾	men
’مسدس‘	'masads'
ڇهن	chhhin
سٽن	stin
جي	je
بندن	bandn
تي	te
مشتمل	mushtamil
نظم	nazam
هوندو	hondo
هو.	ho.
</s>	</s>
انهن	unhan
علائقن	ilaiqan
۾،	men,
وڻن	wanan
جي	je
قد،	kd,
وڻن	wanan
جي	je
انگ،	anga,
پاڻي	paani
جي	je
ذائقي،	zaike,
کوهن	khohin
جي	je
اونهائي	onaaie
وغيره	wagaira
جي	je
فرق	faraqu
کي	khe
نظر	nazara
۾	men
رکندي،	rakhande,
انهن	unhan
کي	khe
الڳ	alag
الڳ	alag
ڀاڱن	bhangn
۾	men
ورهايو	orhaaeo
آهي.	ahe.
</s>	</s>
سٺن	sthn
حڪمرانن	hukumrunan
جو	jo
تسلسل۔	tslsl-
</s>	</s>
ڪجهه	kujh
پکي	pakhi
پاڻ	paan
کي	khe
آئيني	aaine
۾	men
ڏسندا	dsanda
آهن،	ahin,
آئيني	aaine
کي	khe
سج	siju
جي	je
روشنيءَ	roshnia
سان	saan
چمڪايو	chmkaaeo
ته	ta
ڪيترا	ketraa
چڪور	chukor
گڏ	gadu
ٿي	thi
ويندا،	windaa,
هنن	hunan
تي	te
گوليون	gwalidon
وسنديون	wasndeon
ته	ta
به	bi
هو	ho
انڌ	unadh
۾	men
آئيني	aaine
ڏانهن	daanhan
وڌندا،	wadhnda,
مينا،	mena,
ٽاڪرو	ttakaro
ڪانءُ	kunau
۽	aen
ٻيا	biyaa
پکي،	pakhi,
چمڪندڙ	chmkandar
شيون،	shayun,
چاندي	chunade
۽	aen
جواهر	joahar
چورائيندا	chorianda
آهن،	ahin,
خبر	khabara
نه	na
آهي	ahe
ته	ta
اها	uha
خودپسندي	khoodpasnade
آهي،	ahe,
هوس	hosu
آهي	ahe
يا	yaa
تجسس	tjss
آهي،	ahe,
ڇا	chhaa
آهي	ahe
جيڪو	jeko
هنن	hunan
کي	khe
ائين	ian
ڪرڻ	karanu
تي	te
مجبور	majbur
ڪندو	kando
آهي.	ahe.
</s>	</s>
ڪنهن	kanhin
کي	khe
به	bi
واتان	outaan
ويڻ	oenr
ورائڻ	orainr
نه	na
گهرجن،	gharujin,
دل	dil
مان	maan
چاوت	chot
۽	aen
بغض	bgz
ڪڍي	kadhi
تواضح	toazh
۽	aen
خاڪساري	khaksaari
اختيار	ikhtiyaar
ڪرڻ	karanu
گهرجي،	ghurje,
مطلب	matlab
ته:	ta:
</s>	</s>
انهيءَ	unahia
تي	te
راجا	raajaa
وري	wari
وينتي	oente
ڪيس	kes
ته	ta
”ڀلائي	"bhalaaie
ڪري	kare
مون	mun
کي	khe
سمجهايو“.	smjhaaeo".
</s>	</s>
پن	pn
ٽڪنڊا	ttkundaa
پشم	pshm
سان	saan
ڪندي	kande
آهي.	ahe.
</s>	</s>
سي	se
پي	pe
يو	eo
چپ	chupu
جي	je
معيار	mayaar
جو	jo
دارومدار	daromdar
هن	hin
جي	je
رفتار	rftar
۽	aen
جسامت	jsaamt
تي	te
هوندو	hondo
آهي،	ahe,
چپ	chupu
جي	je
رفتار	rftar
ميگا	mega
هٽز	httz
(ڪمپيوٽر	(computer
ميمري	memari
ماپڻ	mapinu
جو	jo
ايڪو)	aeko)
سان	saan
ماپي	mape
ويندي	wende
آهي.	ahe.
</s>	</s>
اهڙي	ahre
شاعري	shaairi
،	,
جنهن	jahin
۾	men
نصيحتن	nsehtin
جا	jaa
نُڪتا	nukta
هجن،	hujan,
جنهن	jahin
۾	men
اخلاقي	akhlaake
قدرن	qadarn
۽	aen
انسانيت	insaanit
جي	je
پرچار	parachaar
ٿيل	thiyal
هجي،	huje,
قديم	qadim
سنڌي	sindhi
شاعري،	shaairi,
اهڙي	ahre
ڪلام	kalaam
سان	saan
ڀرپور	bharpur
آهي.	ahe.
</s>	</s>
هيءَ	hia
ٻولي	boli
سنڌ	Sindh
جون	joon
ڀيل	bhel
۽	aen
مينگهواڙ	menghawaadr
قومون	komun
ڳالهائينديون	gaalhaendeon
آهن،	ahin,
جيڪي	jeke
ڏکڻ	dakhanu
سنڌ	Sindh
(لاڙ	(laadr
۽	aen
ٿر)	thar)
۾	men
آباد	aabad
آهن.	ahin.
</s>	</s>
انهيءَ	unahia
۾	men
ڪو	ko
شڪ	shak
ڪونهي	konhe
ته	ta
نقارن	nkarn
وڄائڻ	ojainr
۾	men
امام	imaam
علي	ali
شيدي	shede
جو	jo
ٻيو	biyo
ڪوبه	kobi
ثاني	sunae
ڪونه	kona
هو.	ho.
</s>	</s>
”ميرڪ	"meerk
يوسف“،”تاريخ	yosuf","tareekh
مظهر	mzhar
شاهجهاني“	shaahjahaane"
۾	men
تفصيل	tafsil
سان	saan
ڏنو	dino
آهي.	ahe.
</s>	</s>
شيخ	shaikh
محمد	muhammad
مڪي	mke
۽	aen
ان	una
جا	jaa
فرزند	farzand
شيخ	shaikh
صحرائي	shraie
۽	aen
سيد	sayad
جلال	jlaal
سرخ	sirkh
بخاري	bkhare
هن	hin
شهر	shahru
جا	jaa
جيد	jed
۽	aen
بلند	blnd
مقام	maqaam
بزرگ	buzrig
۽	aen
عالم	aalam
ٿي	thi
گذريا	guzria
آهن	ahin
</s>	</s>
هيءُ	heu
لفظ	lafuzu
قرآن	quraan
شريف	sharif
۾	men
آيل	aayal
آهي،	ahe,
جيئن	jian
ته	ta
”فَاٰمِنُوا	"famino
بِاللّٰهِ	baAllah
وَرَسُوْلِهِ	warasool
النَّبِيِّ	alnabi
الْاُمِيِّ“	alami"
(الاعراف).	(alaaaraf).
</s>	</s>
آزاديءَ	aazaadia
(Aazadi)	(Aazadi)
مان	maan
اها	uha
به	bi
مراد	muraad
آهي	ahe
ته	ta
هر	har
انسان	insaan
کي	khe
بنا	binaa
ڪنهن	kanhin
روڪ	rok
ٽوڪ	ttok
جي	je
پنهنجي	pahinje
خواهش	khoahsh
مطابق	mutaabiqu
زندگي	zindagi
گهارڻ	ghaarnr
جو	jo
حق	haqu
آهي،	ahe,
پر	para
ان	una
حق	haqu
جي	je
استعمال	istaemal
سان	saan
ٻئي	biay
ڪنهن	kanhin
جو	jo
ساڳيو	sagiyo
حق	haqu
متاثر	mutaasir
نه	na
ٿئي.	thiay.
</s>	</s>
هي	he
اهو	uho
وقت	wakt
هوندو	hondo
آهي،	ahe,
جڏهن	jadahin
ٻار	baaru
جي	je
زندگيءَ	zindagi
جي	je
پيڙهه	pedrhh
واري	ware
پٿر	patharu
پوڻ	pwanu
جي	je
شروعات	shuruaat
ٿئي	thiay
ٿي	thi
۽	aen
ماحول	maahol
جو	jo
شدت	shdt
سان	saan
اثر	asaru
قبول	qabool
ڪري	kare
ٿو.	tho.
</s>	</s>
رسم	rsm
الخط.	alkhatu.
</s>	</s>
وڏو	wado
فن	fanu
هوس.	hosu.
-ان-	una
کان	khan
پوءِ	poi
ڦوٽي	phwatie
زرداريءَ	zrdarea
کان	khan
چپڙيءَ	chupudrea
۽	aen
يڪتاري	ektare
جو	jo
فن	fanu
سکيو.	skheo.
</s>	</s>
ڇاڪاڻ	chhakaan
ته	ta
هو	ho
به	bi
اهل	ahl
بيت	bet
جي	je
مڃيندڙن	mnjenddrn
مان	maan
هو،	ho,
ان	una
ڪري	kare
خليفي	khlefee
سان	saan
مختلف	mukhtalif
بهانا	biunaa
ڪندو	kando
رهيو.	rahiyo.
</s>	</s>
اهڙن	ahran
پگهاردار	pghaardar
عالمن	aalaman
کي	khe
سوفسطائي	sofstaie
چيو	chayo
ويندو	windo
هو.	ho.
</s>	</s>
هن	hin
ڪتاب	kitaab
جو	jo
مواد	mawaadu
ٽن	tin
حصن	hsn
تي	te
مشتمل	mushtamil
آهي:	ahe:
هڪ	hiku
’عام	'aam
پکي‘،	pakhi',
جيڪو	jeko
ڪتاب	kitaab
جو	jo
مرڪزي	markazi
مواد	mawaadu
آهي،	ahe,
ٻيا	biyaa
’ولايتي	'olaete
پکي‘	pakhi'
۽	aen
ٽيان	teuna
اُهي	uhe
پکي،	pakhi,
جيڪي	jeke
سنڌ	Sindh
۾	men
ڏٺا	dtha
وڃن	wajan
ٿا.	thaa.
</s>	</s>
ٻئي	biay
طرف	tarafu
ايران	eraan
۽	aen
ٿائيلينڊ	thaaielend
وري	wari
اهڙا	ahraa
ملڪ	mulku
آهن،	ahin,
جيڪي	jeke
’بفر	'bfr
رياستون‘	riyaasaton'
هجڻ	hujan
ڪري	kare
هڪ	hiku
ئي	ie
وقت	wakt
ٻن	bin
سگهارين	sghaarin
طاقتن	taaqatan
ترتيبوار	tartibwaar
سوويت	sooet
روس،	rwas,
برطانيا،	brtunayaa,
فرانس	frunas
۽	aen
برطانيا	brtunayaa
جي	je
اثر	asaru
هيٺ	heth
رهيا.	rahiya.
</s>	</s>
گلگت	gulgt
بلتستان	bltstaan
جاضلعا	jaazlaa
</s>	</s>
ڪورنٽون	korntton
جو	jo
لکيل،	likhiyal,
صفحا	sufhaa
3،	3,
قيمت	qeemat
هڪ	hiku
آنو	aano
پهريون	pahriyun
ڇاپو،	chhapo,
ڪمشنرس	kamshnrs
پريس،	press,
ڪراچيءَ	Karachi
مان	maan
1917ع	1917a
۾	men
ڇپيو.	chhapiyo.
</s>	</s>
ھي	hi
ملڪ	mulku
پکيڙ	pakhidr
۾	men
ڪيوبا	kayoba
کان	khan
پوءِ	poi
ڪيريبين	kerueben
سمنڊ	samundu
جو	jo
ٻيون	biyun
نمبر	nambaru
وڏو	wado
ملڪ	mulku
آهي	ahe
۽	aen
آبادي	aabade
۾	men
ٽيون	tiyun
نمبر	nambaru
آھي.	aahe.
</s>	</s>
ويجهر	oejhar
۾	men
ماهرن	maahirn
پنجاب	panaab
صوبي	sobe
جي	je
پوٺار	pothar
ريجن	rejin
۾	men
راولپنڊي	rawalpndi
ويجهو	wejho
”سون	"sonu
ندي“	nde"
جي	je
ڪناري	kinaare
سون	sonu
ماٿر	mathar
مان	maan
انهن	unhan
اوائلي	oaile
انسانن	insaan
جا	jaa
اوزار	ozar
۽	aen
رهائشي	rihaishe
آثار	aasar
ڳولي	gwalid
لڌا	ldha
اٿن.	athn.
</s>	</s>
ھن	hin
قانون	qaanoon
ذريعي	zariay
پاڪستان	pakistan
جي	je
اندر	andar
ويسٽ	wiyastt
پاڪستان	pakistan
واري	ware
ون	on
يونٽ	eontt
جي	je
اسڪيم	askayam
جو	jo
خاتمو	khatmo
آڻي	aane
سنڌ،	Sindh,
خيبرپختونخواهه،	khebrpkhtunkhwah,
بلوچستان	blochistaan
۽	aen
پنجاب	panaab
جي	je
پراڻي	puraani
صوبائي	sobaie
حيثيت	hesyata
بحال	bhaalu
ڪئي	kai
وئي	wai
ملڪ	mulku
جو	jo
نالو	naalo
اسلامي	islaami
جمهوريه	jmhwarih
پاڪستان	pakistan
رکيو	rakhiyo
ويو.	wayo.
</s>	</s>
سرور	siror
نوح	noh
جو	jo
والد	walid
مخدوم	makhdoom
